# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Wed Jul 30 23:06:22 EEST 2014
Model			MSE	Average	Deviation
RBF			1382.11970	37.17687	26.45002
LinearRegression			1194.63725	34.56352	23.99297
MLPerceptron			474.09493	21.77372	13.32518
LeastSquares			899.04893	29.98414	18.86140
Discretization			649.41131	25.48355	16.01825
RandomSubSpaces			789.20274	28.09275	18.89414
IsoRegression			1003.06100	31.67114	21.61291
GaussianCurves			634.94009	25.19802	15.57548
BagClassify			668.72494	25.85972	16.89930
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Wed Jul 30 23:06:23 EEST 2014
Model			MSE	Average	Deviation
RBF			1445.24047	38.01632	25.85476
LinearRegression			1242.91468	35.25500	23.52852
MLPerceptron			559.75662	23.65918	13.41108
LeastSquares			1020.51638	31.94552	19.34312
Discretization			663.86659	25.76561	15.12578
RandomSubSpaces			849.01839	29.13792	18.50286
IsoRegression			1039.53333	32.24179	20.70706
GaussianCurves			646.92928	25.43480	14.41622
BagClassify			589.95011	24.28889	14.55493
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Wed Jul 30 23:06:25 EEST 2014
Model			MSE	Average	Deviation
RBF			1722.84032	41.50711	32.96438
LinearRegression			1266.10457	35.58236	26.74212
MLPerceptron			642.70876	25.35170	15.61984
LeastSquares			938.41164	30.63351	19.09833
Discretization			678.62774	26.05048	17.64915
RandomSubSpaces			842.52698	29.02632	21.33147
IsoRegression			1061.70838	32.58387	23.96190
GaussianCurves			597.81865	24.45033	14.17959
BagClassify			572.94007	23.93617	15.83980
