# Created: Wed Jul 30 23:05:43 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.10
#	input:	pagerank.csv
#	output:	out-0.10.csv
#	metrics-output:	metrics-0.10.csv
#
# Points picked
# 	(4.0, 60.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(2.0, 70.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(1.0, 80.0, 4.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 80.0, 5.0)
# 	(1.0, 60.0, 6.0)
# 	(2.0, 90.0, 6.0)
# 	(4.0, 60.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(2.0, 70.0, 8.0)
# 	(4.0, 100.0, 8.0)
# 	(1.0, 80.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(4.0, 80.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	167.4749	78.7886	78.3447	144.0532	166.9050	164.1809	89.2000	137.5855	179.4613	
1.0	60.0	2.0	179.3700	172.5950	98.7440	90.4737	152.6925	166.9050	164.1809	106.9133	149.0356	179.4613	
1.0	70.0	2.0	203.1300	174.4725	118.6994	139.1790	161.3318	166.9050	164.1809	109.6050	163.1980	179.4613	
1.0	80.0	2.0	227.5400	175.2042	138.6548	223.3428	169.9711	166.9050	164.1809	123.6380	177.8395	179.4613	
1.0	90.0	2.0	251.3500	175.4853	158.6102	259.1406	178.6104	166.9050	171.4295	123.6380	190.1358	188.7793	
1.0	100.0	2.0	282.3600	175.5372	178.5656	242.2975	187.2497	221.7050	179.8457	195.5400	197.5473	188.7793	
2.0	50.0	2.0	113.7000	118.5568	78.7886	75.9149	121.7552	100.2060	109.5259	89.2000	119.3081	109.8324	
2.0	60.0	2.0	117.9800	134.8124	98.7440	77.4396	130.3945	100.2060	109.5259	106.9133	127.5986	109.8324	
2.0	70.0	2.0	128.7800	148.3258	118.6994	86.3129	139.0338	100.2060	109.5259	109.6050	139.8512	111.9187	
2.0	80.0	2.0	143.7100	156.4599	138.6548	125.4734	147.6731	100.2060	109.5259	123.6380	154.2451	115.7636	
2.0	90.0	2.0	151.9700	160.2856	158.6102	205.8121	156.3124	149.1517	124.4753	123.6380	168.0238	131.3902	
2.0	100.0	2.0	177.4600	161.0455	178.5656	245.2506	164.9517	149.1517	132.8915	195.5400	178.3424	131.3902	
4.0	50.0	2.0	87.2100	98.6789	78.7886	75.6405	77.1591	81.5740	109.5259	89.2000	97.3459	109.8324	
4.0	60.0	2.0	90.6800	98.6789	98.7440	75.5819	85.7984	81.5740	109.5259	106.9133	97.8087	109.8324	
4.0	70.0	2.0	98.3400	98.6789	118.6994	75.5019	94.4377	81.5740	109.5259	109.6050	102.7467	111.9187	
4.0	80.0	2.0	97.9500	98.6789	138.6548	75.7779	103.0770	81.5740	109.5259	123.6380	111.6573	115.7636	
4.0	90.0	2.0	110.3900	98.6789	158.6102	79.2879	111.7163	149.1517	124.4753	123.6380	122.8697	131.3902	
4.0	100.0	2.0	119.2800	98.6789	178.5656	100.4075	120.3556	149.1517	132.8915	195.5400	134.0443	131.3902	
1.0	50.0	3.0	132.0700	167.5872	78.7886	80.9234	139.9215	166.9050	164.1809	89.2000	134.4890	179.4613	
1.0	60.0	3.0	152.0000	172.6462	98.7440	104.1155	148.5608	166.9050	164.1809	106.9133	145.6991	179.4613	
1.0	70.0	3.0	164.2000	174.4990	118.6994	172.8066	157.2000	166.9050	164.1809	109.6050	159.8101	179.4613	
1.0	80.0	3.0	185.0500	175.2207	138.6548	233.6235	165.8393	166.9050	164.1809	123.6380	174.5985	179.4613	
1.0	90.0	3.0	206.4400	175.4978	158.6102	227.6724	174.4786	166.9050	171.4295	123.6380	187.2179	188.7793	
1.0	100.0	3.0	225.0100	175.5490	178.5656	191.0220	183.1179	221.7050	179.8457	195.5400	195.0803	188.7793	
2.0	50.0	3.0	91.3500	118.7695	78.7886	75.9019	117.6234	100.2060	109.5259	89.2000	115.2377	109.8324	
2.0	60.0	3.0	96.8200	135.0895	98.7440	78.6674	126.2627	100.2060	109.5259	106.9133	123.3232	109.8324	
2.0	70.0	3.0	113.2000	148.5822	118.6994	95.1999	134.9020	100.2060	109.5259	109.6050	135.7063	111.9187	
2.0	80.0	3.0	115.1400	156.6714	138.6548	152.4105	143.5413	100.2060	109.5259	123.6380	150.5599	115.7636	
2.0	90.0	3.0	130.7800	160.4677	158.6102	213.4111	152.1806	149.1517	124.4753	123.6380	165.0489	131.3902	
2.0	100.0	3.0	126.7400	161.2211	178.5656	208.7232	160.8199	149.1517	132.8915	195.5400	176.1971	131.3902	
4.0	50.0	3.0	88.1700	98.6789	78.7886	75.5103	73.0274	81.5740	109.5259	89.2000	93.8430	109.8324	
4.0	60.0	3.0	87.1600	98.6789	98.7440	75.2249	81.6666	81.5740	109.5259	106.9133	94.3793	109.8324	
4.0	70.0	3.0	100.1000	98.6789	118.6994	74.5986	90.3059	81.5740	109.5259	109.6050	99.8491	111.9187	
4.0	80.0	3.0	101.9300	98.6789	138.6548	73.9418	98.9452	81.5740	109.5259	123.6380	109.7016	115.7636	
4.0	90.0	3.0	115.8700	98.6789	158.6102	78.0155	107.5845	149.1517	124.4753	123.6380	122.0959	131.3902	
4.0	100.0	3.0	122.7800	98.6789	178.5656	107.4616	116.2238	149.1517	132.8915	195.5400	134.4484	131.3902	
1.0	50.0	4.0	136.5900	167.2113	78.7886	84.7108	135.7897	166.9050	164.1809	89.2000	130.8885	179.4613	
1.0	60.0	4.0	151.4200	172.4744	98.7440	122.5205	144.4290	166.9050	164.1809	106.9133	141.5453	179.4613	
1.0	70.0	4.0	182.1800	174.4102	118.6994	190.5853	153.0683	166.9050	164.1809	109.6050	155.2441	179.4613	
1.0	80.0	4.0	201.1600	175.1654	138.6548	206.5883	161.7076	166.9050	164.1809	123.6380	169.8263	179.4613	
1.0	90.0	4.0	210.9400	175.4556	158.6102	179.0844	170.3469	166.9050	171.4295	123.6380	182.4927	188.7793	
1.0	100.0	4.0	212.2000	175.5093	178.5656	154.3740	178.9861	221.7050	179.8457	195.5400	190.6658	188.7793	
2.0	50.0	4.0	87.2400	118.0724	78.7886	75.0335	113.4917	100.2060	109.5259	89.2000	111.1166	106.7127	
2.0	60.0	4.0	92.2600	134.1750	98.7440	78.9073	122.1309	100.2060	109.5259	106.9133	118.7891	106.7127	
2.0	70.0	4.0	98.0500	147.7314	118.6994	104.5570	130.7702	100.2060	109.5259	109.6050	131.0252	108.7990	
2.0	80.0	4.0	106.8900	155.9669	138.6548	163.5141	139.4095	100.2060	109.5259	123.6380	146.0324	112.6440	
2.0	90.0	4.0	116.4300	159.8603	158.6102	184.5698	148.0488	149.1517	124.4753	123.6380	160.9555	128.2705	
2.0	100.0	4.0	122.1400	160.6351	178.5656	165.1877	156.6881	149.1517	132.8915	195.5400	172.7468	128.2705	
4.0	50.0	4.0	66.9600	98.6789	78.7886	74.9898	68.8956	81.5740	109.5259	89.2000	91.0214	106.7127	
4.0	60.0	4.0	83.3200	98.6789	98.7440	73.7669	77.5349	81.5740	109.5259	106.9133	91.6703	106.7127	
4.0	70.0	4.0	74.3100	98.6789	118.6994	70.7572	86.1742	81.5740	109.5259	109.6050	97.6344	108.7990	
