# Created: Wed Jul 30 23:05:48 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.15
#	input:	pagerank.csv
#	output:	out-0.15.csv
#	metrics-output:	metrics-0.15.csv
#
# Points picked
# 	(1.0, 60.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(2.0, 100.0, 2.0)
# 	(4.0, 60.0, 3.0)
# 	(1.0, 90.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(2.0, 70.0, 4.0)
# 	(4.0, 90.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(1.0, 80.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(4.0, 80.0, 6.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 70.0, 7.0)
# 	(2.0, 90.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(1.0, 100.0, 8.0)
# 	(2.0, 60.0, 9.0)
# 	(2.0, 80.0, 9.0)
# 	(4.0, 100.0, 9.0)
# 	(1.0, 70.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	138.0592	146.7344	162.4996	156.5283	156.4533	152.9438	150.4678	142.0717	157.9071	
1.0	60.0	2.0	179.3700	138.2411	146.7344	178.2657	162.1204	156.4533	152.9438	150.4678	149.5696	157.9071	
1.0	70.0	2.0	203.1300	138.3509	146.7344	192.4917	167.7124	156.4533	152.9438	150.4678	157.0251	161.5562	
1.0	80.0	2.0	227.5400	138.4159	146.7344	204.4434	173.3045	180.7250	152.9438	150.4678	163.1960	161.5562	
1.0	90.0	2.0	251.3500	138.4505	146.7344	213.8968	178.8965	180.7250	152.9438	150.4678	166.8523	169.3068	
1.0	100.0	2.0	282.3600	138.4620	146.7344	221.0244	184.4886	180.7250	152.9438	150.4678	167.1721	169.3068	
2.0	50.0	2.0	113.7000	134.9767	125.4101	99.8478	133.0212	106.5671	143.5038	119.1100	124.7107	133.4276	
2.0	60.0	2.0	117.9800	135.8915	125.4101	109.9456	138.6133	106.5671	143.5038	119.1100	130.0772	133.4276	
2.0	70.0	2.0	128.7800	136.4566	125.4101	122.5285	144.2053	106.5671	143.5038	119.1100	136.5836	133.4276	
2.0	80.0	2.0	143.7100	136.7957	125.4101	137.2433	149.7974	106.5671	143.5038	119.1100	143.1840	133.4276	
