# Created: Wed Jul 30 23:06:03 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.30
#	input:	pagerank.csv
#	output:	out-0.30.csv
#	metrics-output:	metrics-0.30.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(4.0, 60.0, 2.0)
# 	(4.0, 70.0, 2.0)
# 	(4.0, 80.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(2.0, 70.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(2.0, 90.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(1.0, 80.0, 4.0)
# 	(1.0, 90.0, 4.0)
# 	(1.0, 100.0, 4.0)
# 	(2.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(4.0, 80.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(4.0, 100.0, 5.0)
# 	(1.0, 60.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(2.0, 90.0, 6.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 60.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(1.0, 60.0, 8.0)
# 	(2.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 60.0, 9.0)
# 	(1.0, 80.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 60.0, 10.0)
# 	(2.0, 70.0, 10.0)
# 	(4.0, 80.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	139.0647	146.4649	158.5069	134.1270	143.3567	136.6793	166.5913	133.3929	163.9348	
1.0	60.0	2.0	179.3700	140.6519	146.4649	178.9842	142.4548	143.3567	136.6793	166.5913	146.1807	163.9348	
1.0	70.0	2.0	203.1300	141.9424	146.4649	200.0787	150.7825	143.3567	140.7856	166.5913	161.7503	181.4484	
1.0	80.0	2.0	227.5400	142.6484	146.4649	220.3367	159.1102	223.7048	150.3252	166.5913	177.7457	181.4484	
1.0	90.0	2.0	251.3500	142.9211	146.4649	238.5222	167.4380	223.7048	153.3270	166.5913	191.1750	188.6036	
1.0	100.0	2.0	282.3600	142.9979	146.4649	253.8849	175.7657	223.7048	171.8327	166.5913	199.3027	208.5459	
2.0	50.0	2.0	113.7000	137.5698	131.4272	109.6582	114.4257	117.4850	115.1705	106.7855	110.7064	99.3028	
2.0	60.0	2.0	117.9800	139.7072	131.4272	121.9945	122.7534	117.4850	115.1705	106.7855	117.7529	99.3028	
2.0	70.0	2.0	128.7800	141.4942	131.4272	137.3690	131.0811	117.4850	116.4729	106.7855	128.6610	99.3028	
2.0	80.0	2.0	143.7100	142.4911	131.4272	155.5646	139.4089	117.4850	117.1727	106.7855	142.0228	101.1823	
2.0	90.0	2.0	151.9700	142.8799	131.4272	175.8286	147.7366	117.4850	118.5002	106.7855	155.4439	101.1823	
2.0	100.0	2.0	177.4600	142.9897	131.4272	196.9235	156.0644	117.4850	130.4081	106.7855	166.2148	137.7394	
4.0	50.0	2.0	87.2100	134.0920	101.3519	81.3738	75.0229	97.8093	117.0456	106.7855	93.1450	96.3740	
4.0	60.0	2.0	90.6800	137.3932	101.3519	81.3435	83.3507	97.8093	117.0456	106.7855	90.1367	96.3740	
4.0	70.0	2.0	98.3400	140.3469	101.3519	83.4169	91.6784	97.8093	112.9918	106.7855	90.5930	96.3740	
4.0	80.0	2.0	97.9500	142.0782	101.3519	86.6954	100.0062	97.8093	113.6916	106.7855	95.0163	96.3740	
4.0	90.0	2.0	110.3900	142.7705	101.3519	91.3521	108.3339	97.8093	113.6916	106.7855	102.8356	96.3740	
4.0	100.0	2.0	119.2800	142.9679	101.3519	97.7980	116.6617	140.9174	128.8313	106.7855	112.4758	132.9311	
1.0	50.0	3.0	132.0700	134.2648	146.4649	147.8145	129.9820	143.3567	136.6793	166.5913	129.3284	148.8043	
1.0	60.0	3.0	152.0000	137.5121	146.4649	167.3580	138.3098	143.3567	136.6793	166.5913	141.9275	148.8043	
1.0	70.0	3.0	164.2000	140.4077	146.4649	188.2846	146.6375	143.3567	140.7856	166.5913	157.6160	173.8174	
1.0	80.0	3.0	185.0500	142.1005	146.4649	209.1853	154.9653	223.7048	150.3252	166.5913	174.0359	173.8174	
1.0	90.0	3.0	206.4400	142.7765	146.4649	228.6580	163.2930	223.7048	153.3270	166.5913	188.1311	180.9726	
1.0	100.0	3.0	225.0100	142.9691	146.4649	245.6599	171.6207	223.7048	171.8327	166.5913	197.0519	193.7461	
2.0	50.0	3.0	91.3500	131.4821	131.4272	104.0205	110.2807	117.4850	115.1705	106.7855	106.8792	99.3028	
2.0	60.0	3.0	96.8200	135.5406	131.4272	114.7217	118.6084	117.4850	115.1705	106.7855	113.3317	99.3028	
2.0	70.0	3.0	113.2000	139.3741	131.4272	128.3923	126.9361	117.4850	116.4729	106.7855	123.9317	99.3028	
2.0	80.0	3.0	115.1400	141.7162	131.4272	145.0662	135.2639	117.4850	117.1727	106.7855	137.3767	101.1823	
2.0	90.0	3.0	130.7800	142.6734	131.4272	164.2979	143.5916	117.4850	118.5002	106.7855	151.2890	101.1823	
2.0	100.0	3.0	126.7400	142.9485	131.4272	185.1014	151.9194	117.4850	130.4081	106.7855	162.8705	130.5706	
4.0	50.0	3.0	88.1700	125.8634	101.3519	84.3435	70.8779	97.8093	117.0456	106.7855	94.3035	96.3740	
4.0	60.0	3.0	87.1600	131.1693	101.3519	80.9543	79.2057	97.8093	117.0456	106.7855	90.4371	96.3740	
4.0	70.0	3.0	100.1000	136.8627	101.3519	82.1016	87.5334	97.8093	112.9918	106.7855	89.9947	96.3740	
4.0	80.0	3.0	101.9300	140.7271	101.3519	84.7118	95.8612	97.8093	113.6916	106.7855	93.7394	96.3740	
4.0	90.0	3.0	115.8700	142.4016	101.3519	88.5549	104.1889	97.8093	113.6916	106.7855	101.2853	96.3740	
4.0	100.0	3.0	122.7800	142.8938	101.3519	93.9424	112.5167	140.9174	128.8313	106.7855	111.0875	125.7623	
1.0	50.0	4.0	136.5900	126.6649	146.4649	137.8974	125.8370	143.3567	132.5268	166.5913	124.6856	148.8043	
1.0	60.0	4.0	151.4200	131.8276	146.4649	156.1716	134.1648	143.3567	132.5268	166.5913	136.7356	148.8043	
1.0	70.0	4.0	182.1800	137.2620	146.4649	176.4823	142.4925	143.3567	136.6331	166.5913	152.1419	173.8174	
1.0	80.0	4.0	201.1600	140.8899	146.4649	197.5799	150.8203	223.7048	150.3252	166.5913	168.6087	173.8174	
1.0	90.0	4.0	210.9400	142.4470	146.4649	218.0100	159.1480	223.7048	153.3270	166.5913	183.0878	180.9726	
1.0	100.0	4.0	212.2000	142.9030	146.4649	236.4928	167.4757	223.7048	171.8327	166.5913	192.6743	193.7461	
2.0	50.0	4.0	87.2400	122.8620	131.4272	99.2113	106.1357	117.4850	109.4584	106.7855	103.4762	98.5875	
2.0	60.0	4.0	92.2600	128.5905	131.4272	108.3843	114.4634	117.4850	109.4584	106.7855	109.1114	98.5875	
2.0	70.0	4.0	98.0500	135.2192	131.4272	120.3650	122.7912	117.4850	110.7607	106.7855	119.0832	98.5875	
2.0	80.0	4.0	106.8900	140.0335	131.4272	135.3790	131.1189	117.4850	115.6130	106.7855	132.2442	101.1823	
2.0	90.0	4.0	116.4300	142.2053	131.4272	153.2669	139.4466	117.4850	116.9405	106.7855	146.3041	101.1823	
2.0	100.0	4.0	122.1400	142.8540	131.4272	173.3415	147.7744	117.4850	128.8484	106.7855	158.4440	130.5706	
4.0	50.0	4.0	66.9600	116.5116	101.3519	93.5327	66.7329	78.5030	110.9579	106.7855	97.4633	93.5410	
4.0	60.0	4.0	83.3200	122.4651	101.3519	81.8648	75.0607	78.5030	110.9579	106.7855	92.7752	93.5410	
4.0	70.0	4.0	74.3100	130.7237	101.3519	81.2207	83.3884	78.5030	106.9040	106.7855	91.3037	93.5410	
4.0	80.0	4.0	83.1300	137.9187	101.3519	83.1092	91.7162	78.5030	111.7564	106.7855	94.0945	93.5410	
4.0	90.0	4.0	87.0900	141.5754	101.3519	86.2395	100.0439	78.5030	111.7564	106.7855	100.9989	93.5410	
4.0	100.0	4.0	95.7400	142.7241	101.3519	90.7122	108.3717	140.9174	126.8961	106.7855	110.5704	122.9293	
1.0	50.0	5.0	110.7600	117.8904	146.4649	128.8695	121.6920	143.3567	128.4414	166.5913	119.8087	143.8028	
1.0	60.0	5.0	128.2500	123.8802	146.4649	145.6321	130.0198	143.3567	128.4414	166.5913	131.0026	143.8028	
1.0	70.0	5.0	137.9100	131.8454	146.4649	164.9304	138.3475	143.3567	132.5477	166.5913	145.7640	164.7455	
1.0	80.0	5.0	155.0100	138.4789	146.4649	185.7621	146.6753	223.7048	139.4021	166.5913	161.9163	164.7455	
1.0	90.0	5.0	171.6000	141.7470	146.4649	206.7432	155.0030	223.7048	142.4040	166.5913	176.4872	171.9007	
1.0	100.0	5.0	201.4800	142.7598	146.4649	226.4505	163.3307	223.7048	165.5119	166.5913	186.5755	189.6757	
2.0	50.0	5.0	100.0400	114.2021	131.4272	95.1584	101.9907	94.5916	111.6938	106.7855	100.7756	98.5875	
2.0	60.0	5.0	101.2700	119.9766	131.4272	102.9294	110.3184	94.5916	111.6938	106.7855	105.4386	98.5875	
2.0	70.0	5.0	109.5000	128.6111	131.4272	113.2947	118.6462	94.5916	112.9961	106.7855	114.5179	98.5875	
2.0	80.0	5.0	117.3000	136.7972	131.4272	126.6017	126.9739	94.5916	111.0108	106.7855	127.0598	100.4396	
2.0	90.0	5.0	126.7800	141.2208	131.4272	142.9303	135.3016	110.9264	112.3383	106.7855	140.9227	100.4396	
2.0	100.0	5.0	134.8100	142.6496	131.4272	161.8987	143.6294	110.9264	128.8484	106.7855	153.3348	129.8280	
4.0	50.0	5.0	66.8200	109.0683	101.3519	115.4793	62.5880	78.5030	113.1933	106.7855	102.4849	93.5410	
4.0	60.0	5.0	65.9200	113.8465	101.3519	86.0074	70.9157	78.5030	113.1933	106.7855	97.0669	93.5410	
4.0	70.0	5.0	74.8100	122.4884	101.3519	81.0703	79.2434	78.5030	109.1395	106.7855	94.4999	93.5410	
4.0	80.0	5.0	71.3700	132.9561	101.3519	81.8836	87.5712	78.5030	107.1542	106.7855	96.1160	93.5410	
