# Created: Wed Jul 30 23:06:15 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.40
#	input:	pagerank.csv
#	output:	out-0.40.csv
#	metrics-output:	metrics-0.40.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(1.0, 60.0, 2.0)
# 	(1.0, 70.0, 2.0)
# 	(4.0, 70.0, 2.0)
# 	(4.0, 80.0, 2.0)
# 	(2.0, 90.0, 2.0)
# 	(2.0, 100.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 60.0, 3.0)
# 	(4.0, 70.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(2.0, 90.0, 3.0)
# 	(1.0, 100.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(2.0, 70.0, 4.0)
# 	(2.0, 80.0, 4.0)
# 	(1.0, 90.0, 4.0)
# 	(1.0, 100.0, 4.0)
# 	(4.0, 100.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(1.0, 80.0, 5.0)
# 	(1.0, 90.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(4.0, 100.0, 5.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(4.0, 80.0, 6.0)
# 	(4.0, 90.0, 6.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 60.0, 7.0)
# 	(1.0, 70.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(2.0, 90.0, 7.0)
# 	(2.0, 100.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(1.0, 60.0, 8.0)
# 	(4.0, 60.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(1.0, 100.0, 8.0)
# 	(1.0, 50.0, 9.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 60.0, 9.0)
# 	(2.0, 70.0, 9.0)
# 	(2.0, 80.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(4.0, 100.0, 9.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 60.0, 10.0)
# 	(2.0, 70.0, 10.0)
# 	(1.0, 80.0, 10.0)
# 	(1.0, 90.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	110.7893	144.0716	141.8389	138.0294	135.9000	139.1738	156.0055	141.4516	164.8308	
1.0	60.0	2.0	179.3700	110.7979	144.0716	163.5298	144.0903	165.2817	143.9017	156.0055	153.0263	172.6741	
1.0	70.0	2.0	203.1300	111.7351	144.0716	183.3641	150.1513	212.5425	148.2463	156.0055	165.4649	182.9819	
1.0	80.0	2.0	227.5400	127.8505	144.0716	199.0921	156.2122	212.5425	148.2463	156.0055	176.8862	183.8259	
1.0	90.0	2.0	251.3500	133.9846	144.0716	210.2133	162.2732	212.5425	152.7647	156.0055	185.2335	183.8259	
1.0	100.0	2.0	282.3600	134.2174	144.0716	217.4552	168.3341	212.5425	175.9732	156.0055	188.8554	195.3988	
2.0	50.0	2.0	113.7000	110.7893	126.5169	84.7782	119.3678	112.1770	109.0658	107.7638	116.5778	109.9327	
2.0	60.0	2.0	117.9800	110.7965	126.5169	92.1021	125.4287	112.1770	111.2140	107.7638	123.5724	113.3478	
2.0	70.0	2.0	128.7800	111.5863	126.5169	103.3303	131.4897	112.1770	109.2326	107.7638	132.4779	113.3478	
2.0	80.0	2.0	143.7100	126.9923	126.5169	119.1713	137.5506	112.1770	110.2813	107.7638	142.0446	113.3478	
2.0	90.0	2.0	151.9700	133.9374	126.5169	139.0848	143.6116	155.4878	112.4329	107.7638	150.6336	115.4905	
2.0	100.0	2.0	177.4600	134.2150	126.5169	160.7819	149.6725	155.4878	124.2881	107.7638	156.6449	129.1258	
4.0	50.0	2.0	87.2100	110.7893	91.4075	75.7693	82.0446	96.6233	109.0658	97.6586	91.6190	94.4515	
4.0	60.0	2.0	90.6800	110.7919	91.4075	75.8658	88.1056	96.6233	111.2140	97.6586	90.7919	96.2956	
4.0	70.0	2.0	98.3400	111.0928	91.4075	76.0254	94.1665	96.6233	108.5802	97.6586	91.7924	97.8056	
4.0	80.0	2.0	97.9500	121.4523	91.4075	76.2954	100.2275	96.6233	108.5802	97.6586	94.6156	97.8056	
4.0	90.0	2.0	110.3900	133.4611	91.4075	76.7585	106.2885	96.6233	108.5802	97.6586	98.9602	99.9483	
4.0	100.0	2.0	119.2800	134.1896	91.4075	77.5571	112.3494	96.6233	121.3186	97.6586	104.2281	115.7461	
1.0	50.0	3.0	132.0700	110.7893	144.0716	129.0135	133.8032	135.9000	139.1738	156.0055	136.2196	155.9312	
1.0	60.0	3.0	152.0000	110.7985	144.0716	150.2336	139.8641	165.2817	143.9017	156.0055	147.5437	163.7745	
1.0	70.0	3.0	164.2000	111.8004	144.0716	171.5726	145.9251	212.5425	148.2463	156.0055	160.1902	177.8158	
1.0	80.0	3.0	185.0500	128.1683	144.0716	189.9957	151.9860	212.5425	148.2463	156.0055	172.2606	178.6598	
1.0	90.0	3.0	206.4400	134.0009	144.0716	203.9206	158.0470	212.5425	152.7647	156.0055	181.5772	182.2403	
1.0	100.0	3.0	225.0100	134.2183	144.0716	213.4238	164.1079	212.5425	175.9732	156.0055	186.2997	193.8132	
2.0	50.0	3.0	91.3500	110.7893	126.5169	81.8081	115.1416	112.1770	109.0658	107.7638	111.0985	109.9327	
2.0	60.0	3.0	96.8200	110.7970	126.5169	87.2812	121.2026	112.1770	111.2140	107.7638	117.3943	113.3478	
2.0	70.0	3.0	113.2000	111.6416	126.5169	95.9850	127.2635	112.1770	109.2326	107.7638	125.9801	113.3478	
2.0	80.0	3.0	115.1400	127.3356	126.5169	108.9556	133.3245	112.1770	110.2813	107.7638	135.6905	113.3478	
2.0	90.0	3.0	130.7800	133.9568	126.5169	126.5257	139.3854	155.4878	112.4329	107.7638	144.8758	115.4905	
2.0	100.0	3.0	126.7400	134.2160	126.5169	147.4837	145.4464	155.4878	124.2881	107.7638	151.8268	121.3743	
4.0	50.0	3.0	88.1700	110.7893	91.4075	76.7396	77.8185	96.6233	109.0658	97.6586	90.5068	94.4515	
4.0	60.0	3.0	87.1600	110.7921	91.4075	76.8185	83.8794	96.6233	111.2140	97.6586	88.7789	94.8081	
4.0	70.0	3.0	100.1000	111.1144	91.4075	76.9421	89.9404	96.6233	108.5802	97.6586	88.7924	96.3181	
4.0	80.0	3.0	101.9300	121.8578	91.4075	77.1440	96.0013	96.6233	108.5802	97.6586	90.7532	96.3181	
4.0	90.0	3.0	115.8700	133.5112	91.4075	77.4830	102.0623	96.6233	108.5802	97.6586	94.5634	98.4608	
4.0	100.0	3.0	122.7800	134.1923	91.4075	78.0611	108.1232	96.6233	121.3186	97.6586	99.7446	107.9946	
1.0	50.0	4.0	136.5900	110.7893	144.0716	117.3990	129.5770	135.9000	131.6603	156.0055	130.2980	155.9312	
1.0	60.0	4.0	151.4200	110.7991	144.0716	136.9940	135.6380	165.2817	139.0587	156.0055	141.0385	163.7745	
1.0	70.0	4.0	182.1800	111.8618	144.0716	158.6574	141.6989	211.5700	148.3771	156.0055	153.5503	177.8158	
1.0	80.0	4.0	201.1600	128.4415	144.0716	179.1754	147.7599	211.5700	148.3771	156.0055	165.9712	178.6598	
1.0	90.0	4.0	210.9400	134.0145	144.0716	195.9511	153.8208	211.5700	152.8955	156.0055	176.0568	182.2403	
1.0	100.0	4.0	212.2000	134.2190	144.0716	208.0942	159.8818	211.5700	170.3261	156.0055	181.8173	193.8132	
2.0	50.0	4.0	87.2400	110.7893	126.5169	79.6912	110.9155	102.8448	101.5523	107.7638	105.9006	94.9590	
2.0	60.0	4.0	92.2600	110.7975	126.5169	83.7190	116.9764	102.8448	106.3711	107.7638	111.2714	101.5198	
2.0	70.0	4.0	98.0500	111.6938	126.5169	90.3037	123.0374	102.8448	109.3634	107.7638	119.2439	101.5198	
2.0	80.0	4.0	106.8900	127.6321	126.5169	100.5490	129.0983	112.1770	110.4121	107.7638	128.7839	101.5198	
2.0	90.0	4.0	116.4300	133.9730	126.5169	115.3220	135.1593	112.1770	112.5637	107.7638	138.2881	102.2869	
2.0	100.0	4.0	122.1400	134.2168	126.5169	134.4437	141.2202	112.1770	118.6410	107.7638	145.9896	101.2941	
4.0	50.0	4.0	66.9600	110.7893	91.4075	78.2125	73.5923	99.2723	101.5523	97.6586	91.1356	86.8526	
4.0	60.0	4.0	83.3200	110.7923	91.4075	78.2840	79.6533	99.2723	106.3711	97.6586	88.4948	92.0232	
4.0	70.0	4.0	74.3100	111.1348	91.4075	78.3872	85.7142	99.2723	108.7110	97.6586	87.3748	93.5332	
4.0	80.0	4.0	83.1300	122.2188	91.4075	78.5459	91.7752	99.2723	108.7110	97.6586	88.2189	93.5332	
4.0	90.0	4.0	87.0900	133.5529	91.4075	78.8018	97.8361	99.2723	108.7110	97.6586	91.1807	93.5332	
4.0	100.0	4.0	95.7400	134.1946	91.4075	79.2278	103.8971	96.6233	115.6715	97.6586	95.9549	97.7127	
1.0	50.0	5.0	110.7600	110.7893	144.0716	107.4244	125.3509	135.9000	131.6603	156.0055	124.2149	138.6376	
1.0	60.0	5.0	128.2500	110.7996	144.0716	124.5759	131.4118	165.2817	139.0587	156.0055	134.1007	139.1593	
1.0	70.0	5.0	137.9100	111.9183	144.0716	145.3113	137.4728	135.9000	145.2605	156.0055	146.1606	145.9000	
