# Created: Wed Jul 30 23:06:22 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.45
#	input:	pagerank.csv
#	output:	out-0.45.csv
#	metrics-output:	metrics-0.45.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(1.0, 60.0, 2.0)
# 	(4.0, 60.0, 2.0)
# 	(2.0, 70.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 90.0, 2.0)
# 	(2.0, 100.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 60.0, 3.0)
# 	(2.0, 70.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(1.0, 90.0, 3.0)
# 	(4.0, 90.0, 3.0)
# 	(2.0, 100.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(2.0, 70.0, 4.0)
# 	(1.0, 80.0, 4.0)
# 	(4.0, 80.0, 4.0)
# 	(4.0, 90.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 50.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(1.0, 80.0, 5.0)
# 	(4.0, 80.0, 5.0)
# 	(2.0, 90.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(1.0, 50.0, 6.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(4.0, 80.0, 6.0)
# 	(2.0, 90.0, 6.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 50.0, 7.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 60.0, 7.0)
# 	(1.0, 70.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(2.0, 90.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 60.0, 8.0)
# 	(1.0, 70.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(1.0, 100.0, 8.0)
# 	(4.0, 100.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 70.0, 9.0)
# 	(2.0, 80.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(1.0, 60.0, 10.0)
# 	(1.0, 70.0, 10.0)
# 	(4.0, 70.0, 10.0)
# 	(2.0, 80.0, 10.0)
# 	(1.0, 90.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	135.2393	144.7183	153.7258	137.9219	140.2294	144.4214	154.8352	142.3880	140.9407	
1.0	60.0	2.0	179.3700	135.2825	144.7183	174.4228	147.0524	140.2294	146.8062	154.8352	154.5255	141.9578	
1.0	70.0	2.0	203.1300	135.3186	144.7183	194.6461	156.1830	127.8133	146.8062	154.8352	167.0444	141.9578	
1.0	80.0	2.0	227.5400	135.3484	144.7183	213.3615	165.3136	210.0317	158.6870	154.8352	177.6356	181.1308	
1.0	90.0	2.0	251.3500	135.3728	144.7183	229.8214	174.4441	210.0317	166.7958	154.8352	184.1091	185.8082	
1.0	100.0	2.0	282.3600	135.3921	144.7183	243.6533	183.5747	210.0317	165.9587	154.8352	185.1305	185.6172	
2.0	50.0	2.0	113.7000	132.4863	126.2110	93.2523	118.3161	126.4642	118.5866	110.4033	116.4647	109.1012	
2.0	60.0	2.0	117.9800	132.6820	126.2110	104.0982	127.4467	126.4642	118.2608	110.4033	123.9503	113.0232	
2.0	70.0	2.0	128.7800	132.8467	126.2110	115.9177	136.5772	126.4642	122.0187	110.4033	133.4751	114.8372	
2.0	80.0	2.0	143.7100	132.9838	126.2110	128.7005	145.7078	126.4642	124.5721	110.4033	143.3860	114.8372	
2.0	90.0	2.0	151.9700	133.0961	126.2110	142.4961	154.8383	126.4642	128.1661	110.4033	151.6923	121.6305	
2.0	100.0	2.0	177.4600	133.1858	126.2110	157.3226	163.9689	143.3131	140.5141	110.4033	156.7139	138.3869	
4.0	50.0	2.0	87.2100	93.0020	89.1965	74.5281	79.1045	92.8862	109.4962	94.6948	87.1160	93.0325	
4.0	60.0	2.0	90.6800	93.0021	89.1965	81.1294	88.2351	92.8862	112.2636	94.6948	87.3214	97.6949	
4.0	70.0	2.0	98.3400	93.0021	89.1965	87.7492	97.3656	92.8862	111.7474	94.6948	91.1744	97.6949	
4.0	80.0	2.0	97.9500	93.0022	89.1965	94.0230	106.4962	113.1400	113.6820	94.6948	98.2581	96.8158	
4.0	90.0	2.0	110.3900	93.0022	89.1965	99.6730	115.6268	113.1400	121.5306	94.6948	107.2829	108.1648	
4.0	100.0	2.0	119.2800	93.0022	89.1965	104.5556	124.7573	143.3131	136.5254	94.6948	116.4561	138.9386	
1.0	50.0	3.0	132.0700	135.1717	144.7183	142.2697	133.6984	140.2294	139.7739	154.8352	137.7115	137.1844	
1.0	60.0	3.0	152.0000	135.2189	144.7183	162.0690	142.8290	140.2294	142.1587	154.8352	149.4582	138.2015	
1.0	70.0	3.0	164.2000	135.2583	144.7183	182.0963	151.9596	127.8133	142.1587	154.8352	162.0520	138.2015	
1.0	80.0	3.0	185.0500	135.2909	144.7183	201.3566	161.0901	210.0317	154.0395	154.8352	173.2170	171.6068	
1.0	90.0	3.0	206.4400	135.3175	144.7183	218.9748	170.2207	210.0317	162.1483	154.8352	180.6692	176.2842	
1.0	100.0	3.0	225.0100	135.3387	144.7183	234.3429	179.3513	210.0317	161.3112	154.8352	182.8752	175.4022	
2.0	50.0	3.0	91.3500	132.1832	126.2110	91.3257	114.0927	126.4642	112.6422	110.4033	110.6145	105.5246	
2.0	60.0	3.0	96.8200	132.3944	126.2110	101.0883	123.2232	126.4642	112.3164	110.4033	117.5240	109.4466	
2.0	70.0	3.0	113.2000	132.5723	126.2110	111.5100	132.3538	126.4642	116.0743	110.4033	127.0437	111.2606	
2.0	80.0	3.0	115.1400	132.7206	126.2110	122.6109	141.4844	126.4642	118.6277	110.4033	137.5827	111.2606	
2.0	90.0	3.0	130.7800	132.8420	126.2110	134.5311	150.6149	126.4642	122.2217	110.4033	147.0522	114.4530	
2.0	100.0	3.0	126.7400	132.9391	126.2110	147.4553	159.7455	143.3131	134.5697	110.4033	153.5355	129.1380	
4.0	50.0	3.0	88.1700	93.0019	89.1965	75.5591	74.8811	92.8862	104.2504	94.6948	83.1786	93.0325	
4.0	60.0	3.0	87.1600	93.0020	89.1965	82.1699	84.0117	92.8862	107.0178	94.6948	83.1372	96.3491	
4.0	70.0	3.0	100.1000	93.0020	89.1965	88.7276	93.1422	92.8862	106.5016	94.6948	87.2246	96.3491	
4.0	80.0	3.0	101.9300	93.0021	89.1965	94.8737	102.2728	113.1400	108.4362	94.6948	95.0503	95.4700	
4.0	90.0	3.0	115.8700	93.0021	89.1965	100.3460	111.4033	113.1400	116.2849	94.6948	105.2070	103.3633	
4.0	100.0	3.0	122.7800	93.0021	89.1965	105.0180	120.5339	143.3131	131.2796	94.6948	115.6671	134.1371	
1.0	50.0	4.0	136.5900	135.1175	144.7183	132.0833	129.4750	140.2294	132.1170	154.8352	132.2686	133.5180	
1.0	60.0	4.0	151.4200	135.1679	144.7183	150.4369	138.6056	140.2294	134.5017	154.8352	143.3075	134.5352	
1.0	70.0	4.0	182.1800	135.2100	144.7183	169.5667	147.7361	127.8133	136.2041	154.8352	155.6866	134.5352	
1.0	80.0	4.0	201.1600	135.2448	144.7183	188.6644	156.8667	210.0317	150.9239	154.8352	167.2238	171.6068	
