# Created: Wed Jul 30 23:06:29 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.50
#	input:	pagerank.csv
#	output:	out-0.50.csv
#	metrics-output:	metrics-0.50.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(1.0, 60.0, 2.0)
# 	(4.0, 60.0, 2.0)
# 	(2.0, 70.0, 2.0)
# 	(1.0, 80.0, 2.0)
# 	(4.0, 80.0, 2.0)
# 	(2.0, 90.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(4.0, 60.0, 3.0)
# 	(2.0, 70.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(4.0, 80.0, 3.0)
# 	(2.0, 90.0, 3.0)
# 	(1.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 50.0, 4.0)
# 	(1.0, 60.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(2.0, 70.0, 4.0)
# 	(1.0, 80.0, 4.0)
# 	(4.0, 80.0, 4.0)
# 	(2.0, 90.0, 4.0)
# 	(1.0, 100.0, 4.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 50.0, 5.0)
# 	(1.0, 60.0, 5.0)
# 	(4.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(1.0, 80.0, 5.0)
# 	(4.0, 80.0, 5.0)
# 	(2.0, 90.0, 5.0)
# 	(1.0, 100.0, 5.0)
# 	(4.0, 100.0, 5.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 60.0, 6.0)
# 	(4.0, 60.0, 6.0)
# 	(2.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(4.0, 80.0, 6.0)
# 	(2.0, 90.0, 6.0)
# 	(1.0, 100.0, 6.0)
# 	(4.0, 100.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 60.0, 7.0)
# 	(4.0, 60.0, 7.0)
# 	(2.0, 70.0, 7.0)
# 	(1.0, 80.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(2.0, 90.0, 7.0)
# 	(1.0, 100.0, 7.0)
# 	(4.0, 100.0, 7.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 60.0, 8.0)
# 	(4.0, 60.0, 8.0)
# 	(2.0, 70.0, 8.0)
# 	(1.0, 80.0, 8.0)
# 	(4.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(1.0, 100.0, 8.0)
# 	(4.0, 100.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(1.0, 60.0, 9.0)
# 	(4.0, 60.0, 9.0)
# 	(2.0, 70.0, 9.0)
# 	(1.0, 80.0, 9.0)
# 	(4.0, 80.0, 9.0)
# 	(2.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(1.0, 60.0, 10.0)
# 	(4.0, 60.0, 10.0)
# 	(2.0, 70.0, 10.0)
# 	(1.0, 80.0, 10.0)
# 	(4.0, 80.0, 10.0)
# 	(2.0, 90.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	137.1648	148.5126	160.5786	133.5307	158.6189	141.0850	165.9504	140.5075	181.4621	
1.0	60.0	2.0	179.3700	137.0547	148.5126	180.1142	142.6895	158.6189	141.0850	165.9504	154.5387	181.4621	
1.0	70.0	2.0	203.1300	136.9339	148.5126	201.0519	151.8484	158.6189	158.4696	165.9504	170.7914	200.0279	
1.0	80.0	2.0	227.5400	136.8085	148.5126	222.4746	161.0073	227.6729	158.4696	165.9504	186.9275	200.0279	
1.0	90.0	2.0	251.3500	136.6861	148.5126	243.3772	170.1662	227.6729	178.1950	165.9504	200.0843	206.8089	
1.0	100.0	2.0	282.3600	136.5752	148.5126	262.8487	179.3251	227.6729	182.4134	165.9504	207.6672	206.8089	
2.0	50.0	2.0	113.7000	135.7239	130.3092	99.9278	113.6673	114.3717	101.8143	104.1526	112.2236	102.0733	
2.0	60.0	2.0	117.9800	135.2332	130.3092	108.4235	122.8262	114.3717	104.7560	104.1526	120.2182	103.3941	
2.0	70.0	2.0	128.7800	134.7076	130.3092	119.1151	131.9851	114.3717	105.2726	104.1526	131.8740	107.6716	
2.0	80.0	2.0	143.7100	134.1750	130.3092	132.2517	141.1440	114.3717	105.3610	104.1526	145.7327	107.6716	
2.0	90.0	2.0	151.9700	133.6677	130.3092	147.9260	150.3029	125.0455	113.4012	104.1526	159.4196	113.6346	
2.0	100.0	2.0	177.4600	133.2188	130.3092	165.9862	159.4617	125.0455	117.6196	104.1526	170.2664	114.7712	
4.0	50.0	2.0	87.2100	101.2121	93.9022	79.8876	73.9407	92.9467	102.8897	102.6211	89.8876	97.1967	
4.0	60.0	2.0	90.6800	101.2118	93.9022	80.5055	83.0996	92.9467	104.6786	102.6211	87.8481	97.1967	
4.0	70.0	2.0	98.3400	101.2116	93.9022	81.3256	92.2585	92.9467	103.9034	102.6211	89.4123	101.4742	
4.0	80.0	2.0	97.9500	101.2115	93.9022	82.4181	101.4173	92.9467	102.6115	102.6211	94.7928	101.4742	
4.0	90.0	2.0	110.3900	101.2114	93.9022	83.8759	110.5762	120.0368	111.9437	102.6211	103.1944	107.2014	
4.0	100.0	2.0	119.2800	101.2113	93.9022	85.8210	119.7351	120.0368	116.1621	102.6211	112.9680	112.3978	
1.0	50.0	3.0	132.0700	137.1648	148.5126	145.8133	129.7623	158.6189	141.0850	165.9504	135.1564	170.4986	
1.0	60.0	3.0	152.0000	137.0547	148.5126	163.6354	138.9212	158.6189	141.0850	165.9504	148.5419	170.4986	
1.0	70.0	3.0	164.2000	136.9339	148.5126	183.4504	148.0801	158.6189	158.4696	165.9504	164.5599	192.6373	
1.0	80.0	3.0	185.0500	136.8085	148.5126	204.5329	157.2389	227.6729	158.4696	165.9504	180.9623	192.6373	
1.0	90.0	3.0	206.4400	136.6861	148.5126	225.9398	166.3978	227.6729	178.1950	165.9504	194.8666	199.4183	
1.0	100.0	3.0	225.0100	136.5752	148.5126	246.6692	175.5567	227.6729	182.4134	165.9504	203.5427	199.4183	
2.0	50.0	3.0	91.3500	135.7239	130.3092	94.3927	109.8990	114.3717	101.8143	104.1526	106.4624	97.7454	
2.0	60.0	3.0	96.8200	135.2332	130.3092	101.2957	119.0579	114.3717	104.7560	104.1526	113.5571	99.0662	
2.0	70.0	3.0	113.2000	134.7076	130.3092	110.1252	128.2167	114.3717	105.2726	104.1526	124.7384	105.9809	
