# Created: Wed Jul 30 23:05:39 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.05
#	input:	pagerank.csv
#	output:	out-0.05.csv
#	metrics-output:	metrics-0.05.csv
#
# Points picked
# 	(2.0, 80.0, 2.0)
# 	(1.0, 90.0, 3.0)
# 	(4.0, 90.0, 4.0)
# 	(2.0, 100.0, 5.0)
# 	(1.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 60.0, 9.0)
# 	(1.0, 70.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	139.2404	148.5097	168.2427	143.7748	175.0750	135.8661	175.0750	135.6681	143.1629	
1.0	60.0	2.0	179.3700	139.4060	148.5097	181.5626	150.8834	175.0750	135.8661	175.0750	142.4611	143.1629	
1.0	70.0	2.0	203.1300	139.4954	148.5097	193.6775	157.9919	175.0750	135.8661	175.0750	149.3090	143.1629	
1.0	80.0	2.0	227.5400	139.5387	148.5097	204.1235	165.1004	175.0750	139.4603	175.0750	154.8332	143.1629	
1.0	90.0	2.0	251.3500	139.5490	148.5097	212.7223	172.2090	175.0750	139.4603	175.0750	157.8390	143.1629	
1.0	100.0	2.0	282.3600	139.5293	148.5097	219.5321	179.3175	175.0750	139.4603	175.0750	157.7352	143.1629	
2.0	50.0	2.0	113.7000	136.8789	127.6489	106.1956	117.9519	175.0750	131.6818	175.0750	127.4204	143.1629	
2.0	60.0	2.0	117.9800	137.6434	127.6489	114.2866	125.0604	175.0750	131.6818	175.0750	132.3215	143.1629	
2.0	70.0	2.0	128.7800	138.0638	127.6489	124.2371	132.1690	175.0750	131.6818	175.0750	137.6245	143.1629	
2.0	80.0	2.0	143.7100	138.2692	127.6489	135.9331	139.2775	175.0750	135.2760	175.0750	142.2422	143.1629	
2.0	90.0	2.0	151.9700	138.3183	127.6489	148.9808	146.3861	175.0750	135.2760	175.0750	145.1802	143.1629	
2.0	100.0	2.0	177.4600	138.2244	127.6489	162.7201	153.4946	175.0750	135.2760	175.0750	145.8851	143.1629	
4.0	50.0	2.0	87.2100	86.5200	85.9272	86.1973	66.3061	175.0750	131.6818	175.0750	111.3114	132.5998	
4.0	60.0	2.0	90.6800	86.5205	85.9272	86.2846	73.4146	175.0750	131.6818	175.0750	110.7307	132.5998	
4.0	70.0	2.0	98.3400	86.5210	85.9272	86.4817	80.5232	175.0750	131.6818	175.0750	111.0106	132.5998	
4.0	80.0	2.0	97.9500	86.5214	85.9272	86.8339	87.6317	175.0750	135.2760	175.0750	112.0508	132.5998	
4.0	90.0	2.0	110.3900	86.5215	85.9272	87.4036	94.7402	175.0750	135.2760	175.0750	113.6422	132.5998	
4.0	100.0	2.0	119.2800	86.5213	85.9272	88.2762	101.8488	175.0750	135.2760	175.0750	115.5355	132.5998	
1.0	50.0	3.0	132.0700	138.8709	148.5097	156.8620	139.4052	175.0750	135.8661	175.0750	133.7154	143.1629	
1.0	60.0	3.0	152.0000	139.1330	148.5097	170.6425	146.5138	175.0750	135.8661	175.0750	140.5557	143.1629	
1.0	70.0	3.0	164.2000	139.2749	148.5097	183.8058	153.6223	175.0750	135.8661	175.0750	147.5985	143.1629	
1.0	80.0	3.0	185.0500	139.3437	148.5097	195.6729	160.7308	175.0750	139.4603	175.0750	153.4203	143.1629	
1.0	90.0	3.0	206.4400	139.3600	148.5097	205.8247	167.8394	175.0750	139.4603	175.0750	156.7639	143.1629	
1.0	100.0	3.0	225.0100	139.3287	148.5097	214.1249	174.9479	175.0750	139.4603	175.0750	156.9797	143.1629	
2.0	50.0	3.0	91.3500	135.2371	127.6489	101.1193	113.5823	175.0750	131.6818	175.0750	124.7393	143.1629	
2.0	60.0	3.0	96.8200	136.3929	127.6489	107.7088	120.6909	175.0750	131.6818	175.0750	129.6179	143.1629	
2.0	70.0	3.0	113.2000	137.0367	127.6489	116.0811	127.7994	175.0750	131.6818	175.0750	135.0908	143.1629	
2.0	80.0	3.0	115.1400	137.3535	127.6489	126.3112	134.9079	175.0750	135.2760	175.0750	140.0298	143.1629	
2.0	90.0	3.0	130.7800	137.4293	127.6489	138.2441	142.0165	175.0750	135.2760	175.0750	143.3738	143.1629	
2.0	100.0	3.0	126.7400	137.2842	127.6489	151.4407	149.1250	175.0750	135.2760	175.0750	144.4998	143.1629	
4.0	50.0	3.0	88.1700	86.5194	85.9272	86.5965	61.9365	175.0750	131.6818	175.0750	108.4906	132.5998	
4.0	60.0	3.0	87.1600	86.5197	85.9272	86.6223	69.0451	175.0750	131.6818	175.0750	107.7792	132.5998	
4.0	70.0	3.0	100.1000	86.5201	85.9272	86.7293	76.1536	175.0750	131.6818	175.0750	108.1142	132.5998	
4.0	80.0	3.0	101.9300	86.5203	85.9272	86.9516	83.2621	175.0750	135.2760	175.0750	109.3778	132.5998	
4.0	90.0	3.0	115.8700	86.5203	85.9272	87.3369	90.3707	175.0750	135.2760	175.0750	111.3168	132.5998	
4.0	100.0	3.0	122.7800	86.5202	85.9272	87.9508	97.4792	175.0750	135.2760	175.0750	113.6247	132.5998	
1.0	50.0	4.0	136.5900	138.4831	148.5097	145.6621	135.0357	124.9700	122.5237	113.2767	131.1643	130.3748	
1.0	60.0	4.0	151.4200	138.8454	148.5097	159.3187	142.1442	124.9700	122.5237	113.2767	137.8423	130.3748	
1.0	70.0	4.0	182.1800	139.0421	148.5097	173.0454	149.2527	124.9700	122.5237	113.2767	144.8889	130.3748	
1.0	80.0	4.0	201.1600	139.1376	148.5097	186.0350	156.3613	124.9700	126.1180	113.2767	150.8732	130.3748	
1.0	90.0	4.0	210.9400	139.1603	148.5097	197.6436	163.4698	124.9700	126.1180	113.2767	154.5053	130.3748	
1.0	100.0	4.0	212.2000	139.1167	148.5097	207.4977	170.5783	124.9700	126.1180	113.2767	155.0880	130.3748	
2.0	50.0	4.0	87.2400	133.6026	127.6489	97.1884	109.2128	100.0600	118.3394	113.2767	121.6415	130.3748	
2.0	60.0	4.0	92.2600	135.1268	127.6489	102.4322	116.3213	100.0600	118.3394	113.2767	126.3460	130.3748	
