# Created: Wed Jul 30 23:05:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.20
#	input:	pagerank.csv
#	output:	out-0.20.csv
#	metrics-output:	metrics-0.20.csv
#
# Points picked
# 	(4.0, 50.0, 2.0)
# 	(2.0, 70.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(2.0, 60.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(4.0, 90.0, 3.0)
# 	(2.0, 50.0, 4.0)
# 	(1.0, 70.0, 4.0)
# 	(4.0, 80.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 60.0, 5.0)
# 	(4.0, 70.0, 5.0)
# 	(2.0, 90.0, 5.0)
# 	(1.0, 50.0, 6.0)
# 	(4.0, 60.0, 6.0)
# 	(2.0, 80.0, 6.0)
# 	(1.0, 100.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 70.0, 7.0)
# 	(1.0, 90.0, 7.0)
# 	(4.0, 100.0, 7.0)
# 	(2.0, 60.0, 8.0)
# 	(1.0, 80.0, 8.0)
# 	(4.0, 90.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 80.0, 9.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 60.0, 10.0)
# 	(4.0, 70.0, 10.0)
# 	(2.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	132.9660	144.0478	184.5082	132.3035	186.6333	142.1153	158.9650	133.4772	176.4634	
1.0	60.0	2.0	179.3700	132.9689	144.0478	194.1236	138.0696	186.6333	142.1153	158.9650	146.1089	176.4634	
1.0	70.0	2.0	203.1300	132.9437	144.0478	206.4993	143.8357	186.6333	142.1153	158.9650	159.4599	182.6355	
1.0	80.0	2.0	227.5400	132.8884	144.0478	221.4933	149.6017	186.6333	142.1153	158.9650	170.9011	182.6355	
1.0	90.0	2.0	251.3500	132.7983	144.0478	237.0519	155.3678	195.8978	147.6789	158.9650	178.0010	182.6355	
1.0	100.0	2.0	282.3600	132.6652	144.0478	250.4739	161.1339	195.8978	147.6789	158.9650	179.3658	182.6355	
2.0	50.0	2.0	113.7000	129.9977	125.9462	106.7872	116.3383	91.8093	110.1111	105.6045	112.5218	101.6393	
2.0	60.0	2.0	117.9800	130.0082	125.9462	112.6531	122.1043	91.8093	110.1111	105.6045	121.8461	101.6393	
2.0	70.0	2.0	128.7800	129.9154	125.9462	121.5455	127.8704	91.8093	110.1111	105.6045	133.2410	103.6480	
2.0	80.0	2.0	143.7100	129.7127	125.9462	133.4755	133.6365	110.4022	110.1111	105.6045	144.4575	107.4542	
2.0	90.0	2.0	151.9700	129.3860	125.9462	146.5472	139.4025	110.4022	110.1111	105.6045	153.1123	110.9256	
2.0	100.0	2.0	177.4600	128.9123	125.9462	158.0690	145.1686	110.4022	110.1111	105.6045	157.5101	115.3091	
4.0	50.0	2.0	87.2100	95.1109	89.7431	91.7387	84.4077	91.8093	110.1111	96.5236	89.7013	90.5862	
4.0	60.0	2.0	90.6800	95.1109	89.7431	95.4867	90.1738	91.8093	110.1111	96.5236	91.3416	90.5862	
4.0	70.0	2.0	98.3400	95.1109	89.7431	101.9722	95.9398	91.8093	110.1111	96.5236	96.0916	90.5862	
4.0	80.0	2.0	97.9500	95.1109	89.7431	111.3732	101.7059	110.4022	110.1111	96.5236	103.0563	97.6941	
4.0	90.0	2.0	110.3900	95.1108	89.7431	122.0053	107.4720	110.4022	110.1111	96.5236	110.7630	103.0815	
4.0	100.0	2.0	119.2800	95.1108	89.7431	131.1249	113.2380	110.4022	110.1111	96.5236	117.6672	111.6504	
1.0	50.0	3.0	132.0700	133.0528	144.0478	170.0101	128.7738	186.6333	142.1153	158.9650	130.8057	160.2429	
1.0	60.0	3.0	152.0000	133.0554	144.0478	179.2790	134.5399	186.6333	142.1153	158.9650	143.0468	160.2429	
1.0	70.0	3.0	164.2000	133.0324	144.0478	191.3040	140.3059	186.6333	142.1153	158.9650	156.2245	166.4150	
1.0	80.0	3.0	185.0500	132.9818	144.0478	206.2010	146.0720	186.6333	142.1153	158.9650	167.7582	166.4150	
1.0	90.0	3.0	206.4400	132.8994	144.0478	222.2197	151.8381	195.8978	147.6789	158.9650	175.2047	166.4150	
1.0	100.0	3.0	225.0100	132.7776	144.0478	236.5756	157.6041	195.8978	147.6789	158.9650	177.0995	166.4150	
2.0	50.0	3.0	91.3500	130.3205	125.9462	102.4308	112.8085	91.8093	110.1111	105.6045	108.8673	101.6393	
2.0	60.0	3.0	96.8200	130.3303	125.9462	107.4544	118.5746	91.8093	110.1111	105.6045	117.6928	101.6393	
2.0	70.0	3.0	113.2000	130.2442	125.9462	115.3386	124.3407	91.8093	110.1111	105.6045	128.8840	103.6480	
2.0	80.0	3.0	115.1400	130.0562	125.9462	126.3450	130.1067	110.4022	110.1111	105.6045	140.2469	107.4542	
2.0	90.0	3.0	130.7800	129.7527	125.9462	138.9010	135.8728	110.4022	110.1111	105.6045	149.3743	110.9256	
2.0	100.0	3.0	126.7400	129.3119	125.9462	150.2734	141.6389	110.4022	110.1111	105.6045	154.4741	115.3091	
4.0	50.0	3.0	88.1700	95.1110	89.7431	91.2795	80.8780	91.8093	110.1111	96.5236	86.6859	90.5862	
4.0	60.0	3.0	87.1600	95.1110	89.7431	94.6490	86.6440	91.8093	110.1111	96.5236	87.9989	90.5862	
4.0	70.0	3.0	100.1000	95.1110	89.7431	100.6146	92.4101	91.8093	110.1111	96.5236	92.6976	90.5862	
4.0	80.0	3.0	101.9300	95.1109	89.7431	109.5769	98.1762	110.4022	110.1111	96.5236	99.9101	97.6941	
4.0	90.0	3.0	115.8700	95.1109	89.7431	120.1888	103.9422	110.4022	110.1111	96.5236	108.1145	103.0815	
4.0	100.0	3.0	122.7800	95.1108	89.7431	129.7197	109.7083	110.4022	110.1111	96.5236	115.6603	111.6504	
1.0	50.0	4.0	136.5900	133.1211	144.0478	155.9324	125.2441	186.6333	142.1153	158.9650	127.4921	160.2429	
1.0	60.0	4.0	151.4200	133.1235	144.0478	164.5930	131.0101	186.6333	142.1153	158.9650	138.9274	160.2429	
1.0	70.0	4.0	182.1800	133.1023	144.0478	175.9818	136.7762	186.6333	142.1153	158.9650	151.5134	166.4150	
1.0	80.0	4.0	201.1600	133.0554	144.0478	190.4443	142.5423	186.6333	142.1153	158.9650	162.8015	166.4150	
1.0	90.0	4.0	210.9400	132.9791	144.0478	206.5663	148.3083	195.8978	147.6789	158.9650	170.4096	166.4150	
1.0	100.0	4.0	212.2000	132.8663	144.0478	221.5677	154.0744	195.8978	147.6789	158.9650	172.8378	166.4150	
2.0	50.0	4.0	87.2400	130.5779	125.9462	99.0935	109.2788	91.8093	110.1111	105.6045	105.1657	97.2582	
2.0	60.0	4.0	92.2600	130.5871	125.9462	103.3975	115.0449	91.8093	110.1111	105.6045	113.1755	97.2582	
2.0	70.0	4.0	98.0500	130.5065	125.9462	110.3809	120.8109	91.8093	110.1111	105.6045	123.8057	99.2668	
2.0	80.0	4.0	106.8900	130.3304	125.9462	120.5150	126.5770	110.4022	110.1111	105.6045	134.9892	103.7988	
2.0	90.0	4.0	116.4300	130.0459	125.9462	132.5667	132.3431	110.4022	110.1111	105.6045	144.3648	109.8838	
2.0	100.0	4.0	122.1400	129.6320	125.9462	143.8388	138.1091	110.4022	110.1111	105.6045	150.0866	114.2672	
4.0	50.0	4.0	66.9600	95.1111	89.7431	90.8753	77.3482	91.8093	110.1111	96.5236	84.4195	88.4514	
4.0	60.0	4.0	83.3200	95.1111	89.7431	93.8967	83.1143	91.8093	110.1111	96.5236	85.3470	88.4514	
