# Created: Wed Jul 30 23:05:58 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.25
#	input:	pagerank.csv
#	output:	out-0.25.csv
#	metrics-output:	metrics-0.25.csv
#
# Points picked
# 	(4.0, 50.0, 2.0)
# 	(1.0, 70.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(4.0, 90.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 60.0, 3.0)
# 	(4.0, 70.0, 3.0)
# 	(1.0, 90.0, 3.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 50.0, 4.0)
# 	(1.0, 70.0, 4.0)
# 	(2.0, 80.0, 4.0)
# 	(4.0, 90.0, 4.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(4.0, 70.0, 5.0)
# 	(1.0, 90.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(2.0, 80.0, 6.0)
# 	(4.0, 90.0, 6.0)
# 	(1.0, 50.0, 7.0)
# 	(2.0, 60.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(1.0, 90.0, 7.0)
# 	(2.0, 100.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(1.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(4.0, 90.0, 8.0)
# 	(1.0, 50.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(4.0, 70.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(2.0, 100.0, 9.0)
# 	(4.0, 50.0, 10.0)
# 	(1.0, 70.0, 10.0)
# 	(2.0, 80.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	96.0118	139.6006	173.3202	127.9479	180.6144	149.4837	147.7454	135.6938	155.7065	
1.0	60.0	2.0	179.3700	99.1038	139.6006	190.7230	132.9725	180.6144	149.4837	147.7454	147.1294	162.8222	
1.0	70.0	2.0	203.1300	118.5976	139.6006	206.0875	137.9971	180.6144	149.4837	147.7454	157.3116	169.7102	
1.0	80.0	2.0	227.5400	126.5486	139.6006	218.6892	143.0216	180.6144	149.4837	147.7454	164.0469	169.7102	
1.0	90.0	2.0	251.3500	126.8369	139.6006	228.4116	148.0462	180.6144	149.4837	147.7454	165.9257	169.7102	
1.0	100.0	2.0	282.3600	126.8416	139.6006	235.5625	153.0707	180.6144	149.4837	147.7454	162.8002	169.7102	
2.0	50.0	2.0	113.7000	95.9306	120.7349	110.3139	112.1366	110.7504	101.7881	108.5177	115.0358	110.6018	
2.0	60.0	2.0	117.9800	98.1695	120.7349	119.8847	117.1612	110.7504	105.4912	108.5177	123.7147	111.5699	
2.0	70.0	2.0	128.7800	116.2524	120.7349	130.6917	122.1857	110.7504	105.4912	108.5177	132.3595	118.4579	
2.0	80.0	2.0	143.7100	126.4239	120.7349	142.6412	127.2103	110.7504	108.5825	108.5177	139.0536	118.4579	
2.0	90.0	2.0	151.9700	126.8349	120.7349	155.6792	132.2348	110.7504	104.6573	108.5177	142.4125	118.4579	
2.0	100.0	2.0	177.4600	126.8416	120.7349	169.6230	137.2594	130.7075	110.8965	108.5177	142.0473	120.8331	
4.0	50.0	2.0	87.2100	95.7923	83.0035	87.6049	80.5140	78.4946	92.5208	86.7850	88.4149	98.1252	
4.0	60.0	2.0	90.6800	96.4365	83.0035	91.4735	85.5385	78.4946	96.2239	86.7850	90.7446	104.2996	
4.0	70.0	2.0	98.3400	106.4247	83.0035	96.2699	90.5631	109.1171	96.2239	86.7850	94.4727	104.2996	
