# Created: Wed Jul 30 23:06:09 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.35
#	input:	pagerank.csv
#	output:	out-0.35.csv
#	metrics-output:	metrics-0.35.csv
#
# Points picked
# 	(2.0, 50.0, 2.0)
# 	(2.0, 60.0, 2.0)
# 	(2.0, 70.0, 2.0)
# 	(2.0, 80.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 60.0, 3.0)
# 	(1.0, 70.0, 3.0)
# 	(1.0, 80.0, 3.0)
# 	(1.0, 90.0, 3.0)
# 	(4.0, 90.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 60.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(4.0, 80.0, 4.0)
# 	(4.0, 90.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(2.0, 50.0, 5.0)
# 	(2.0, 60.0, 5.0)
# 	(2.0, 70.0, 5.0)
# 	(2.0, 80.0, 5.0)
# 	(2.0, 90.0, 5.0)
# 	(2.0, 100.0, 5.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 60.0, 6.0)
# 	(1.0, 70.0, 6.0)
# 	(1.0, 80.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 50.0, 7.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 60.0, 7.0)
# 	(4.0, 70.0, 7.0)
# 	(4.0, 80.0, 7.0)
# 	(4.0, 90.0, 7.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 60.0, 8.0)
# 	(2.0, 70.0, 8.0)
# 	(2.0, 80.0, 8.0)
# 	(2.0, 90.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 60.0, 9.0)
# 	(1.0, 70.0, 9.0)
# 	(1.0, 80.0, 9.0)
# 	(1.0, 90.0, 9.0)
# 	(1.0, 100.0, 9.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 60.0, 10.0)
# 	(1.0, 70.0, 10.0)
# 	(4.0, 70.0, 10.0)
# 	(4.0, 80.0, 10.0)
# 	(4.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
1.0	50.0	2.0	150.3600	108.6578	151.7550	136.7252	136.8681	143.0083	161.5878	161.9848	137.3092	174.8279	
1.0	60.0	2.0	179.3700	108.8788	151.7550	152.9812	147.6814	143.0083	164.3397	161.9848	151.3445	176.4113	
1.0	70.0	2.0	203.1300	112.4139	151.7550	174.2524	158.4947	143.0083	172.0399	161.9848	167.9676	179.4476	
1.0	80.0	2.0	227.5400	130.9425	151.7550	202.4304	169.3080	266.8550	180.4800	161.9848	184.3764	205.6261	
1.0	90.0	2.0	251.3500	139.7856	151.7550	237.7977	180.1213	266.8550	184.5675	161.9848	197.2433	212.5687	
1.0	100.0	2.0	282.3600	140.5553	151.7550	278.0975	190.9346	266.8550	184.5675	161.9848	203.8089	217.9207	
2.0	50.0	2.0	113.7000	108.6633	129.3798	104.2414	114.6157	125.7024	132.8816	111.4778	114.6549	124.4980	
2.0	60.0	2.0	117.9800	108.9837	129.3798	112.8353	125.4290	125.7024	132.8816	111.4778	123.6922	124.4980	
2.0	70.0	2.0	128.7800	113.8477	129.3798	119.9836	136.2423	125.7024	144.9851	111.4778	136.2946	127.2331	
2.0	80.0	2.0	143.7100	133.2694	129.3798	126.4848	147.0556	125.7024	145.5054	111.4778	150.3825	127.2331	
2.0	90.0	2.0	151.9700	140.0385	129.3798	133.7518	157.8689	125.7024	145.5054	111.4778	163.1070	128.2770	
2.0	100.0	2.0	177.4600	140.5722	129.3798	143.4767	168.6822	125.7024	146.6845	111.4778	171.7834	128.8641	
4.0	50.0	2.0	87.2100	108.7271	84.6293	73.0415	70.1109	125.7024	128.7971	90.9476	91.1034	115.8783	
4.0	60.0	2.0	90.6800	110.1380	84.6293	77.9218	80.9242	125.7024	128.7971	90.9476	91.2848	115.8783	
4.0	70.0	2.0	98.3400	123.7000	84.6293	85.0775	91.7375	125.7024	136.0583	90.9476	95.0185	117.8949	
4.0	80.0	2.0	97.9500	138.6563	84.6293	93.9256	102.5508	125.7024	136.0583	90.9476	101.7846	117.8949	
4.0	90.0	2.0	110.3900	140.4831	84.6293	102.8279	113.3641	125.7024	137.3000	90.9476	110.2502	117.8949	
4.0	100.0	2.0	119.2800	140.6014	84.6293	110.1227	124.1774	125.7024	143.7826	90.9476	118.6925	123.0041	
1.0	50.0	3.0	132.0700	108.6575	151.7550	131.3783	132.8992	143.0083	150.6317	161.9848	133.8939	132.9528	
1.0	60.0	3.0	152.0000	108.8747	151.7550	145.7714	143.7125	143.0083	153.3835	161.9848	147.2961	134.5361	
