# Created: Fri Aug 01 15:38:45 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	results/pagerank/values-0.05.csv
#	metrics-output:	results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	50.0	2.0	150.3600	174.2275	147.6817	139.1183	174.2275	103.6500	129.3450	156.6635	152.0825	151.4959	
1.0	60.0	2.0	179.3700	174.2275	160.0536	139.1183	174.2275	112.6813	219.1100	156.6635	157.3460	170.3694	
1.0	70.0	2.0	203.1300	174.2275	174.0792	139.1183	174.2275	125.2038	219.1100	156.6635	162.6095	194.3732	
1.0	80.0	2.0	227.5400	174.2275	187.4675	150.5542	174.2275	139.2762	219.1100	165.6649	167.8730	222.6663	
1.0	90.0	2.0	251.3500	174.2275	197.6264	150.5542	174.2275	151.7987	219.1100	165.6649	173.1365	252.9800	
1.0	100.0	2.0	282.3600	174.2275	202.4699	150.5542	174.2275	160.8300	219.1100	165.6649	178.4000	282.2229	
2.0	50.0	2.0	113.7000	146.2358	134.8653	139.1183	174.2275	103.6500	90.2525	156.6635	131.1300	121.1298	
2.0	60.0	2.0	117.9800	146.2358	145.2857	139.1183	174.2275	112.6813	90.2525	156.6635	136.3935	131.6903	
2.0	70.0	2.0	128.7800	146.2358	157.7343	139.1183	174.2275	125.2038	90.2525	156.6635	141.6570	146.0953	
2.0	80.0	2.0	143.7100	146.2358	170.1195	150.5542	174.2275	139.2762	90.2525	165.6649	146.9205	165.2890	
2.0	90.0	2.0	151.9700	146.2358	180.0435	150.5542	174.2275	151.7987	90.2525	165.6649	152.1840	189.6218	
2.0	100.0	2.0	177.4600	146.2358	185.5487	150.5542	174.2275	160.8300	90.2525	165.6649	157.4475	218.2477	
4.0	50.0	2.0	87.2100	90.2525	106.9008	113.9258	90.2525	103.6500	90.2525	115.1150	89.2250	86.0217	
4.0	60.0	2.0	90.6800	90.2525	109.6495	113.9258	90.2525	112.6813	90.2525	115.1150	94.4885	89.5176	
4.0	70.0	2.0	98.3400	90.2525	114.5262	113.9258	90.2525	125.2038	90.2525	115.1150	99.7520	93.9447	
4.0	80.0	2.0	97.9500	90.2525	120.5736	125.3618	90.2525	139.2762	90.2525	124.1164	105.0155	99.7534	
4.0	90.0	2.0	110.3900	90.2525	126.6207	125.3618	90.2525	151.7987	90.2525	124.1164	110.2790	107.5953	
4.0	100.0	2.0	119.2800	90.2525	131.6481	125.3618	90.2525	160.8300	90.2525	124.1164	115.5425	118.3455	
1.0	50.0	3.0	132.0700	174.2275	145.2867	139.1183	174.2275	103.6500	129.3450	156.6635	149.0497	142.4870	
1.0	60.0	3.0	152.0000	174.2275	157.5179	139.1183	174.2275	112.6813	219.1100	156.6635	154.3132	158.7241	
1.0	70.0	3.0	164.2000	174.2275	171.5198	139.1183	174.2275	125.2038	219.1100	156.6635	159.5767	180.0102	
1.0	80.0	3.0	185.0500	174.2275	184.9928	150.5542	174.2275	139.2762	219.1100	165.6649	164.8402	206.2202	
1.0	90.0	3.0	206.4400	174.2275	195.3286	150.5542	174.2275	151.7987	219.1100	165.6649	170.1037	235.8440	
1.0	100.0	3.0	225.0100	174.2275	200.4218	150.5542	174.2275	160.8300	219.1100	165.6649	175.3672	266.1085	
2.0	50.0	3.0	91.3500	146.2358	131.8807	139.1183	174.2275	103.6500	90.2525	156.6635	128.0972	115.5996	
2.0	60.0	3.0	96.8200	146.2358	142.1081	139.1183	174.2275	112.6813	90.2525	156.6635	133.3607	124.5473	
2.0	70.0	3.0	113.2000	146.2358	154.5057	139.1183	174.2275	125.2038	90.2525	156.6635	138.6242	136.7720	
2.0	80.0	3.0	115.1400	146.2358	166.9750	150.5542	174.2275	139.2762	90.2525	165.6649	143.8877	153.3138	
2.0	90.0	3.0	130.7800	146.2358	177.1019	150.5542	174.2275	151.7987	90.2525	165.6649	149.1512	174.9197	
2.0	100.0	3.0	126.7400	146.2358	182.9084	150.5542	174.2275	160.8300	90.2525	165.6649	154.4147	201.4589	
4.0	50.0	3.0	78.1700	90.2525	103.6877	113.9258	90.2525	103.6500	90.2525	115.1150	86.1922	83.4794	
4.0	60.0	3.0	87.1600	90.2525	106.1985	113.9258	90.2525	112.6813	90.2525	115.1150	91.4557	86.5587	
4.0	70.0	3.0	100.1000	90.2525	110.9841	113.9258	90.2525	125.2038	90.2525	115.1150	96.7192	90.3968	
4.0	80.0	3.0	101.9300	90.2525	117.0855	125.3618	90.2525	139.2762	90.2525	124.1164	101.9827	95.3561	
4.0	90.0	3.0	115.8700	90.2525	123.3215	125.3618	90.2525	151.7987	90.2525	124.1164	107.2462	101.9745	
4.0	100.0	3.0	122.7800	90.2525	128.6563	125.3618	90.2525	160.8300	90.2525	124.1164	112.5097	111.0072	
1.0	50.0	4.0	136.5900	174.2275	142.0482	139.1183	174.2275	103.6500	129.3450	156.6635	146.0169	134.6687	
1.0	60.0	4.0	151.4200	174.2275	153.7819	139.1183	174.2275	112.6813	219.1100	156.6635	151.2804	148.5003	
1.0	70.0	4.0	182.1800	174.2275	167.3800	139.1183	174.2275	125.2038	219.1100	156.6635	156.5439	167.0415	
1.0	80.0	4.0	201.1600	174.2275	180.5942	150.5542	174.2275	139.2762	219.1100	165.6649	161.8074	190.7223	
1.0	90.0	4.0	210.9400	174.2275	190.8662	150.5542	174.2275	151.7987	219.1100	165.6649	167.0709	218.8219	
1.0	100.0	4.0	212.2000	174.2275	196.1242	150.5542	174.2275	160.8300	219.1100	165.6649	172.3344	249.1824	
2.0	50.0	4.0	87.2400	146.2358	128.2903	139.1183	174.2275	103.6500	90.2525	156.6635	125.0644	110.7028	
2.0	60.0	4.0	92.2600	146.2358	138.0107	139.1183	174.2275	112.6813	90.2525	156.6635	130.3279	118.3144	
2.0	70.0	4.0	98.0500	146.2358	150.0146	139.1183	174.2275	125.2038	90.2525	156.6635	135.5914	128.6627	
2.0	80.0	4.0	106.8900	146.2358	162.2512	150.5542	174.2275	139.2762	90.2525	165.6649	140.8549	142.7762	
2.0	90.0	4.0	116.4300	146.2358	172.3515	150.5542	174.2275	151.7987	90.2525	165.6649	146.1184	161.6213	
2.0	100.0	4.0	122.1400	146.2358	178.3657	150.5542	174.2275	160.8300	90.2525	165.6649	151.3819	185.6218	
4.0	50.0	4.0	66.9600	90.2525	100.5772	113.9258	90.2525	103.6500	90.2525	115.1150	83.1594	81.1628	
4.0	60.0	4.0	83.3200	90.2525	102.7338	113.9258	90.2525	112.6813	90.2525	115.1150	88.4229	83.8876	
4.0	70.0	4.0	74.3100	90.2525	107.2811	113.9258	90.2525	125.2038	90.2525	115.1150	93.6864	87.2342	
4.0	80.0	4.0	83.1300	90.2525	113.2842	125.3618	90.2525	139.2762	90.2525	124.1164	98.9499	91.4918	
4.0	90.0	4.0	87.0900	90.2525	119.5809	125.3618	90.2525	151.7987	90.2525	124.1164	104.2134	97.0978	
