# Created: Fri Aug 01 15:38:47 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.075
#	output:	results/pagerank/values-0.075.csv
#	metrics-output:	results/pagerank/metrics-0.075.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	172.6158	164.7617	150.9680	148.7510	120.2345	174.2275	143.8455	148.8451	143.5473	
1.0	60.0	2.0	179.3700	172.6158	164.7617	169.7711	151.7662	140.3673	174.2275	143.8455	148.8451	152.6926	
1.0	70.0	2.0	203.1300	172.6158	164.7617	192.0505	154.7814	149.8923	174.2275	143.8455	148.8451	162.8604	
1.0	80.0	2.0	227.5400	172.6158	164.7617	217.5385	157.7967	153.4419	174.2275	143.8455	165.4885	172.4081	
1.0	90.0	2.0	251.3500	172.6158	164.7617	245.4099	160.8119	154.7580	174.2275	143.8455	165.4885	179.4873	
1.0	100.0	2.0	282.3600	172.6158	164.7617	274.3274	163.8271	155.2832	174.2275	143.8455	165.4885	182.6191	
2.0	50.0	2.0	113.7000	172.6158	140.8317	99.1854	135.3998	109.8029	121.9000	120.5065	117.9672	129.6068	
2.0	60.0	2.0	117.9800	172.6158	140.8317	103.6670	138.4150	132.1557	121.9000	120.5065	117.9672	136.2366	
2.0	70.0	2.0	128.7800	172.6158	140.8317	108.7350	141.4303	145.8582	121.9000	120.5065	117.9672	144.2137	
2.0	80.0	2.0	143.7100	172.6158	140.8317	114.7009	144.4455	151.6547	121.9000	120.5065	134.6106	152.1929	
2.0	90.0	2.0	151.9700	172.6158	140.8317	121.9689	147.4607	153.9135	121.9000	120.5065	134.6106	158.6294	
2.0	100.0	2.0	177.4600	172.6158	140.8317	131.0335	150.4760	154.8324	121.9000	120.5065	134.6106	162.2598	
4.0	50.0	2.0	87.2100	80.5767	92.9717	80.9236	108.6975	90.2623	96.7580	114.1293	105.4756	104.9150	
4.0	60.0	2.0	90.6800	108.8144	92.9717	84.1706	111.7128	104.4334	96.7580	114.1293	105.4756	106.1417	
4.0	70.0	2.0	98.3400	108.8144	92.9717	87.2870	114.7280	123.9081	96.7580	114.1293	105.4756	109.0919	
4.0	80.0	2.0	97.9500	108.8144	92.9717	90.2230	117.7432	139.0590	96.7580	114.1293	118.9751	113.1412	
4.0	90.0	2.0	110.3900	108.8144	92.9717	92.9438	120.7585	147.2302	96.7580	114.1293	118.9751	117.5056	
4.0	100.0	2.0	119.2800	108.8144	92.9717	95.4313	123.7737	151.0805	96.7580	114.1293	118.9751	121.4856	
1.0	50.0	3.0	132.0700	172.6158	164.7617	140.1932	143.8254	116.1328	174.2275	143.8455	148.8451	140.6116	
1.0	60.0	3.0	152.0000	172.6158	164.7617	156.6797	146.8406	137.4617	174.2275	143.8455	148.8451	149.2597	
1.0	70.0	3.0	164.2000	172.6158	164.7617	176.5597	149.8558	148.5474	174.2275	143.8455	148.8451	159.0054	
1.0	80.0	3.0	185.0500	172.6158	164.7617	199.8887	152.8711	152.8603	174.2275	143.8455	157.5758	168.2623	
1.0	90.0	3.0	206.4400	172.6158	164.7617	226.2297	155.8863	154.4857	174.2275	143.8455	157.5758	175.2381	
1.0	100.0	3.0	225.0100	172.6158	164.7617	254.5809	158.9015	155.1384	174.2275	143.8455	157.5758	178.4931	
2.0	50.0	3.0	91.3500	172.6158	140.8317	96.5490	130.4742	106.0721	121.9000	120.5065	117.9672	125.9724	
2.0	60.0	3.0	96.8200	172.6158	140.8317	100.7440	133.4895	128.4366	121.9000	120.5065	117.9672	131.9992	
2.0	70.0	3.0	113.2000	172.6158	140.8317	105.3611	136.5047	143.7677	121.9000	120.5065	117.9672	139.4690	
2.0	80.0	3.0	115.1400	172.6158	140.8317	110.6536	139.5199	150.6760	121.9000	120.5065	126.6979	147.1035	
2.0	90.0	3.0	130.7800	172.6158	140.8317	116.9626	142.5352	153.4411	121.9000	120.5065	126.6979	153.4244	
2.0	100.0	3.0	126.7400	172.6158	140.8317	124.7223	145.5504	154.5780	121.9000	120.5065	126.6979	157.2145	
4.0	50.0	3.0	78.1700	80.5767	92.9717	78.9280	103.7719	88.7935	96.7580	114.1293	105.4756	101.3890	
4.0	60.0	3.0	87.1600	108.8144	92.9717	82.2241	106.7872	101.1299	96.7580	114.1293	105.4756	102.1448	
4.0	70.0	3.0	100.1000	108.8144	92.9717	85.4255	109.8024	119.8286	96.7580	114.1293	105.4756	104.7410	
4.0	80.0	3.0	101.9300	108.8144	92.9717	88.4746	112.8176	135.9919	96.7580	114.1293	111.0624	108.5945	
4.0	90.0	3.0	115.8700	108.8144	92.9717	91.3273	115.8329	145.3790	96.7580	114.1293	111.0624	112.9593	
4.0	100.0	3.0	122.7800	108.8144	92.9717	93.9551	118.8481	149.9798	96.7580	114.1293	111.0624	117.1585	
1.0	50.0	4.0	136.5900	172.6158	164.7617	130.8596	138.8998	111.1983	174.2275	143.8455	148.8451	136.9815	
1.0	60.0	4.0	151.4200	172.6158	164.7617	145.2094	141.9150	133.4244	174.2275	143.8455	148.8451	144.8957	
1.0	70.0	4.0	182.1800	172.6158	164.7617	162.7179	144.9302	146.5308	174.2275	143.8455	148.8451	153.9757	
1.0	80.0	4.0	201.1600	172.6158	164.7617	183.6827	147.9455	151.9617	174.2275	143.8455	157.5758	162.7284	
1.0	90.0	4.0	210.9400	172.6158	164.7617	208.0197	150.9607	154.0603	174.2275	143.8455	157.5758	169.4592	
1.0	100.0	4.0	212.2000	172.6158	164.7617	235.1141	153.9759	154.9111	174.2275	143.8455	157.5758	172.7997	
2.0	50.0	4.0	87.2400	172.6158	140.8317	94.0521	125.5486	101.8758	121.9000	120.5065	117.9672	121.9146	
2.0	60.0	4.0	92.2600	172.6158	140.8317	98.0445	128.5639	123.5764	121.9000	120.5065	117.9672	127.1603	
2.0	70.0	4.0	98.0500	172.6158	140.8317	102.3290	131.5791	140.7349	121.9000	120.5065	117.9672	133.9332	
2.0	80.0	4.0	106.8900	172.6158	140.8317	107.1065	134.5943	149.1867	121.9000	120.5065	126.6979	141.0516	
2.0	90.0	4.0	116.4300	172.6158	140.8317	112.6582	137.6096	152.7083	121.9000	120.5065	126.6979	147.1373	
2.0	100.0	4.0	122.1400	172.6158	140.8317	119.3547	140.6248	154.1803	121.9000	120.5065	126.6979	151.0449	
4.0	50.0	4.0	66.9600	80.5767	92.9717	76.9224	98.8463	87.3208	96.7580	114.1293	105.4756	98.0225	
4.0	60.0	4.0	83.3200	108.8144	92.9717	80.2436	101.8616	97.5345	96.7580	114.1293	105.4756	98.2552	
4.0	70.0	4.0	74.3100	108.8144	92.9717	83.5092	104.8768	114.7978	96.7580	114.1293	105.4756	100.4244	
4.0	80.0	4.0	83.1300	108.8144	92.9717	86.6557	107.8920	131.7728	96.7580	114.1293	111.0624	104.0017	
4.0	90.0	4.0	87.0900	108.8144	92.9717	89.6304	110.9073	142.6634	96.7580	114.1293	111.0624	108.2944	
4.0	100.0	4.0	95.7400	108.8144	92.9717	92.3950	113.9225	148.3128	96.7580	114.1293	111.0624	112.6616	
1.0	50.0	5.0	110.7600	172.6158	164.7617	122.8003	133.9742	105.7157	174.2275	143.8455	148.8451	132.9317	
1.0	60.0	5.0	128.2500	172.6158	164.7617	135.2485	136.9894	128.0538	174.2275	143.8455	148.8451	139.9506	
1.0	70.0	5.0	137.9100	172.6158	164.7617	150.5272	140.0047	143.5418	174.2275	143.8455	148.8451	148.1951	
1.0	80.0	5.0	155.0100	172.6158	164.7617	169.0898	143.0199	150.5679	174.2275	143.8455	157.5758	156.2922	
1.0	90.0	5.0	171.6000	172.6158	164.7617	191.1334	146.0351	153.3886	174.2275	143.8455	157.5758	162.6742	
1.0	100.0	5.0	201.4800	172.6158	164.7617	216.4186	149.0504	154.5496	174.2275	143.8455	157.5758	166.0670	
2.0	50.0	5.0	100.0400	172.6158	140.8317	91.6532	120.6230	97.5495	121.9000	120.5065	117.9672	117.7171	
2.0	60.0	5.0	101.2700	172.6158	140.8317	95.5071	123.6383	117.6091	121.9000	120.5065	117.9672	122.0796	
2.0	70.0	5.0	109.5000	172.6158	140.8317	99.5537	126.6535	136.4505	121.9000	120.5065	117.9672	128.0408	
2.0	80.0	5.0	117.3000	172.6158	140.8317	103.9471	129.6687	146.9297	121.9000	120.5065	126.6979	134.5341	
2.0	90.0	5.0	126.7800	172.6158	140.8317	108.9135	132.6840	151.5645	121.9000	120.5065	126.6979	140.3024	
2.0	100.0	5.0	134.8100	172.6158	140.8317	114.7619	135.6992	153.5517	121.9000	120.5065	126.6979	144.2894	
4.0	50.0	5.0	66.8200	80.5767	92.9717	74.9221	93.9208	85.9698	96.7580	114.1293	105.4756	95.0041	
4.0	60.0	5.0	65.9200	108.8144	92.9717	78.2433	96.9360	93.9545	96.7580	114.1293	105.4756	94.7066	
4.0	70.0	5.0	74.8100	108.8144	92.9717	81.5502	99.9512	109.0437	96.7580	114.1293	105.4756	96.4190	
4.0	80.0	5.0	71.3700	108.8144	92.9717	84.7751	102.9665	126.2355	96.7580	114.1293	111.0624	99.6743	
4.0	90.0	5.0	83.7000	108.8144	92.9717	87.8582	105.9817	138.7655	96.7580	114.1293	111.0624	103.8422	
4.0	100.0	5.0	89.5600	108.8144	92.9717	90.7522	108.9969	145.8050	96.7580	114.1293	111.0624	108.3254	
1.0	50.0	6.0	131.5700	122.7800	164.7617	115.8375	129.0486	100.1339	174.2275	143.8455	148.8451	128.7834	
1.0	60.0	6.0	139.2100	122.7800	164.7617	126.6417	132.0638	121.3052	174.2275	143.8455	148.8451	134.8299	
1.0	70.0	6.0	137.2200	122.7800	164.7617	139.9052	135.0791	139.1840	174.2275	143.8455	148.8451	142.1515	
1.0	80.0	6.0	160.9800	122.7800	164.7617	156.1599	138.0943	148.3913	174.2275	143.8455	157.5758	149.5097	
1.0	90.0	6.0	173.8500	122.7800	164.7617	175.7986	141.1095	152.3099	174.2275	143.8455	157.5758	155.4798	
1.0	100.0	6.0	192.6700	122.7800	164.7617	198.8993	144.1248	153.9624	174.2275	143.8455	157.5758	158.8949	
2.0	50.0	6.0	96.7900	122.7800	140.8317	89.3221	115.6975	93.4697	121.9000	120.5065	117.9672	113.6960	
2.0	60.0	6.0	106.1100	122.7800	140.8317	93.0845	118.7127	110.8158	121.9000	120.5065	117.9672	117.1549	
2.0	70.0	6.0	102.9600	122.7800	140.8317	96.9666	121.7279	130.6175	121.9000	120.5065	117.9672	122.2688	
2.0	80.0	6.0	107.9900	122.7800	140.8317	101.0817	124.7432	143.5286	121.9000	120.5065	126.6979	128.0933	
2.0	90.0	6.0	116.1100	122.7800	140.8317	105.6065	127.7584	149.7605	121.9000	120.5065	126.6979	133.5008	
2.0	100.0	6.0	114.3800	122.7800	140.8317	110.7929	130.7736	152.5407	121.9000	120.5065	126.6979	137.5314	
4.0	50.0	6.0	68.6800	80.5767	92.9717	72.9422	88.9952	84.8273	96.7580	114.1293	102.2259	92.5267	
4.0	60.0	6.0	74.4500	108.8144	92.9717	76.2381	92.0104	90.6906	96.7580	114.1293	102.2259	91.7378	
4.0	70.0	6.0	71.7600	108.8144	92.9717	79.5617	95.0256	102.9998	96.7580	114.1293	102.2259	93.0071	
4.0	80.0	6.0	77.1100	108.8144	92.9717	82.8434	98.0409	119.3966	96.7580	114.1293	107.8128	95.9296	
4.0	90.0	6.0	82.5700	108.8144	92.9717	86.0180	101.0561	133.3392	96.7580	114.1293	107.8128	99.9395	
4.0	100.0	6.0	85.5400	108.8144	92.9717	89.0301	104.0713	142.0673	96.7580	114.1293	107.8128	104.4864	
1.0	50.0	7.0	117.9300	122.7800	164.7617	109.7976	124.1230	94.9754	174.2275	143.8455	148.8451	124.8622	
1.0	60.0	7.0	117.2900	122.7800	164.7617	119.2136	127.1382	113.4763	174.2275	143.8455	148.8451	129.9398	
1.0	70.0	7.0	138.5100	122.7800	164.7617	130.7131	130.1535	133.0412	174.2275	143.8455	148.8451	136.3290	
1.0	80.0	7.0	135.8200	122.7800	164.7617	144.8462	133.1687	144.9914	174.2275	143.8455	157.5758	142.9283	
1.0	90.0	7.0	149.7100	122.7800	164.7617	162.1183	136.1839	150.5486	174.2275	143.8455	157.5758	148.4600	
1.0	100.0	7.0	161.0500	122.7800	164.7617	182.8433	139.1992	152.9854	174.2275	143.8455	157.5758	151.8682	
