# Created: Fri Aug 01 15:38:50 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.10
#	output:	results/pagerank/values-0.10.csv
#	metrics-output:	results/pagerank/metrics-0.10.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 7.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	124.7075	157.9077	150.8409	145.2851	148.3653	171.5920	143.9290	154.9327	143.3217	
1.0	60.0	2.0	179.3700	199.7567	157.9077	171.3417	146.4636	148.3648	171.5920	143.9290	154.9327	152.3982	
1.0	70.0	2.0	203.1300	199.7567	157.9077	194.0935	147.6420	148.3643	171.5920	143.9290	154.9327	162.4535	
1.0	80.0	2.0	227.5400	199.7567	157.9077	217.1170	148.8205	148.3639	171.5920	150.4435	158.2009	171.8665	
1.0	90.0	2.0	251.3500	199.7567	157.9077	238.6336	149.9990	148.3636	171.5920	150.4435	158.2009	178.8147	
1.0	100.0	2.0	282.3600	199.7567	157.9077	257.9776	151.1775	148.3634	171.5920	150.4435	158.2009	181.8418	
2.0	50.0	2.0	113.7000	80.5767	135.2437	82.9656	135.0189	148.3657	118.1383	127.0590	115.1298	129.0312	
2.0	60.0	2.0	117.9800	125.1442	135.2437	95.5925	136.1974	148.3652	118.1383	127.0590	115.1298	135.3930	
2.0	70.0	2.0	128.7800	125.1442	135.2437	109.8872	137.3759	148.3648	118.1383	127.0590	115.1298	143.0378	
2.0	80.0	2.0	143.7100	125.1442	135.2437	124.0780	138.5544	148.3644	118.1383	131.2014	122.1214	150.6774	
2.0	90.0	2.0	151.9700	125.1442	135.2437	137.0516	139.7329	148.3641	118.1383	131.2014	122.1214	156.8327	
2.0	100.0	2.0	177.4600	125.1442	135.2437	148.8374	140.9114	148.3640	118.1383	131.2014	122.1214	160.2944	
4.0	50.0	2.0	87.2100	80.5767	89.9158	66.1927	114.4867	148.3670	96.7580	127.0590	112.9917	104.6341	
4.0	60.0	2.0	90.6800	125.1442	89.9158	75.3954	115.6652	148.3669	96.7580	127.0590	112.9917	105.7305	
4.0	70.0	2.0	98.3400	125.1442	89.9158	84.2917	116.8437	148.3667	96.7580	127.0590	112.9917	108.4970	
4.0	80.0	2.0	97.9500	125.1442	89.9158	91.3507	118.0222	148.3666	96.7580	131.2014	119.9834	112.3426	
4.0	90.0	2.0	110.3900	125.1442	89.9158	96.1831	119.2007	148.3664	96.7580	131.2014	119.9834	116.5226	
4.0	100.0	2.0	119.2800	125.1442	89.9158	99.2480	120.3792	148.3664	96.7580	131.2014	119.9834	120.3710	
1.0	50.0	3.0	132.0700	124.7075	157.9077	137.8358	140.4309	148.3370	171.5920	139.3747	151.7635	140.2948	
1.0	60.0	3.0	152.0000	199.7567	157.9077	157.5447	141.6094	148.3308	171.5920	139.3747	151.7635	148.8049	
1.0	70.0	3.0	164.2000	199.7567	157.9077	179.4027	142.7879	148.3250	171.5920	139.3747	151.7635	158.3600	
1.0	80.0	3.0	185.0500	199.7567	157.9077	201.4285	143.9664	148.3199	171.5920	145.8892	155.0316	167.4077	
1.0	90.0	3.0	206.4400	199.7567	157.9077	222.0647	145.1449	148.3161	171.5920	145.8892	155.0316	174.1965	
1.0	100.0	3.0	225.0100	199.7567	157.9077	240.8758	146.3234	148.3140	171.5920	145.8892	155.0316	177.3205	
2.0	50.0	3.0	91.3500	80.5767	135.2437	79.8736	130.1648	148.3409	118.1383	122.5048	114.4470	125.2124	
2.0	60.0	3.0	96.8200	125.1442	135.2437	92.0013	131.3433	148.3355	118.1383	122.5048	114.4470	130.8561	
2.0	70.0	3.0	113.2000	125.1442	135.2437	105.3716	132.5218	148.3304	118.1383	122.5048	114.4470	137.8658	
