# Created: Fri Aug 01 15:38:53 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 7.0)
# 	(2.0, 100.0, 10.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 100.0, 5.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	123.1355	154.4091	153.6846	139.3521	133.6294	171.5920	138.3927	148.4104	141.6400	
1.0	60.0	2.0	179.3700	199.7567	154.4091	166.5947	141.4640	133.6294	171.5920	138.3927	148.4104	150.6592	
1.0	70.0	2.0	203.1300	199.7567	154.4091	184.8666	143.5758	133.6294	171.5920	138.3927	148.4104	160.4327	
1.0	80.0	2.0	227.5400	199.7567	154.4091	209.6547	145.6876	133.6294	171.5920	160.0904	152.8109	169.4053	
1.0	90.0	2.0	251.3500	199.7567	154.4091	241.0854	147.7995	133.6294	171.5920	160.0904	152.8109	175.8399	
1.0	100.0	2.0	282.3600	199.7567	154.4091	277.5154	149.9113	133.6294	171.5920	160.0904	152.8109	178.3584	
2.0	50.0	2.0	113.7000	82.8225	132.7552	128.9993	126.1238	133.6300	116.6463	126.5261	115.9937	127.3873	
2.0	60.0	2.0	117.9800	126.4038	132.7552	131.9571	128.2356	133.6300	116.6463	126.5261	115.9937	133.4314	
2.0	70.0	2.0	128.7800	126.4038	132.7552	135.3528	130.3474	133.6300	116.6463	126.5261	115.9937	140.4773	
2.0	80.0	2.0	143.7100	126.4038	132.7552	139.7043	132.4593	133.6300	116.6463	126.5261	124.2633	147.3562	
2.0	90.0	2.0	151.9700	126.4038	132.7552	145.7425	134.5711	133.6300	116.6463	126.5261	124.2633	152.7365	
2.0	100.0	2.0	177.4600	126.4038	132.7552	154.4706	136.6829	133.6300	116.6463	126.5261	124.2633	155.5377	
4.0	50.0	2.0	87.2100	82.8225	89.4475	99.3061	99.6670	133.6312	95.5843	120.6323	112.3417	102.3721	
4.0	60.0	2.0	90.6800	121.0100	89.4475	104.6283	101.7789	133.6312	95.5843	120.6323	112.3417	102.9246	
4.0	70.0	2.0	98.3400	121.0100	89.4475	109.6189	103.8907	133.6312	95.5843	120.6323	112.3417	104.8562	
4.0	80.0	2.0	97.9500	121.0100	89.4475	114.1320	106.0025	133.6312	95.5843	120.6323	119.2103	107.7322	
4.0	90.0	2.0	110.3900	121.0100	89.4475	118.0877	108.1144	133.6312	95.5843	120.6323	119.2103	110.9957	
4.0	100.0	2.0	119.2800	121.0100	89.4475	121.4713	110.2262	133.6312	95.5843	120.6323	119.2103	114.1412	
1.0	50.0	3.0	132.0700	123.1355	154.4091	146.8270	135.3872	133.6105	171.5920	132.7390	148.4104	138.8335	
1.0	60.0	3.0	152.0000	199.7567	154.4091	156.8484	137.4991	133.6105	171.5920	132.7390	148.4104	147.3016	
1.0	70.0	3.0	164.2000	199.7567	154.4091	171.2007	139.6109	133.6105	171.5920	132.7390	148.4104	156.5802	
1.0	80.0	3.0	185.0500	199.7567	154.4091	191.3010	141.7227	133.6105	171.5920	154.4367	152.8109	165.1829	
1.0	90.0	3.0	206.4400	199.7567	154.4091	218.0931	143.8346	133.6105	171.5920	154.4367	152.8109	171.4442	
1.0	100.0	3.0	225.0100	199.7567	154.4091	251.2498	145.9464	133.6105	171.5920	154.4367	152.8109	174.0380	
2.0	50.0	3.0	91.3500	82.8225	132.7552	126.5659	122.1589	133.6157	116.6463	120.8724	115.9937	123.7483	
2.0	60.0	3.0	96.8200	126.4038	132.7552	129.5237	124.2707	133.6157	116.6463	120.8724	115.9937	129.0575	
2.0	70.0	3.0	113.2000	126.4038	132.7552	132.6335	126.3825	133.6157	116.6463	120.8724	115.9937	135.4368	
2.0	80.0	3.0	115.1400	126.4038	132.7552	136.3009	128.4944	133.6157	116.6463	120.8724	124.2633	141.8111	
2.0	90.0	3.0	130.7800	126.4038	132.7552	141.1007	130.6062	133.6157	116.6463	120.8724	124.2633	146.9465	
2.0	100.0	3.0	126.7400	126.4038	132.7552	147.8393	132.7180	133.6157	116.6463	120.8724	124.2633	149.8338	
4.0	50.0	3.0	78.1700	82.8225	89.4475	94.4525	95.7021	133.6276	95.5843	111.4350	112.3417	98.7516	
4.0	60.0	3.0	87.1600	121.0100	89.4475	99.9056	97.8140	133.6276	95.5843	111.4350	112.3417	98.6637	
4.0	70.0	3.0	100.1000	121.0100	89.4475	105.2011	99.9258	133.6276	95.5843	111.4350	112.3417	100.0420	
4.0	80.0	3.0	101.9300	121.0100	89.4475	110.1468	102.0377	133.6276	95.5843	111.4350	119.2103	102.5262	
4.0	90.0	3.0	115.8700	121.0100	89.4475	114.6040	104.1495	133.6276	95.5843	111.4350	119.2103	105.6355	
4.0	100.0	3.0	122.7800	121.0100	89.4475	118.5006	106.2613	133.6276	95.5843	111.4350	119.2103	108.9179	
1.0	50.0	4.0	136.5900	123.1355	154.4091	141.3849	131.4223	133.3584	171.5920	132.7390	147.6645	135.2967	
1.0	60.0	4.0	151.4200	199.7567	154.4091	149.2233	133.5342	133.3584	171.5920	132.7390	147.6645	142.9915	
1.0	70.0	4.0	182.1800	199.7567	154.4091	160.3917	135.6460	133.3584	171.5920	132.7390	147.6645	151.5506	
1.0	80.0	4.0	201.1600	199.7567	154.4091	176.3064	137.7578	133.3584	171.5920	154.4367	147.6645	159.5910	
1.0	90.0	4.0	210.9400	199.7567	154.4091	198.3180	139.8697	133.3584	171.5920	154.4367	147.6645	165.5561	
1.0	100.0	4.0	212.2000	199.7567	154.4091	227.0893	141.9815	133.3584	171.5920	154.4367	147.6645	168.2002	
2.0	50.0	4.0	87.2400	82.8225	132.7552	123.9203	118.1940	133.4251	116.6463	120.8724	115.3680	119.6691	
2.0	60.0	4.0	92.2600	126.4038	132.7552	127.0428	120.3058	133.4251	116.6463	120.8724	115.3680	124.0926	
2.0	70.0	4.0	98.0500	126.4038	132.7552	130.0907	122.4176	133.4251	116.6463	120.8724	115.3680	129.6497	
2.0	80.0	4.0	106.8900	126.4038	132.7552	133.3811	124.5295	133.4251	116.6463	120.8724	119.2371	135.3832	
2.0	90.0	4.0	116.4300	126.4038	132.7552	137.3636	126.6413	133.4251	116.6463	120.8724	119.2371	140.1830	
2.0	100.0	4.0	122.1400	126.4038	132.7552	142.6753	128.7532	133.4251	116.6463	120.8724	119.2371	143.1319	
