# Created: Fri Aug 01 15:38:56 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.150
#	output:	results/pagerank/values-0.150.csv
#	metrics-output:	results/pagerank/metrics-0.150.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 7.0)
# 	(2.0, 100.0, 10.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 100.0, 6.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 100.0, 9.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	122.2325	154.4953	151.0392	123.3215	104.5393	171.5920	180.4210	139.0013	140.1022	
1.0	60.0	2.0	179.3700	199.7567	154.4953	165.6140	125.6315	106.7953	171.5920	180.4210	139.0013	149.5799	
1.0	70.0	2.0	203.1300	199.7567	154.4953	183.3096	127.9414	111.6017	171.5920	180.4210	139.0013	159.6479	
1.0	80.0	2.0	227.5400	199.7567	154.4953	204.1741	130.2513	116.4619	171.5920	180.4210	146.0425	168.7234	
1.0	90.0	2.0	251.3500	199.7567	154.4953	227.8658	132.5613	118.7808	171.5920	180.4210	146.0425	175.0494	
1.0	100.0	2.0	282.3600	199.7567	154.4953	253.5935	134.8712	119.5021	171.5920	180.4210	146.0425	177.2416	
2.0	50.0	2.0	113.7000	126.4038	132.6744	107.2358	111.5638	105.0375	116.6463	122.0255	116.0049	126.3759	
2.0	60.0	2.0	117.9800	126.4038	132.6744	110.3621	113.8737	108.1278	116.6463	122.0255	116.0049	132.9145	
2.0	70.0	2.0	128.7800	126.4038	132.6744	113.9609	116.1836	113.4187	116.6463	122.0255	116.0049	140.2662	
2.0	80.0	2.0	143.7100	126.4038	132.6744	118.2686	118.4936	117.5018	116.6463	126.0530	119.8740	147.2355	
2.0	90.0	2.0	151.9700	126.4038	132.6744	123.5853	120.8035	119.1256	116.6463	126.0530	119.8740	152.4733	
2.0	100.0	2.0	177.4600	126.4038	132.6744	130.2790	123.1135	119.5957	116.6463	126.0530	119.8740	154.8962	
4.0	50.0	2.0	87.2100	108.8376	89.0326	82.6205	88.0483	105.1519	92.9182	104.3164	112.5927	100.7135	
4.0	60.0	2.0	90.6800	108.8376	89.0326	85.4501	90.3582	108.4071	92.9182	104.3164	112.5927	101.6116	
4.0	70.0	2.0	98.3400	108.8376	89.0326	88.2130	92.6682	113.7397	92.9182	104.3164	112.5927	103.7085	
4.0	80.0	2.0	97.9500	108.8376	89.0326	90.8712	94.9781	117.6602	92.9182	108.3439	114.4215	106.5629	
4.0	90.0	2.0	110.3900	108.8376	89.0326	93.3943	97.2880	119.1749	92.9182	108.3439	114.4215	109.6224	
4.0	100.0	2.0	119.2800	108.8376	89.0326	95.7613	99.5980	119.6088	92.9182	108.3439	114.4215	112.3947	
1.0	50.0	3.0	132.0700	122.2325	154.4953	140.6728	121.1229	104.8840	171.5920	170.8643	133.8912	137.5464	
1.0	60.0	3.0	152.0000	199.7567	154.4953	152.7391	123.4328	107.7384	171.5920	170.8643	133.8912	146.4998	
1.0	70.0	3.0	164.2000	199.7567	154.4953	167.6634	125.7428	112.9401	171.5920	170.8643	133.8912	156.0897	
1.0	80.0	3.0	185.0500	199.7567	154.4953	185.7329	128.0527	117.2526	171.5920	170.8643	140.9323	164.8009	
1.0	90.0	3.0	206.4400	199.7567	154.4953	206.9545	130.3626	119.0464	171.5920	170.8643	140.9323	170.9469	
1.0	100.0	3.0	225.0100	199.7567	154.4953	230.9332	132.6726	119.5744	171.5920	170.8643	140.9323	173.1949	
2.0	50.0	3.0	91.3500	126.4038	132.6744	104.9421	109.3651	105.5406	116.6463	112.4687	110.8947	122.9957	
2.0	60.0	3.0	96.8200	126.4038	132.6744	107.7802	111.6751	109.2911	116.6463	112.4687	110.8947	128.8173	
2.0	70.0	3.0	113.2000	126.4038	132.6744	110.9298	113.9850	114.6493	116.6463	112.4687	110.8947	135.5082	
2.0	80.0	3.0	115.1400	126.4038	132.6744	114.5791	116.2950	118.0758	116.6463	116.4962	114.7638	141.9670	
2.0	90.0	3.0	130.7800	126.4038	132.6744	118.9721	118.6049	119.3006	116.6463	116.4962	114.7638	146.9434	
2.0	100.0	3.0	126.7400	126.4038	132.6744	124.4168	120.9148	119.6420	116.6463	116.4962	114.7638	149.4269	
4.0	50.0	3.0	78.1700	108.8376	89.0326	80.4804	85.8497	105.6892	92.9182	101.4064	107.4825	97.2651	
4.0	60.0	3.0	87.1600	108.8376	89.0326	83.3311	88.1596	109.6050	92.9182	101.4064	107.4825	97.5094	
4.0	70.0	3.0	100.1000	108.8376	89.0326	86.1472	90.4695	114.9385	92.9182	101.4064	107.4825	99.0262	
4.0	80.0	3.0	101.9300	108.8376	89.0326	88.8862	92.7795	118.1985	92.9182	105.4339	109.3114	101.4543	
4.0	90.0	3.0	115.8700	108.8376	89.0326	91.5117	95.0894	119.3366	92.9182	105.4339	109.3114	104.3237	
4.0	100.0	3.0	122.7800	108.8376	89.0326	93.9954	97.3993	119.6515	92.9182	105.4339	109.3114	107.2016	
1.0	50.0	4.0	136.5900	122.2325	154.4953	132.2083	118.9243	105.2122	171.5920	170.8643	133.8912	134.1935	
1.0	60.0	4.0	151.4200	199.7567	154.4953	142.1011	121.2342	108.5506	171.5920	170.8643	133.8912	142.3935	
1.0	70.0	4.0	182.1800	199.7567	154.4953	154.4751	123.5441	113.8979	171.5920	170.8643	133.8912	151.2770	
1.0	80.0	4.0	201.1600	199.7567	154.4953	169.7540	125.8541	117.7360	171.5920	170.8643	140.9323	159.4306	
1.0	90.0	4.0	210.9400	199.7567	154.4953	188.1983	128.1640	119.1982	171.5920	170.8643	140.9323	165.2757	
1.0	100.0	4.0	212.2000	199.7567	154.4953	209.7719	130.4739	119.6150	171.5920	170.8643	140.9323	167.5601	
2.0	50.0	4.0	87.2400	126.4038	132.6744	102.8199	107.1665	106.0086	116.6463	111.5924	110.8947	119.1022	
2.0	60.0	4.0	92.2600	126.4038	132.6744	105.4771	109.4764	110.2393	116.6463	111.5924	110.8947	124.0496	
2.0	70.0	4.0	98.0500	126.4038	132.6744	108.3202	111.7864	115.4771	116.6463	111.5924	110.8947	129.9208	
2.0	80.0	4.0	106.8900	126.4038	132.6744	111.4965	114.0963	118.4161	116.6463	115.6199	114.7638	135.7329	
2.0	90.0	4.0	116.4300	126.4038	132.6744	115.2007	116.4063	119.3996	116.6463	115.6199	114.7638	140.3606	
2.0	100.0	4.0	122.1400	126.4038	132.6744	119.6842	118.7162	119.6679	116.6463	115.6199	114.7638	142.8868	
4.0	50.0	4.0	66.9600	88.8396	89.0326	78.3470	83.6510	106.1864	92.9182	95.0004	107.4825	93.9146	
4.0	60.0	4.0	83.3200	88.8396	89.0326	81.1936	85.9610	110.5707	92.9182	95.0004	107.4825	93.4827	
4.0	70.0	4.0	74.3100	88.8396	89.0326	84.0393	88.2709	115.7365	92.9182	95.0004	107.4825	94.3862	
4.0	80.0	4.0	83.1300	88.8396	89.0326	86.8391	90.5808	118.5162	92.9182	99.0279	109.3114	96.3502	
4.0	90.0	4.0	87.0900	88.8396	89.0326	89.5519	92.8908	119.4280	92.9182	99.0279	109.3114	98.9945	
4.0	100.0	4.0	95.7400	88.8396	89.0326	92.1427	95.2007	119.6753	92.9182	99.0279	109.3114	101.9519	
1.0	50.0	5.0	110.7600	122.2325	154.4953	125.3242	116.7256	105.4673	171.5920	156.9760	133.8912	130.3203	
1.0	60.0	5.0	128.2500	199.7567	154.4953	133.4097	119.0356	109.1317	171.5920	156.9760	133.8912	137.6170	
1.0	70.0	5.0	137.9100	199.7567	154.4953	143.5595	121.3455	114.4961	171.5920	156.9760	133.8912	145.6446	
1.0	80.0	5.0	155.0100	199.7567	154.4953	156.2482	123.6554	118.0091	171.5920	156.9760	140.9323	153.1140	
1.0	90.0	5.0	171.6000	199.7567	154.4953	171.8862	125.9654	119.2807	171.5920	156.9760	140.9323	158.5792	
1.0	100.0	5.0	201.4800	199.7567	154.4953	190.7056	128.2753	119.6368	171.5920	156.9760	140.9323	160.8871	
2.0	50.0	5.0	100.0400	126.4038	132.6744	100.7990	104.9679	106.3653	116.6463	111.5924	110.8947	114.9963	
2.0	60.0	5.0	101.2700	126.4038	132.6744	103.3575	107.2778	110.8895	116.6463	111.5924	110.8947	118.9999	
2.0	70.0	5.0	109.5000	126.4038	132.6744	106.0056	109.5878	115.9734	116.6463	111.5924	110.8947	123.9805	
2.0	80.0	5.0	117.3000	126.4038	132.6744	108.8564	111.8977	118.6050	116.6463	115.4464	114.7638	129.0840	
2.0	90.0	5.0	126.7800	126.4038	132.6744	112.0628	114.2076	119.4531	116.6463	115.4464	114.7638	133.3224	
2.0	100.0	5.0	134.8100	126.4038	132.6744	115.8263	116.5176	119.6818	116.6463	115.4464	114.7638	135.8812	
4.0	50.0	5.0	66.8200	88.8396	89.0326	76.2393	81.4524	106.5638	92.9182	95.0004	105.7087	90.8844	
4.0	60.0	5.0	65.9200	88.8396	89.0326	79.0562	83.7623	111.2273	92.9182	95.0004	105.7087	89.8176	
4.0	70.0	5.0	74.8100	88.8396	89.0326	81.9065	86.0723	116.2117	92.9182	95.0004	105.7087	90.1382	
4.0	80.0	5.0	71.3700	88.8396	89.0326	84.7443	88.3822	118.6920	92.9182	96.2099	107.5375	91.6542	
4.0	90.0	5.0	83.7000	88.8396	89.0326	87.5253	90.6921	119.4774	92.9182	96.2099	107.5375	94.0719	
4.0	100.0	5.0	89.5600	88.8396	89.0326	90.2094	93.0021	119.6881	92.9182	96.2099	107.5375	97.0880	
1.0	50.0	6.0	131.5700	122.2325	154.4953	119.7110	114.5270	105.6026	171.5920	156.9760	133.8912	126.2477	
1.0	60.0	6.0	139.2100	199.7567	154.4953	126.3440	116.8369	109.4237	171.5920	156.9760	133.8912	132.5770	
1.0	70.0	6.0	137.2200	199.7567	154.4953	134.6344	119.1469	114.7735	171.5920	156.9760	133.8912	139.6833	
1.0	80.0	6.0	160.9800	199.7567	154.4953	145.0488	121.4568	118.1290	171.5920	156.9760	140.9323	146.4119	
1.0	90.0	6.0	173.8500	199.7567	154.4953	158.0590	123.7667	119.3163	171.5920	156.9760	140.9323	151.4602	
1.0	100.0	6.0	192.6700	199.7567	154.4953	174.0605	126.0767	119.6461	171.5920	156.9760	140.9323	153.7829	
2.0	50.0	6.0	96.7900	126.4038	132.6744	98.8267	102.7693	106.5521	116.6463	108.5034	110.8947	111.0055	
2.0	60.0	6.0	106.1100	126.4038	132.6744	101.3481	105.0792	111.2078	116.6463	108.5034	110.8947	114.0841	
2.0	70.0	6.0	102.9600	126.4038	132.6744	103.8869	107.3891	116.1983	116.6463	108.5034	110.8947	118.1895	
2.0	80.0	6.0	107.9900	126.4038	132.6744	106.5279	109.6991	118.6871	116.6463	112.3574	114.7638	122.5949	
2.0	90.0	6.0	116.1100	126.4038	132.6744	109.3892	112.0090	119.4761	116.6463	112.3574	114.7638	126.4475	
2.0	100.0	6.0	114.3800	126.4038	132.6744	112.6294	114.3189	119.6877	116.6463	112.3574	114.7638	129.0337	
4.0	50.0	6.0	68.6800	88.8396	89.0326	74.1755	79.2538	106.7608	92.9182	93.7707	105.7087	88.3914	
4.0	60.0	6.0	74.4500	88.8396	89.0326	76.9382	81.5637	111.5471	92.9182	93.7707	105.7087	86.7891	
4.0	70.0	6.0	71.7600	88.8396	89.0326	79.7675	83.8736	116.4263	92.9182	93.7707	105.7087	86.6144	
4.0	80.0	6.0	77.1100	88.8396	89.0326	82.6186	86.1836	118.7683	92.9182	94.9802	107.5375	87.7458	
4.0	90.0	6.0	82.5700	88.8396	89.0326	85.4456	88.4935	119.4986	92.9182	94.9802	107.5375	89.9643	
4.0	100.0	6.0	85.5400	88.8396	89.0326	88.2050	90.8034	119.6935	92.9182	94.9802	107.5375	93.0214	
1.0	50.0	7.0	117.9300	122.2325	154.4953	115.0917	112.3284	105.5928	171.5920	156.9760	133.8912	122.2968	
1.0	60.0	7.0	117.2900	199.7567	154.4953	120.5914	114.6383	109.4029	171.5920	156.9760	133.8912	127.6738	
1.0	70.0	7.0	138.5100	199.7567	154.4953	127.3805	116.9482	114.7542	171.5920	156.9760	133.8912	133.8695	
1.0	80.0	7.0	135.8200	199.7567	154.4953	135.8834	119.2582	118.1208	171.5920	156.9760	140.9323	139.8626	
1.0	90.0	7.0	149.7100	199.7567	154.4953	146.5702	121.5681	119.3138	171.5920	156.9760	140.9323	144.4928	
1.0	100.0	7.0	161.0500	199.7567	154.4953	159.9086	123.8780	119.6455	171.5920	156.9760	140.9323	146.8221	
2.0	50.0	7.0	74.3500	106.6625	132.6744	96.8649	100.5706	106.5386	116.6463	108.5034	110.8947	107.4401	
2.0	60.0	7.0	83.6500	106.6625	132.6744	99.3937	102.8806	111.1853	116.6463	108.5034	110.8947	109.6879	
2.0	70.0	7.0	100.6300	106.6625	132.6744	101.8879	105.1905	116.1828	116.6463	108.5034	110.8947	113.0064	
