# Created: Fri Aug 01 15:38:59 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.175
#	output:	results/pagerank/values-0.175.csv
#	metrics-output:	results/pagerank/metrics-0.175.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 7.0)
# 	(2.0, 100.0, 10.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 100.0, 6.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 100.0, 9.0)
# 	(1.0, 100.0, 3.0)
# 	(1.0, 100.0, 5.0)
# 	(1.0, 100.0, 8.0)
# 	(1.0, 100.0, 6.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	123.4817	166.8031	142.1453	142.3353	148.1517	180.8000	181.2931	141.3722	146.2302	
1.0	60.0	2.0	179.3700	236.2833	166.8031	158.6398	145.1934	148.1376	180.8000	181.2931	141.3722	157.7364	
1.0	70.0	2.0	203.1300	236.2833	166.8031	179.3662	148.0514	148.1225	180.8000	181.2931	141.3722	170.5404	
1.0	80.0	2.0	227.5400	236.2833	166.8031	204.4263	150.9094	148.1084	180.8000	198.0537	144.2067	182.5727	
1.0	90.0	2.0	251.3500	236.2833	166.8031	233.0520	153.7675	148.0981	180.8000	198.0537	144.2067	191.5038	
1.0	100.0	2.0	282.3600	236.2833	166.8031	263.5229	156.6255	148.0937	180.8000	198.0537	144.2067	195.4695	
2.0	50.0	2.0	113.7000	127.0283	140.2661	105.2113	126.1615	148.1591	116.6463	118.2888	122.1261	129.4021	
2.0	60.0	2.0	117.9800	127.0283	140.2661	110.3169	129.0195	148.1483	116.6463	118.2888	122.1261	136.6594	
2.0	70.0	2.0	128.7800	127.0283	140.2661	116.2020	131.8775	148.1366	116.6463	118.2888	122.1261	145.3519	
2.0	80.0	2.0	143.7100	127.0283	140.2661	123.3840	134.7356	148.1257	116.6463	118.2888	124.9605	154.0173	
2.0	90.0	2.0	151.9700	127.0283	140.2661	132.5479	137.5936	148.1178	116.6463	118.2888	124.9605	160.9779	
2.0	100.0	2.0	177.4600	127.0283	140.2661	144.5148	140.4516	148.1144	116.6463	118.2888	124.9605	164.8630	
