# Created: Fri Aug 01 15:39:02 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.20
#	output:	results/pagerank/values-0.20.csv
#	metrics-output:	results/pagerank/metrics-0.20.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
# 	(2.0, 100.0, 7.0)
# 	(2.0, 100.0, 3.0)
# 	(4.0, 100.0, 3.0)
# 	(2.0, 100.0, 5.0)
# 	(2.0, 100.0, 8.0)
# 	(2.0, 100.0, 6.0)
# 	(2.0, 100.0, 9.0)
# 	(1.0, 100.0, 7.0)
# 	(2.0, 100.0, 10.0)
# 	(4.0, 100.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 100.0, 6.0)
# 	(4.0, 100.0, 7.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 100.0, 9.0)
# 	(1.0, 100.0, 3.0)
# 	(1.0, 100.0, 5.0)
# 	(1.0, 100.0, 8.0)
# 	(1.0, 100.0, 6.0)
# 	(1.0, 100.0, 9.0)
# 	(2.0, 70.0, 7.0)
# 	(4.0, 70.0, 10.0)
# 	(1.0, 100.0, 4.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	150.3600	213.7217	167.6685	156.7984	140.3434	149.3314	181.4927	173.5698	147.1673	145.7350	
1.0	60.0	2.0	179.3700	213.7217	167.6685	173.6739	143.8938	152.7914	181.4927	173.5698	147.1673	157.4800	
1.0	70.0	2.0	203.1300	213.7217	167.6685	193.0788	147.4442	154.4992	181.4927	173.5698	147.1673	170.9397	
1.0	80.0	2.0	227.5400	213.7217	167.6685	214.7222	150.9946	155.3534	181.4927	200.6841	159.9145	183.9709	
1.0	90.0	2.0	251.3500	213.7217	167.6685	238.0082	154.5449	155.7671	181.4927	200.6841	175.4155	194.0414	
1.0	100.0	2.0	282.3600	213.7217	167.6685	262.0593	158.0953	155.9193	181.4927	200.6841	175.4155	199.0219	
2.0	50.0	2.0	113.7000	127.0283	140.2111	111.4947	122.6947	129.3346	114.8667	115.9955	116.1833	127.8944	
2.0	60.0	2.0	117.9800	127.0283	140.2111	116.9787	126.2451	138.6493	114.8667	115.9955	116.1833	135.0739	
2.0	70.0	2.0	128.7800	127.0283	140.2111	123.2432	129.7955	144.4768	114.8667	115.9955	116.1833	144.1445	
2.0	80.0	2.0	143.7100	127.0283	140.2111	130.3595	133.3458	147.7960	114.8667	115.9955	116.1833	153.6191	
2.0	90.0	2.0	151.9700	127.0283	140.2111	138.4378	136.8962	149.5167	114.8667	115.9955	131.6843	161.6527	
2.0	100.0	2.0	177.4600	127.0283	140.2111	147.6433	140.4466	150.1694	114.8667	115.9955	131.6843	166.6205	
4.0	50.0	2.0	87.2100	108.5458	85.2964	96.8495	87.3973	89.0874	91.6325	107.3108	108.3063	102.1130	
4.0	60.0	2.0	90.6800	108.5458	85.2964	99.5549	90.9476	89.0875	91.6325	107.3108	108.3063	101.7541	
4.0	70.0	2.0	98.3400	108.5458	85.2964	102.6592	94.4980	89.0876	91.6325	107.3108	108.3063	103.1994	
4.0	80.0	2.0	97.9500	108.5458	85.2964	106.1392	98.0484	89.0878	91.6325	107.3108	108.3063	106.1026	
4.0	90.0	2.0	110.3900	108.5458	85.2964	109.9408	101.5988	89.0879	91.6325	107.3108	125.6517	109.8936	
4.0	100.0	2.0	119.2800	108.5458	85.2964	113.9792	105.1492	89.0879	91.6325	107.3108	125.6517	113.9592	
1.0	50.0	3.0	132.0700	212.8967	167.6685	144.3593	137.4617	150.1603	181.4927	173.5698	147.1673	142.4866	
1.0	60.0	3.0	152.0000	212.8967	167.6685	159.4246	141.0121	153.2918	181.4927	173.5698	147.1673	153.7207	
1.0	70.0	3.0	164.2000	212.8967	167.6685	177.1543	144.5624	154.8241	181.4927	173.5698	147.1673	166.8038	
1.0	80.0	3.0	185.0500	212.8967	167.6685	197.4391	148.1128	155.5872	181.4927	200.6841	159.9145	179.6464	
1.0	90.0	3.0	206.4400	212.8967	167.6685	219.8781	151.6632	155.9561	181.4927	200.6841	171.1512	189.7514	
1.0	100.0	3.0	225.0100	212.8967	167.6685	243.7535	155.2136	156.0916	181.4927	200.6841	171.1512	194.9955	
2.0	50.0	3.0	91.3500	127.0283	140.2111	105.8363	119.8130	131.3179	114.8667	115.9955	116.1833	123.4604	
2.0	60.0	3.0	96.8200	127.0283	140.2111	110.5967	123.3633	140.2565	114.8667	115.9955	116.1833	129.8273	
2.0	70.0	3.0	113.2000	127.0283	140.2111	116.1622	126.9137	145.7042	114.8667	115.9955	116.1833	138.2368	
2.0	80.0	3.0	115.1400	127.0283	140.2111	122.6100	130.4641	148.7589	114.8667	115.9955	116.1833	147.2992	
2.0	90.0	3.0	130.7800	127.0283	140.2111	130.0355	134.0145	150.3289	114.8667	115.9955	127.4200	155.2473	
2.0	100.0	3.0	126.7400	127.0283	140.2111	138.5682	137.5648	150.9221	114.8667	115.9955	127.4200	160.4917	
4.0	50.0	3.0	78.1700	108.5458	85.2964	93.7465	84.5155	89.0874	91.6325	107.3108	108.3063	97.7110	
4.0	60.0	3.0	87.1600	108.5458	85.2964	95.9103	88.0659	89.0875	91.6325	107.3108	108.3063	96.5578	
4.0	70.0	3.0	100.1000	108.5458	85.2964	98.4630	91.6163	89.0877	91.6325	107.3108	108.3063	97.3522	
4.0	80.0	3.0	101.9300	108.5458	85.2964	101.4170	95.1667	89.0878	91.6325	107.3108	108.3063	99.8418	
4.0	90.0	3.0	115.8700	108.5458	85.2964	104.7611	98.7170	89.0880	91.6325	107.3108	121.3873	103.5350	
4.0	100.0	3.0	122.7800	108.5458	85.2964	108.4538	102.2674	89.0880	91.6325	107.3108	121.3873	107.8583	
1.0	50.0	4.0	136.5900	212.8967	167.6685	133.4070	134.5799	150.7048	181.4927	173.5698	147.1673	138.4037	
1.0	60.0	4.0	151.4200	212.8967	167.6685	146.5571	138.1303	153.6174	181.4927	173.5698	147.1673	148.7755	
1.0	70.0	4.0	182.1800	212.8967	167.6685	162.3856	141.6807	155.0345	181.4927	173.5698	147.1673	161.1036	
1.0	80.0	4.0	201.1600	212.8967	167.6685	180.9531	145.2311	155.7383	181.4927	192.1037	159.9145	173.4115	
1.0	90.0	4.0	210.9400	212.8967	167.6685	202.0650	148.7814	156.0780	181.4927	192.1037	168.0046	183.3043	
1.0	100.0	4.0	212.2000	212.8967	167.6685	225.2074	152.3318	156.2027	181.4927	192.1037	168.0046	188.7186	
2.0	50.0	4.0	87.2400	127.0283	140.2111	101.0471	116.9312	132.6982	114.8667	115.3067	116.1833	118.5847	
2.0	60.0	4.0	92.2600	127.0283	140.2111	105.0346	120.4816	141.3449	114.8667	115.3067	116.1833	123.9075	
2.0	70.0	4.0	98.0500	127.0283	140.2111	109.8071	124.0320	146.5216	114.8667	115.3067	116.1833	131.3987	
2.0	80.0	4.0	106.8900	127.0283	140.2111	115.4610	127.5824	149.3941	114.8667	115.3067	116.1833	139.8061	
2.0	90.0	4.0	116.4300	127.0283	140.2111	122.1005	131.1327	150.8622	114.8667	115.3067	124.2733	147.4877	
2.0	100.0	4.0	122.1400	127.0283	140.2111	129.8473	134.6831	151.4154	114.8667	115.3067	124.2733	152.9286	
4.0	50.0	4.0	66.9600	87.6362	85.2964	91.3321	81.6338	89.0874	91.6325	99.8906	108.3063	93.5645	
4.0	60.0	4.0	83.3200	87.6362	85.2964	93.0085	85.1842	89.0875	91.6325	99.8906	108.3063	91.6032	
4.0	70.0	4.0	74.3100	87.6362	85.2964	95.0304	88.7345	89.0877	91.6325	99.8906	108.3063	91.7120	
4.0	80.0	4.0	83.1300	87.6362	85.2964	97.4322	92.2849	89.0879	91.6325	99.8906	108.3063	93.7393	
4.0	90.0	4.0	87.0900	87.6362	85.2964	100.2344	95.8353	89.0880	91.6325	99.8906	118.2407	97.2819	
4.0	100.0	4.0	95.7400	87.6362	85.2964	103.4360	99.3857	89.0881	91.6325	99.8906	118.2407	101.8146	
1.0	50.0	5.0	110.7600	212.8967	167.6685	124.0346	131.6982	151.0123	181.4927	173.5698	145.1265	133.7962	
1.0	60.0	5.0	128.2500	212.8967	167.6685	135.2770	135.2486	153.8002	181.4927	173.5698	145.1265	143.0361	
1.0	70.0	5.0	137.9100	212.8967	167.6685	149.0950	138.7989	155.1523	181.4927	173.5698	145.1265	154.3079	
1.0	80.0	5.0	155.0100	212.8967	167.6685	165.6922	142.3493	155.8227	181.4927	192.1037	157.8738	165.7952	
1.0	90.0	5.0	171.6000	212.8967	167.6685	185.0708	145.8997	156.1461	181.4927	192.1037	165.9638	175.2607	
1.0	100.0	5.0	201.4800	212.8967	167.6685	206.9429	149.4501	156.2647	181.4927	192.1037	165.9638	180.7483	
2.0	50.0	5.0	100.0400	127.0283	140.2111	97.1430	114.0495	133.5069	114.8667	115.3067	116.1649	113.6213	
2.0	60.0	5.0	101.2700	127.0283	140.2111	100.3813	117.5999	141.9715	114.8667	115.3067	116.1649	117.7639	
2.0	70.0	5.0	109.5000	127.0283	140.2111	104.3409	121.1502	146.9872	114.8667	115.3067	116.1649	124.1695	
2.0	80.0	5.0	117.3000	127.0283	140.2111	109.1361	124.7006	149.7539	114.8667	115.3067	116.1649	131.7501	
2.0	90.0	5.0	126.7800	127.0283	140.2111	114.8890	128.2510	151.1633	114.8667	115.3067	124.2550	139.0225	
2.0	100.0	5.0	134.8100	127.0283	140.2111	121.7321	131.8014	151.6936	114.8667	115.3067	124.2550	144.5761	
4.0	50.0	5.0	66.8200	87.6362	85.2964	89.5014	78.7520	89.0874	91.6325	97.1790	105.9262	89.9423	
4.0	60.0	5.0	65.9200	87.6362	85.2964	90.7684	82.3024	89.0876	91.6325	97.1790	105.9262	87.2300	
4.0	70.0	5.0	74.8100	87.6362	85.2964	92.3231	85.8528	89.0877	91.6325	97.1790	105.9262	86.6855	
4.0	80.0	5.0	71.3700	87.6362	85.2964	94.2084	89.4032	89.0879	91.6325	97.1790	105.9262	88.2545	
4.0	90.0	5.0	83.7000	87.6362	85.2964	96.4625	92.9536	89.0881	91.6325	97.1790	115.8606	91.6213	
4.0	100.0	5.0	89.5600	87.6362	85.2964	99.1126	96.5039	89.0881	91.6325	97.1790	115.8606	96.3118	
1.0	50.0	6.0	131.5700	152.2308	167.6685	116.2098	128.8164	151.1095	181.4927	161.7856	145.1265	129.0363	
1.0	60.0	6.0	139.2100	152.2308	167.6685	125.6524	132.3668	153.8578	181.4927	161.7856	145.1265	136.9773	
1.0	70.0	6.0	137.2200	152.2308	167.6685	137.4760	135.9172	155.1893	181.4927	161.7856	145.1265	146.9908	
1.0	80.0	6.0	160.9800	152.2308	167.6685	151.9863	139.4676	155.8492	181.4927	180.3194	157.8738	157.4518	
1.0	90.0	6.0	173.8500	152.2308	167.6685	169.3512	143.0180	156.1675	181.4927	180.3194	165.9638	166.3209	
1.0	100.0	6.0	192.6700	152.2308	167.6685	189.5028	146.5683	156.2842	181.4927	180.3194	165.9638	171.7850	
2.0	50.0	6.0	96.7900	127.0283	140.2111	94.0568	111.1677	133.7668	114.8667	109.4075	116.1649	108.9577	
