# Created: Fri Aug 01 16:25:33 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.05
#	output:	results/sssp/values-0.05.csv
#	metrics-output:	results/sssp/metrics-0.05.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	74.1650	74.1650	78.5252	78.2450	74.1650	74.1650	148.0948	111.3682	137.3266	
1.0	100.0	2.0	104.1800	355.0400	99.2364	99.5033	98.5789	92.1203	74.1650	148.0948	111.3682	151.1013	
1.0	200.0	2.0	170.2600	355.0400	149.3792	195.3988	139.2467	141.5202	74.1650	148.0948	111.3682	187.9734	
1.0	300.0	2.0	231.1400	355.0400	199.5219	337.0423	179.9144	202.5200	299.8075	260.6364	269.3180	230.6752	
1.0	400.0	2.0	330.8200	355.0400	249.6647	416.7679	220.5822	259.2920	299.8075	260.6364	269.3180	269.1978	
1.0	500.0	2.0	433.1800	355.0400	299.8075	429.4224	261.2500	299.8075	299.8075	260.6364	269.3180	294.6103	
2.0	50.0	2.0	190.3100	74.1650	74.1650	64.6821	70.3083	74.1650	74.1650	148.0948	111.3682	120.4565	
2.0	100.0	2.0	130.0800	244.5750	99.2364	69.2288	90.6422	92.1203	74.1650	148.0948	111.3682	132.9275	
2.0	200.0	2.0	220.1700	244.5750	149.3792	98.1987	131.3100	141.5202	74.1650	148.0948	111.3682	167.6648	
2.0	300.0	2.0	208.6600	244.5750	199.5219	188.7108	171.9778	202.5200	299.8075	260.6364	269.3180	209.0865	
2.0	400.0	2.0	195.2900	244.5750	249.6647	333.6175	212.6456	259.2920	299.8075	260.6364	269.3180	247.4390	
2.0	500.0	2.0	156.2900	244.5750	299.8075	425.1418	253.3133	299.8075	299.8075	260.6364	269.3180	273.9577	
4.0	50.0	2.0	59.8300	74.1650	74.1650	62.6312	54.4350	74.1650	74.1650	148.0948	104.6545	107.4892	
4.0	100.0	2.0	86.6100	244.5750	99.2364	62.7307	74.7689	92.1203	74.1650	148.0948	104.6545	112.9580	
4.0	200.0	2.0	116.2800	244.5750	149.3792	63.8304	115.4367	141.5202	74.1650	148.0948	104.6545	131.3525	
4.0	300.0	2.0	143.3400	244.5750	199.5219	69.4498	156.1044	202.5200	299.8075	260.6364	262.6043	155.9590	
4.0	400.0	2.0	167.6600	244.5750	249.6647	93.1731	196.7722	259.2920	299.8075	260.6364	262.6043	180.8868	
4.0	500.0	2.0	167.6700	244.5750	299.8075	171.2229	237.4400	299.8075	299.8075	260.6364	262.6043	200.7079	
1.0	50.0	3.0	71.6800	74.1650	74.1650	81.6546	80.2013	74.1650	74.1650	148.0948	111.3682	134.1382	
1.0	100.0	3.0	102.3400	355.0400	99.2364	107.2973	100.5351	92.1203	74.1650	148.0948	111.3682	148.2329	
1.0	200.0	3.0	158.0300	355.0400	149.3792	215.3152	141.2029	141.5202	74.1650	148.0948	111.3682	186.0894	
1.0	300.0	3.0	203.2100	355.0400	199.5219	350.2059	181.8707	202.5200	299.8075	260.6364	269.3180	230.0437	
1.0	400.0	3.0	293.9300	355.0400	249.6647	411.8148	222.5385	259.2920	299.8075	260.6364	269.3180	269.7892	
1.0	500.0	3.0	335.7500	355.0400	299.8075	413.8508	263.2062	299.8075	299.8075	260.6364	269.3180	296.1232	
2.0	50.0	3.0	65.1700	74.1650	74.1650	64.7317	72.2646	74.1650	74.1650	148.0948	111.3682	116.9865	
2.0	100.0	3.0	89.5400	244.5750	99.2364	70.4636	92.5985	92.1203	74.1650	148.0948	111.3682	129.9786	
2.0	200.0	3.0	134.2700	244.5750	149.3792	106.4216	133.2662	141.5202	74.1650	148.0948	111.3682	166.2110	
2.0	300.0	3.0	170.8400	244.5750	199.5219	210.0024	173.9340	202.5200	299.8075	260.6364	269.3180	209.4520	
2.0	400.0	3.0	225.2200	244.5750	249.6647	351.3351	214.6018	259.2920	299.8075	260.6364	269.3180	249.5186	
2.0	500.0	3.0	248.0600	244.5750	299.8075	425.2677	255.2696	299.8075	299.8075	260.6364	269.3180	277.2578	
4.0	50.0	3.0	62.9200	74.1650	74.1650	62.4680	56.3912	74.1650	74.1650	148.0948	104.6545	104.6064	
4.0	100.0	3.0	77.9400	244.5750	99.2364	62.5790	76.7251	92.1203	74.1650	148.0948	104.6545	110.8436	
4.0	200.0	3.0	113.9800	244.5750	149.3792	63.9547	117.3929	141.5202	74.1650	148.0948	104.6545	131.3025	
4.0	300.0	3.0	137.8600	244.5750	199.5219	71.1288	158.0607	202.5200	299.8075	260.6364	262.6043	158.3060	
4.0	400.0	3.0	179.1900	244.5750	249.6647	100.9782	198.7285	259.2920	299.8075	260.6364	262.6043	185.4012	
4.0	500.0	3.0	174.2800	244.5750	299.8075	192.7137	239.3962	299.8075	299.8075	260.6364	262.6043	206.6584	
1.0	50.0	4.0	72.9200	74.1650	74.1650	85.0684	82.1575	74.1650	74.1650	148.0948	111.3682	131.7085	
1.0	100.0	4.0	101.4100	355.0400	99.2364	115.9570	102.4914	92.1203	74.1650	148.0948	111.3682	145.8115	
1.0	200.0	4.0	155.9400	355.0400	149.3792	234.2235	143.1592	141.5202	74.1650	148.0948	111.3682	183.8409	
1.0	300.0	4.0	198.1400	355.0400	199.5219	357.6201	183.8269	202.5200	299.8075	260.6364	269.3180	228.1282	
1.0	400.0	4.0	276.9600	355.0400	249.6647	401.8028	224.4947	259.2920	299.8075	260.6364	269.3180	268.2835	
1.0	500.0	4.0	315.4200	355.0400	299.8075	394.7871	265.1625	299.8075	299.8075	260.6364	269.3180	295.0235	
2.0	50.0	4.0	70.9400	74.1650	74.1650	64.6025	74.2208	74.1650	74.1650	148.0948	111.3682	114.6766	
2.0	100.0	4.0	93.6700	244.5750	99.2364	71.7908	94.5547	92.1203	74.1650	148.0948	111.3682	127.9492	
2.0	200.0	4.0	129.7800	244.5750	149.3792	115.9206	135.2225	141.5202	74.1650	148.0948	111.3682	165.0141	
2.0	300.0	4.0	156.6200	244.5750	199.5219	231.3679	175.8903	202.5200	299.8075	260.6364	269.3180	209.2910	
2.0	400.0	4.0	229.3400	244.5750	249.6647	364.1015	216.5581	259.2920	299.8075	260.6364	269.3180	250.3512	
2.0	500.0	4.0	291.9400	244.5750	299.8075	420.5231	257.2258	299.8075	299.8075	260.6364	269.3180	278.8193	
4.0	50.0	4.0	62.9200	74.1650	74.1650	62.2248	58.3475	74.1650	74.1650	148.0948	104.6545	103.3366	
4.0	100.0	4.0	86.4000	244.5750	99.2364	62.3426	78.6814	92.1203	74.1650	148.0948	104.6545	110.3338	
4.0	200.0	4.0	677.1400	244.5750	149.3792	64.0536	119.3492	141.5202	74.1650	148.0948	104.6545	132.7344	
4.0	300.0	4.0	311.5600	244.5750	199.5219	73.1802	160.0169	202.5200	299.8075	260.6364	262.6043	161.9055	
4.0	400.0	4.0	206.6300	244.5750	249.6647	110.4137	200.6847	259.2920	299.8075	260.6364	262.6043	190.8891	
4.0	500.0	4.0	188.5500	244.5750	299.8075	215.8658	241.3525	299.8075	299.8075	260.6364	262.6043	213.3090	
1.0	50.0	5.0	79.9700	74.1650	74.1650	88.6336	84.1138	74.1650	74.1650	148.0948	111.3682	130.1034	
1.0	100.0	5.0	104.8500	355.0400	99.2364	125.2022	104.4476	92.1203	74.1650	148.0948	111.3682	143.9228	
1.0	200.0	5.0	158.7500	355.0400	149.3792	250.7113	145.1154	141.5202	74.1650	148.0948	111.3682	181.3583	
1.0	300.0	5.0	191.3600	355.0400	199.5219	358.8883	185.7832	202.5200	299.8075	260.6364	269.3180	225.1030	
1.0	400.0	5.0	348.5100	355.0400	249.6647	387.2266	226.4510	259.2920	299.8075	260.6364	269.3180	264.8888	
1.0	500.0	5.0	309.6400	355.0400	299.8075	373.2238	267.1187	299.8075	299.8075	260.6364	269.3180	291.5334	
2.0	50.0	5.0	82.5200	74.1650	74.1650	64.1738	76.1771	74.1650	74.1650	148.0948	111.3682	113.5611	
2.0	100.0	5.0	521.2100	244.5750	99.2364	73.1351	96.5110	92.1203	74.1650	148.0948	111.3682	126.8759	
2.0	200.0	5.0	174.0000	244.5750	149.3792	126.5595	137.1787	141.5202	74.1650	148.0948	111.3682	164.1142	
2.0	300.0	5.0	146.4300	244.5750	199.5219	251.4765	177.8465	202.5200	299.8075	260.6364	269.3180	208.6452	
2.0	400.0	5.0	201.0400	244.5750	249.6647	371.1949	218.5143	259.2920	299.8075	260.6364	269.3180	249.9786	
2.0	500.0	5.0	222.3300	244.5750	299.8075	410.9091	259.1821	299.8075	299.8075	260.6364	269.3180	278.6814	
4.0	50.0	5.0	202.5900	74.1650	74.1650	61.8641	60.3038	74.1650	74.1650	148.0948	104.6545	103.6351	
4.0	100.0	5.0	373.3500	244.5750	99.2364	61.9798	80.6376	92.1203	74.1650	148.0948	104.6545	111.3481	
4.0	200.0	5.0	351.5200	244.5750	149.3792	64.0935	121.3054	141.5202	74.1650	148.0948	104.6545	135.4839	
4.0	300.0	5.0	203.3700	244.5750	199.5219	75.6543	161.9732	202.5200	299.8075	260.6364	262.6043	166.5052	
4.0	400.0	5.0	188.8000	244.5750	249.6647	121.6022	202.6410	259.2920	299.8075	260.6364	262.6043	197.0266	
4.0	500.0	5.0	209.5200	244.5750	299.8075	239.7806	243.3087	299.8075	299.8075	260.6364	262.6043	220.2983	
1.0	50.0	6.0	74.6700	74.1650	74.1650	92.1615	86.0700	74.1650	74.1650	148.0948	111.3682	129.3679	
