# Created: Fri Aug 01 16:25:35 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.075
#	output:	results/sssp/values-0.075.csv
#	metrics-output:	results/sssp/metrics-0.075.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	74.1650	65.2591	75.0438	72.3543	216.2141	74.1650	118.1700	165.9678	140.6413	
1.0	100.0	2.0	104.1800	331.8400	90.8226	86.2016	92.4102	223.2425	74.1650	118.1700	165.9678	153.7295	
1.0	200.0	2.0	170.2600	331.8400	141.9495	123.4946	132.5220	239.9033	153.0000	136.6634	165.9678	189.9152	
1.0	300.0	2.0	231.1400	331.8400	193.0764	193.4384	172.6338	251.2047	153.0000	188.4778	165.9678	232.9655	
1.0	400.0	2.0	330.8200	331.8400	244.2032	296.0502	212.7455	255.3540	302.7517	255.8317	250.1418	272.7976	
1.0	500.0	2.0	433.1800	331.8400	295.3301	396.2096	252.8573	256.2456	302.7517	255.8317	250.1418	300.1874	
2.0	50.0	2.0	190.3100	74.1650	65.2591	100.7738	60.9263	210.4707	74.1650	118.1700	165.9678	121.2350	
2.0	100.0	2.0	130.0800	331.8400	90.8226	103.3609	80.9822	218.3026	74.1650	118.1700	165.9678	132.6916	
2.0	200.0	2.0	220.1700	331.8400	141.9495	111.8005	121.0940	237.2056	153.0000	136.6634	165.9678	166.3113	
2.0	300.0	2.0	208.6600	331.8400	193.0764	130.1610	161.2058	250.3053	153.0000	188.4778	165.9678	208.0715	
2.0	400.0	2.0	195.2900	331.8400	244.2032	170.6867	201.3176	255.1725	302.7517	255.8317	242.2985	248.1666	
2.0	500.0	2.0	156.2900	331.8400	295.3301	247.1011	241.4293	256.2226	302.7517	255.8317	242.2985	277.4076	
4.0	50.0	2.0	59.8300	74.1650	65.2591	112.7892	38.0704	189.6917	74.1650	118.1700	156.3039	106.2767	
4.0	100.0	2.0	86.6100	198.7875	90.8226	112.9188	58.1263	199.9829	74.1650	118.1700	156.3039	110.0700	
