# Created: Fri Aug 01 16:25:38 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.10
#	output:	results/sssp/values-0.10.csv
#	metrics-output:	results/sssp/metrics-0.10.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 300.0, 3.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 7.0)
# 	(1.0, 300.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	74.1650	80.6858	64.1199	85.0377	263.1793	74.1650	124.4947	150.3065	144.3837	
1.0	100.0	2.0	104.1800	289.4900	106.1908	89.1732	105.4383	277.7295	74.1650	124.4947	150.3065	156.6688	
1.0	200.0	2.0	170.2600	289.4900	157.2007	137.6122	146.2393	292.2345	222.8825	197.9100	230.4285	192.0396	
1.0	300.0	2.0	231.1400	289.4900	208.2107	181.1833	187.0404	297.4402	222.8825	242.4282	230.4285	235.2153	
1.0	400.0	2.0	330.8200	326.5842	259.2206	266.8079	227.8415	299.3819	306.1550	291.8585	270.2820	276.0032	
1.0	500.0	2.0	433.1800	326.5842	310.2305	335.5030	268.6426	300.1683	306.1550	291.8585	270.2820	305.1606	
2.0	50.0	2.0	190.3100	74.1650	80.6858	53.5841	72.1877	198.6808	74.1650	124.4947	150.3065	122.3862	
2.0	100.0	2.0	130.0800	289.4900	106.1908	76.6569	92.5883	224.7011	74.1650	124.4947	150.3065	132.7186	
2.0	200.0	2.0	220.1700	289.4900	157.2007	125.7233	133.3894	264.5194	222.8825	197.9100	230.4285	164.9622	
2.0	300.0	2.0	208.6600	289.4900	208.2107	157.2431	174.1904	284.5465	222.8825	242.4282	230.4285	206.4892	
