# Created: Fri Aug 01 16:25:41 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.125
#	output:	results/sssp/values-0.125.csv
#	metrics-output:	results/sssp/metrics-0.125.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 300.0, 3.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 7.0)
# 	(1.0, 300.0, 10.0)
# 	(4.0, 200.0, 7.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 200.0, 8.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	126.0622	149.6901	36.2853	101.6403	273.0440	74.1650	135.3289	159.2192	158.0326	
1.0	100.0	2.0	104.1800	126.0622	168.2471	36.4712	125.8607	273.7028	229.0500	149.8034	220.1503	169.5829	
1.0	200.0	2.0	170.2600	289.0867	205.3613	43.6988	174.3014	274.9168	274.2517	258.1517	262.4033	202.0007	
1.0	300.0	2.0	231.1400	289.0867	242.4755	143.7540	222.7420	275.9045	274.2517	258.1517	262.4033	240.6758	
1.0	400.0	2.0	330.8200	325.5450	279.5897	237.6868	271.1827	276.6254	306.1550	269.2467	262.4033	276.6977	
1.0	500.0	2.0	433.1800	325.5450	316.7039	307.5428	319.6234	277.1007	306.1550	269.2467	262.4033	302.4079	
2.0	50.0	2.0	190.3100	126.0622	149.6901	36.7235	73.3443	237.4574	74.1650	135.3289	159.2192	157.6540	
2.0	100.0	2.0	130.0800	126.0622	168.2471	39.0237	97.5647	240.0464	229.0500	149.8034	220.1503	167.7227	
2.0	200.0	2.0	220.1700	289.0867	205.3613	99.1456	146.0054	246.2922	274.2517	258.1517	262.4033	195.5698	
2.0	300.0	2.0	208.6600	289.0867	242.4755	202.1419	194.4461	253.5807	274.2517	258.1517	262.4033	228.2439	
2.0	400.0	2.0	195.2900	325.5450	279.5897	212.4437	242.8868	260.9905	306.1550	269.2467	262.4033	258.3996	
2.0	500.0	2.0	156.2900	325.5450	316.7039	244.8998	291.3274	267.3850	306.1550	269.2467	262.4033	280.1193	
4.0	50.0	2.0	59.8300	126.0622	149.6901	90.2529	16.7524	212.1791	74.1650	132.5073	159.2192	186.4049	
4.0	100.0	2.0	86.6100	126.0622	168.2471	162.7731	40.9727	212.1791	229.0500	149.8034	213.4204	190.0668	
4.0	200.0	2.0	116.2800	378.1833	205.3613	208.5863	89.4134	212.1791	274.2517	241.1523	249.6720	199.1068	
4.0	300.0	2.0	143.3400	201.3317	242.4755	210.3939	137.8541	212.1791	274.2517	241.1523	249.6720	208.2943	
4.0	400.0	2.0	167.6600	201.3317	279.5897	210.4528	186.2948	212.1791	306.1550	252.2474	249.6720	216.0196	
4.0	500.0	2.0	167.6700	201.3317	316.7039	210.5963	234.7355	212.1791	306.1550	252.2474	249.6720	221.9972	
