# Created: Fri Aug 01 16:25:44 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.150
#	output:	results/sssp/values-0.150.csv
#	metrics-output:	results/sssp/metrics-0.150.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 300.0, 3.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 7.0)
# 	(1.0, 300.0, 10.0)
# 	(4.0, 200.0, 7.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 200.0, 8.0)
# 	(4.0, 100.0, 10.0)
# 	(4.0, 200.0, 10.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 100.0, 4.0)
# 	(4.0, 100.0, 6.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	159.2642	160.0600	140.0185	81.5766	287.1314	74.1650	201.8184	209.1551	210.1867	
1.0	100.0	2.0	104.1800	159.2642	177.0679	140.0379	104.4815	287.6698	228.8820	231.5990	235.3092	220.3768	
1.0	200.0	2.0	170.2600	284.4338	211.0838	140.3396	150.2913	289.2589	250.5671	269.7818	241.0578	244.5330	
1.0	300.0	2.0	231.1400	284.4338	245.0996	144.1632	196.1011	291.0275	250.5671	269.7818	241.0578	269.5163	
1.0	400.0	2.0	330.8200	300.5425	279.1155	180.3653	241.9109	292.4713	306.1550	269.7818	257.4243	290.0948	
1.0	500.0	2.0	433.1800	300.5425	313.1313	260.3593	287.7208	293.3895	306.1550	269.7818	257.4243	302.3244	
2.0	50.0	2.0	190.3100	159.2642	160.0600	140.0115	65.0521	249.1263	74.1650	223.7066	220.8488	210.6368	
2.0	100.0	2.0	130.0800	159.2642	177.0679	140.0154	87.9570	251.2425	228.8820	253.4872	247.0029	219.9411	
2.0	200.0	2.0	220.1700	284.4338	211.0838	140.0542	133.7668	258.3688	250.5671	291.6700	252.7515	240.9676	
2.0	300.0	2.0	208.6600	284.4338	245.0996	140.5322	179.5766	268.2993	250.5671	291.6700	252.7515	261.4204	
2.0	400.0	2.0	195.2900	300.5425	279.1155	146.5117	225.3864	278.5978	306.1550	291.6700	269.1180	277.2166	
2.0	500.0	2.0	156.2900	300.5425	313.1313	195.1252	271.1962	286.5582	306.1550	291.6700	269.1180	285.8499	
4.0	50.0	2.0	59.8300	159.2642	160.0600	140.0084	32.0030	193.7707	74.1650	202.0646	172.2675	167.3174	
4.0	100.0	2.0	86.6100	159.2642	177.0679	140.0107	54.9079	193.7707	228.8820	206.8221	198.4216	171.3418	
4.0	200.0	2.0	116.2800	239.2245	211.0838	140.0143	100.7177	193.7707	250.5671	238.1673	204.1702	182.2083	
4.0	300.0	2.0	143.3400	239.2245	245.0996	140.0231	146.5275	193.7707	250.5671	238.1673	204.1702	194.2718	
4.0	400.0	2.0	167.6600	300.5425	279.1155	140.1165	192.3373	193.7707	306.1550	238.1673	220.5367	205.1631	
4.0	500.0	2.0	167.6700	300.5425	313.1313	141.3195	238.1472	193.7707	306.1550	238.1673	220.5367	213.8457	
1.0	50.0	3.0	71.6800	159.2642	160.0600	140.0119	85.7428	286.3149	74.1650	201.8184	209.1551	221.1579	
1.0	100.0	3.0	102.3400	159.2642	177.0679	140.0609	108.6477	286.9112	228.8820	231.5990	235.3092	232.4741	
1.0	200.0	3.0	158.0300	284.4338	211.0838	140.7952	154.4576	288.6757	250.5671	269.7818	241.0578	258.0031	
1.0	300.0	3.0	203.2100	284.4338	245.0996	149.7067	200.2674	290.6479	250.5671	269.7818	241.0578	282.8895	
1.0	400.0	3.0	293.9300	307.4713	279.1155	210.0582	246.0772	292.2643	306.1550	269.7818	257.4243	301.9484	
1.0	500.0	3.0	335.7500	307.4713	313.1313	273.1792	291.8870	293.2953	306.1550	269.7818	257.4243	311.7010	
2.0	50.0	3.0	65.1700	159.2642	160.0600	139.9939	69.2183	246.1581	74.1650	223.7066	220.8488	223.9820	
2.0	100.0	3.0	89.5400	159.2642	177.0679	140.0054	92.1232	248.2983	228.8820	253.4872	247.0029	234.7736	
2.0	200.0	3.0	134.2700	284.4338	211.0838	140.1024	137.9330	255.5855	250.5671	291.6700	252.7515	257.7982	
2.0	300.0	3.0	170.8400	284.4338	245.0996	141.2613	183.7428	265.9515	250.5671	291.6700	252.7515	278.5480	
2.0	400.0	3.0	225.2200	307.4713	279.1155	154.8638	229.5526	276.9701	306.1550	291.6700	269.1180	292.9121	
2.0	500.0	3.0	248.0600	307.4713	313.1313	226.5947	275.3625	285.6809	306.1550	291.6700	269.1180	298.8445	
4.0	50.0	3.0	62.9200	159.2642	160.0600	139.9835	36.1692	193.7707	74.1650	202.0646	172.2675	176.3868	
4.0	100.0	3.0	77.9400	159.2642	177.0679	139.9919	59.0741	193.7707	228.8820	206.8221	198.4216	182.0261	
4.0	200.0	3.0	113.9800	239.2245	211.0838	140.0043	104.8840	193.7707	250.5671	238.1673	204.1702	195.5869	
