# Created: Fri Aug 01 16:25:47 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.175
#	output:	results/sssp/values-0.175.csv
#	metrics-output:	results/sssp/metrics-0.175.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 300.0, 3.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 7.0)
# 	(1.0, 300.0, 10.0)
# 	(4.0, 200.0, 7.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 200.0, 8.0)
# 	(4.0, 100.0, 10.0)
# 	(4.0, 200.0, 10.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 100.0, 4.0)
# 	(4.0, 100.0, 6.0)
# 	(2.0, 100.0, 4.0)
# 	(2.0, 100.0, 6.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 100.0, 7.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	154.8747	152.4340	-108.5751	102.4859	261.5239	74.1650	120.8893	182.3325	170.1010	
1.0	100.0	2.0	104.1800	154.8747	170.3697	-101.8173	126.2786	271.9358	193.4678	182.9311	228.3472	182.2269	
1.0	200.0	2.0	170.2600	284.4338	206.2411	-67.3057	173.8639	286.8447	250.5671	269.4322	246.9516	213.6514	
1.0	300.0	2.0	231.1400	284.4338	242.1126	17.1671	221.4493	292.7283	250.5671	299.3564	246.9516	248.8623	
1.0	400.0	2.0	330.8200	300.5425	277.9840	116.4170	269.0346	294.1529	306.1550	315.5860	251.2453	279.8875	
1.0	500.0	2.0	433.1800	300.5425	313.8554	167.4826	316.6199	294.3866	306.1550	315.5860	251.2453	300.1654	
2.0	50.0	2.0	190.3100	154.8747	152.4340	-112.4359	77.9990	204.9628	74.1650	120.8893	182.3325	164.7861	
2.0	100.0	2.0	130.0800	154.8747	170.3697	-108.9896	101.7917	216.0944	193.4678	182.9311	228.3472	175.9148	
2.0	200.0	2.0	220.1700	284.4338	206.2411	-91.7759	149.3770	250.2684	250.5671	269.4322	242.9514	204.3912	
2.0	300.0	2.0	208.6600	284.4338	242.1126	-37.9671	196.9623	281.0111	250.5671	299.3564	242.9514	235.7366	
2.0	400.0	2.0	195.2900	300.5425	277.9840	62.6438	244.5477	292.1243	306.1550	315.5860	242.9514	262.9610	
2.0	500.0	2.0	156.2900	300.5425	313.8554	144.4239	292.1330	294.1542	306.1550	315.5860	242.9514	280.7238	
4.0	50.0	2.0	59.8300	154.8747	152.4340	-115.8456	29.0252	180.2366	74.1650	106.6929	174.7613	153.8660	
4.0	100.0	2.0	86.6100	154.8747	170.3697	-114.0561	52.8178	180.4402	193.4678	168.7346	208.4396	159.0815	
4.0	200.0	2.0	116.2800	242.9232	206.2411	-109.8921	100.4032	181.6910	250.5671	221.0244	229.4894	173.1517	
4.0	300.0	2.0	143.3400	242.9232	242.1126	-95.9047	147.9885	187.8381	250.5671	250.9486	229.4894	188.8749	
4.0	400.0	2.0	167.6600	300.5425	277.9840	-49.6789	195.5738	217.1698	306.1550	271.1197	229.4894	202.8906	
4.0	500.0	2.0	167.6700	300.5425	313.8554	46.4628	243.1592	272.7889	306.1550	271.1197	229.4894	213.3155	
1.0	50.0	3.0	71.6800	154.8747	152.4340	-63.8333	107.5214	251.6198	74.1650	120.8893	182.3325	176.5153	
1.0	100.0	3.0	102.3400	154.8747	170.3697	-24.6839	131.3141	263.9982	193.4678	182.9311	228.3472	189.8722	
1.0	200.0	3.0	158.0300	284.4338	206.2411	79.0917	178.8994	283.5495	250.5671	269.4322	246.9516	223.2880	
1.0	300.0	3.0	203.2100	284.4338	242.1126	152.4125	226.4847	291.9343	250.5671	286.7280	246.9516	259.4216	
1.0	400.0	3.0	293.9300	307.1901	277.9840	179.0999	274.0701	294.0268	306.1550	302.9576	251.2453	290.0809	
1.0	500.0	3.0	335.7500	307.1901	313.8554	186.3241	321.6554	294.3724	306.1550	302.9576	251.2453	308.8992	
2.0	50.0	3.0	65.1700	154.8747	152.4340	-91.4847	83.0345	198.1245	74.1650	120.8893	182.3325	173.5581	
2.0	100.0	3.0	89.5400	154.8747	170.3697	-67.6605	106.8272	207.1413	193.4678	182.9311	228.3472	186.2729	
2.0	200.0	3.0	134.2700	284.4338	206.2411	18.0297	154.4125	239.2657	250.5671	269.4322	242.9514	217.3504	
2.0	300.0	3.0	170.8400	284.4338	242.1126	117.1245	201.9978	275.6235	250.5671	286.7280	242.9514	249.9956	
2.0	400.0	3.0	225.2200	307.1901	277.9840	167.7392	249.5831	291.0546	306.1550	302.9576	242.9514	276.9291	
2.0	500.0	3.0	248.0600	307.1901	313.8554	183.3729	297.1685	294.0286	306.1550	302.9576	242.9514	293.0042	
4.0	50.0	3.0	62.9200	154.8747	152.4340	-114.8397	34.0606	180.1345	74.1650	106.6929	174.7613	162.5752	
4.0	100.0	3.0	77.9400	154.8747	170.3697	-106.0231	57.8533	180.2724	193.4678	168.7346	208.4396	169.4780	
4.0	200.0	3.0	113.9800	242.9232	206.2411	-75.1220	105.4386	181.1225	250.5671	221.0244	229.4894	186.4420	
4.0	300.0	3.0	137.8600	242.9232	242.1126	2.2329	153.0240	185.3904	250.5671	238.3203	229.4894	203.8593	
4.0	400.0	3.0	179.1900	307.1901	277.9840	104.6314	200.6093	208.0461	306.1550	258.4913	229.4894	218.0135	
4.0	500.0	3.0	174.2800	307.1901	313.8554	163.1037	248.1946	265.0564	306.1550	258.4913	229.4894	227.1135	
1.0	50.0	4.0	72.9200	154.8747	152.4340	82.8230	112.5569	241.8603	74.1650	120.8893	182.3325	183.2313	
1.0	100.0	4.0	101.4100	154.8747	170.3697	127.1714	136.3496	255.5306	193.4678	182.9311	228.3472	197.6645	
1.0	200.0	4.0	155.9400	284.4338	206.2411	171.5578	183.9349	279.5630	250.5671	269.4322	246.9516	232.6539	
1.0	300.0	4.0	198.1400	284.4338	242.1126	184.4146	231.5202	290.9200	250.5671	286.7280	246.9516	269.2007	
1.0	400.0	4.0	276.9600	307.1901	277.9840	187.6499	279.1056	293.8634	306.1550	302.9576	251.2453	298.9945	
1.0	500.0	4.0	315.4200	307.1901	313.8554	188.4344	326.6909	294.3539	306.1550	302.9576	251.2453	315.9798	
2.0	50.0	4.0	70.9400	154.8747	152.4340	20.1638	88.0700	193.3603	74.1650	120.8893	182.3325	182.2132	
2.0	100.0	4.0	93.6700	154.8747	170.3697	77.4078	111.8626	200.5219	193.4678	182.9311	228.3472	196.3979	
2.0	200.0	4.0	129.7800	284.4338	206.2411	152.4705	159.4480	229.2496	250.5671	269.4322	242.9514	229.8151	
2.0	300.0	4.0	156.6200	284.4338	242.1126	179.1720	207.0333	269.4303	250.5671	286.7280	242.9514	263.4901	
2.0	400.0	4.0	229.3400	307.1901	277.9840	186.3480	254.6186	289.6960	306.1550	302.9576	242.9514	289.8971	
2.0	500.0	4.0	291.9400	307.1901	313.8554	188.1193	302.2040	293.8660	306.1550	302.9576	242.9514	304.1297	
4.0	50.0	4.0	62.9200	154.8747	152.4340	-86.4484	39.0961	180.0715	74.1650	106.6929	174.7613	170.9024	
4.0	100.0	4.0	86.4000	154.8747	170.3697	-42.6389	62.8888	180.1686	193.4678	168.7346	208.4396	179.4887	
4.0	200.0	4.0	677.1400	242.9232	206.2411	63.7140	110.4741	180.7691	250.5671	221.0244	229.4894	199.4367	
4.0	300.0	4.0	311.5600	242.9232	242.1126	145.2929	158.0594	183.8240	250.5671	238.3203	229.4894	218.7541	
4.0	400.0	4.0	206.6300	307.1901	277.9840	177.0070	205.6448	201.2605	306.1550	258.4913	229.4894	233.3057	
4.0	500.0	4.0	188.5500	307.1901	313.8554	185.7952	253.2301	256.7515	306.1550	258.4913	229.4894	241.3076	
1.0	50.0	5.0	79.9700	154.8747	152.4340	160.2069	117.5924	232.9800	74.1650	131.4272	182.3325	189.2550	
1.0	100.0	5.0	104.8500	154.8747	170.3697	175.9517	141.3850	247.1992	193.4678	193.4690	228.3472	204.5461	
1.0	200.0	5.0	158.7500	284.4338	206.2411	186.1071	188.9704	275.0627	250.5671	269.4322	246.9516	240.6463	
1.0	300.0	5.0	191.3600	284.4338	242.1126	188.1361	236.5557	289.6978	250.5671	286.7280	246.9516	277.1729	
1.0	400.0	5.0	348.5100	307.1901	277.9840	188.5615	284.1410	293.6631	306.1550	302.9576	251.2453	305.7804	
1.0	500.0	5.0	309.6400	307.1901	313.8554	188.6550	331.7264	294.3312	306.1550	302.9576	251.2453	320.7941	
2.0	50.0	5.0	82.5200	154.8747	152.4340	136.5721	93.1054	190.0884	74.1650	131.4272	182.3325	189.3827	
2.0	100.0	5.0	521.2100	154.8747	170.3697	164.1989	116.8981	195.7800	193.4678	193.4690	228.3472	204.8183	
2.0	200.0	5.0	174.0000	284.4338	206.2411	183.3984	164.4834	220.7720	250.5671	269.4322	242.9514	240.2086	
2.0	300.0	5.0	146.4300	284.4338	242.1126	187.5157	212.0688	262.8330	250.5671	286.7280	242.9514	274.6923	
2.0	400.0	5.0	201.0400	307.1901	277.9840	188.4174	259.6541	288.0703	306.1550	302.9576	242.9514	300.5276	
2.0	500.0	5.0	222.3300	307.1901	313.8554	188.6211	307.2394	293.6667	306.1550	302.9576	242.9514	313.0434	
4.0	50.0	5.0	202.5900	154.8747	152.4340	31.5538	44.1316	180.0316	74.1650	117.2308	174.7613	177.2901	
4.0	100.0	5.0	373.3500	154.8747	170.3697	101.0760	67.9243	180.1028	193.4678	179.2726	208.4396	187.4156	
4.0	200.0	5.0	351.5200	242.9232	206.2411	165.6803	115.5096	180.5439	250.5671	238.5514	229.4894	210.2550	
4.0	300.0	5.0	203.3700	242.9232	242.1126	183.1531	163.0949	182.8076	250.5671	255.8473	229.4894	231.6587	
