# Created: Fri Aug 01 16:25:50 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/sssp.csv
#	sampling-rate:	0.20
#	output:	results/sssp/values-0.20.csv
#	metrics-output:	results/sssp/metrics-0.20.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 500.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 500.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 500.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 500.0, 10.0)
# 	(2.0, 500.0, 3.0)
# 	(4.0, 300.0, 3.0)
# 	(2.0, 500.0, 7.0)
# 	(4.0, 300.0, 10.0)
# 	(1.0, 300.0, 3.0)
# 	(1.0, 500.0, 3.0)
# 	(1.0, 500.0, 7.0)
# 	(1.0, 300.0, 10.0)
# 	(4.0, 200.0, 7.0)
# 	(4.0, 100.0, 5.0)
# 	(4.0, 200.0, 8.0)
# 	(4.0, 100.0, 10.0)
# 	(4.0, 200.0, 10.0)
# 	(2.0, 100.0, 5.0)
# 	(4.0, 100.0, 4.0)
# 	(4.0, 100.0, 6.0)
# 	(2.0, 100.0, 4.0)
# 	(2.0, 100.0, 6.0)
# 	(4.0, 100.0, 8.0)
# 	(4.0, 100.0, 7.0)
# 	(2.0, 100.0, 8.0)
# 	(4.0, 100.0, 9.0)
# 	(2.0, 100.0, 9.0)
# 	(2.0, 100.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	50.0	2.0	72.8500	209.2464	303.5987	28.8744	99.9998	298.9760	74.1650	237.2249	179.7392	186.4671	
1.0	100.0	2.0	104.1800	209.2464	303.5987	40.7579	123.0213	298.8509	246.9746	297.9845	276.3991	196.4361	
1.0	200.0	2.0	170.2600	294.2463	303.5987	73.9412	169.0644	299.4732	250.5671	297.9845	272.7863	222.5502	
1.0	300.0	2.0	231.1400	294.2463	303.5987	119.4087	215.1075	300.8842	250.5671	269.6797	272.7863	252.1953	
1.0	400.0	2.0	330.8200	326.9228	303.5987	171.2100	261.1506	302.3599	306.1550	292.8769	272.7863	278.9146	
1.0	500.0	2.0	433.1800	326.9228	303.5987	219.1568	307.1936	303.3865	306.1550	292.8769	272.7863	297.3094	
2.0	50.0	2.0	190.3100	209.2464	267.8019	20.4788	82.2353	285.1685	74.1650	237.2249	179.7392	182.0958	
2.0	100.0	2.0	130.0800	209.2464	267.8019	29.9410	105.2568	284.7701	246.9746	297.9845	276.3991	191.1314	
2.0	200.0	2.0	220.1700	294.2463	267.8019	57.3918	151.2999	286.7756	250.5671	297.9845	272.7863	214.4370	
2.0	300.0	2.0	208.6600	294.2463	267.8019	97.6647	197.3430	291.5625	250.5671	269.6797	272.7863	240.3448	
2.0	400.0	2.0	195.2900	326.9228	267.8019	147.7577	243.3861	296.9584	306.1550	292.8769	272.7863	263.3294	
2.0	500.0	2.0	156.2900	326.9228	267.8019	198.6926	289.4292	300.9727	306.1550	292.8769	272.7863	279.1699	
4.0	50.0	2.0	59.8300	209.2464	196.2084	8.8224	46.7064	191.2243	74.1650	124.6613	161.4372	149.0884	
4.0	100.0	2.0	86.6100	209.2464	196.2084	14.5604	69.7279	191.2243	246.9746	160.0644	212.6989	152.9372	
4.0	200.0	2.0	116.2800	267.1703	196.2084	32.1573	115.7710	191.2244	250.5671	181.9106	225.9709	165.5375	
4.0	300.0	2.0	143.3400	200.4527	196.2084	60.8595	161.8141	191.2250	250.5671	181.9106	225.9709	181.6842	
4.0	400.0	2.0	167.6600	200.4527	196.2084	102.3669	207.8572	191.2264	306.1550	181.9106	225.9709	197.9095	
4.0	500.0	2.0	167.6700	200.4527	196.2084	153.0216	253.9003	191.2308	306.1550	181.9106	225.9709	211.8641	
1.0	50.0	3.0	71.6800	209.2464	303.5987	58.6661	105.4164	298.3044	74.1650	237.2249	179.7392	205.7683	
1.0	100.0	3.0	102.3400	209.2464	303.5987	77.4783	128.4380	298.1639	246.9746	297.9845	276.3991	216.6871	
1.0	200.0	3.0	158.0300	294.2463	303.5987	123.8400	174.4810	298.8627	250.5671	297.9845	272.7863	243.0534	
1.0	300.0	3.0	203.2100	294.2463	303.5987	175.7254	220.5241	300.4511	250.5671	269.6797	272.7863	270.7186	
