# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Date:	Thu Jul 31 11:24:18 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			15156.98595	123.11371	77.52588
MLPerceptron			35923.39531	189.53468	126.63757
RBF			17694.77734	133.02172	92.81922
RandomSubSpaces			16291.68137	127.63887	85.46086
BagClassify			15879.60334	126.01430	84.87331
LeastSquares			16114.70309	126.94370	72.29853
LinearRegression			15527.24887	124.60838	78.62004
IsoRegression			16085.82442	126.82990	82.02230
Discretization			18655.59534	136.58549	89.58159
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Date:	Thu Jul 31 11:24:18 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			13523.14482	116.28906	96.46624
MLPerceptron			32684.44628	180.78840	153.02990
RBF			24236.14749	155.67963	133.48318
RandomSubSpaces			19784.74726	140.65826	121.99243
BagClassify			17537.66707	132.42986	105.70360
LeastSquares			12741.00571	112.87606	66.01900
LinearRegression			16006.79377	126.51796	93.91860
IsoRegression			19006.71904	137.86486	109.05562
Discretization			22010.14577	148.35817	103.74153
# Sampler used:	class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Date:	Thu Jul 31 11:24:19 EEST 2014
Model			MSE	Average	Deviation
GaussianCurves			14073.06590	118.62995	65.08602
MLPerceptron			10559.50571	102.75946	50.32857
RBF			19020.91944	137.91635	87.08385
RandomSubSpaces			19056.29197	138.04453	87.48172
BagClassify			16271.66703	127.56044	78.61705
LeastSquares			18133.41582	134.66037	72.39068
LinearRegression			18290.52055	135.24245	87.26754
IsoRegression			18181.55860	134.83901	86.50605
Discretization			18635.15193	136.51063	84.95669
