# Created: Thu Jul 31 11:24:13 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.05
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.05.csv
#	metrics-output:	results/terasort/metrics-0.05.csv
#
# Points picked
# 	(1.0, 40.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(1.0, 20.0, 2.0)
# 	(2.0, 20.0, 9.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 20.0, 5.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	293.0155	210.7652	387.2942	281.1433	275.0193	233.1762	448.7583	511.2500	174.7100	
1.0	20.0	2.0	378.2800	317.7940	378.2691	387.1951	281.1433	275.0193	323.0446	448.7583	511.2500	174.7100	
1.0	30.0	2.0	539.7700	359.5695	489.7481	387.1798	281.1433	275.0193	412.9129	448.7583	511.2500	387.5767	
1.0	40.0	2.0	646.0500	406.4673	574.9804	387.2637	281.1433	275.0193	502.7812	448.7583	511.2500	387.5767	
1.0	50.0	2.0	644.2200	435.1762	644.2150	387.3695	281.1433	275.0193	592.6495	448.7583	511.2500	387.5767	
2.0	10.0	2.0	122.2600	263.4340	179.5226	385.4501	281.1433	221.9922	209.8208	448.7583	511.2500	174.7100	
2.0	20.0	2.0	193.7800	283.2507	436.0611	384.2795	281.1433	221.9922	299.6891	448.7583	511.2500	174.7100	
2.0	30.0	2.0	256.8900	325.2191	600.4841	384.1000	281.1433	221.9922	389.5574	448.7583	511.2500	387.5767	
2.0	40.0	2.0	323.5800	376.1029	689.9151	385.0884	281.1433	221.9922	479.4258	448.7583	511.2500	387.5767	
2.0	50.0	2.0	407.8700	410.4767	741.3380	386.3462	281.1433	221.9922	569.2941	448.7583	511.2500	387.5767	
4.0	10.0	2.0	72.2300	214.2307	134.8060	123.8424	281.1433	221.9922	163.1098	448.7583	511.2500	174.7100	
