# Created: Thu Jul 31 11:24:15 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.10
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.10.csv
#	metrics-output:	results/terasort/metrics-0.10.csv
#
# Points picked
# 	(2.0, 50.0, 10.0)
# 	(4.0, 10.0, 7.0)
# 	(1.0, 40.0, 4.0)
# 	(4.0, 30.0, 7.0)
# 	(4.0, 40.0, 8.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 20.0, 8.0)
# 	(1.0, 10.0, 10.0)
# 	(2.0, 40.0, 8.0)
# 	(1.0, 30.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 10.0, 4.0)
# 	(4.0, 20.0, 7.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	155.4063	92.5087	66.0368	151.8373	102.3683	-185.3910	45.2304	76.4380	87.5543	
1.0	20.0	2.0	378.2800	173.8846	131.9316	66.8010	151.8373	112.1513	-161.1111	106.0165	76.4380	87.5543	
1.0	30.0	2.0	539.7700	196.8219	213.3970	144.5957	151.8373	126.7538	-136.8312	166.8026	113.0300	87.5543	
1.0	40.0	2.0	646.0500	217.2305	488.5942	257.2403	189.7549	279.6407	-112.5512	227.5887	228.2933	299.9300	
1.0	50.0	2.0	644.2200	228.8277	687.8023	259.2909	189.7549	279.6407	-88.2713	288.3748	312.0300	299.9300	
2.0	10.0	2.0	122.2600	140.7797	50.9889	66.0361	151.8373	96.2825	-168.8530	45.2304	76.4380	87.5543	
2.0	20.0	2.0	193.7800	158.7557	70.9485	66.6603	151.8373	106.0655	-144.5731	106.0165	76.4380	87.5543	
2.0	30.0	2.0	256.8900	183.7117	201.6364	135.3299	151.8373	120.6680	-120.2932	166.8026	113.0300	87.5543	
2.0	40.0	2.0	323.5800	208.1975	472.9928	256.7799	189.7549	257.4385	-96.0133	227.5887	228.2933	162.7600	
2.0	50.0	2.0	407.8700	224.6244	563.0202	259.2865	189.7549	257.4385	-71.7333	288.3748	312.0300	162.7600	
4.0	10.0	2.0	72.2300	127.1308	49.2252	66.0346	151.8373	92.8235	-135.7770	45.2304	76.4380	87.5543	
4.0	20.0	2.0	116.1100	139.6777	181.6947	66.3293	151.8373	102.6065	-111.4971	106.0165	76.4380	87.5543	
4.0	30.0	2.0	168.4500	161.4833	407.9456	106.3296	151.8373	120.6680	-87.2172	166.8026	113.0300	87.5543	
4.0	40.0	2.0	237.2300	186.3201	444.1858	254.0184	189.7549	257.4385	-62.9373	227.5887	228.2933	345.4800	
4.0	50.0	2.0	362.6600	206.3881	450.1994	259.2593	189.7549	257.4385	-38.6574	288.3748	312.0300	345.4800	
1.0	10.0	3.0	121.6500	145.5760	92.0124	66.0367	151.8373	102.3683	-150.0552	45.2304	76.4380	87.5543	
1.0	20.0	3.0	219.5600	166.0583	130.2240	66.7933	151.8373	112.1513	-125.7753	106.0165	76.4380	87.5543	
1.0	30.0	3.0	290.4400	192.8440	195.0359	144.1222	151.8373	126.7538	-101.4954	166.8026	113.0300	87.5543	
1.0	40.0	3.0	379.0900	217.8646	403.2298	257.2193	189.7549	279.6407	-77.2155	227.5887	228.2933	299.9300	
1.0	50.0	3.0	485.7900	233.4137	670.5331	259.2907	189.7549	279.6407	-52.9356	288.3748	312.0300	299.9300	
2.0	10.0	3.0	112.3200	127.6573	50.5846	66.0361	151.8373	96.2825	-133.5172	45.2304	76.4380	87.5543	
2.0	20.0	3.0	651.8600	148.0844	65.6525	66.6540	151.8373	106.0655	-109.2373	106.0165	76.4380	87.5543	
2.0	30.0	3.0	520.8800	178.0225	143.2858	134.8788	151.8373	120.6680	-84.9574	166.8026	113.0300	87.5543	
2.0	40.0	3.0	234.0400	208.6393	425.0750	256.7544	189.7549	257.4385	-60.6775	227.5887	228.2933	162.7600	
2.0	50.0	3.0	282.4400	230.4377	558.5845	259.2862	189.7549	257.4385	-36.3976	288.3748	312.0300	162.7600	
4.0	10.0	3.0	66.5100	113.9825	42.6381	66.0346	151.8373	92.8235	-100.4413	45.2304	76.4380	87.5543	
4.0	20.0	3.0	86.0800	129.7346	115.2759	66.3263	151.8373	102.6065	-76.1614	106.0165	76.4380	87.5543	
4.0	30.0	3.0	116.7500	157.6263	368.5982	106.0064	151.8373	120.6680	-51.8814	166.8026	113.0300	87.5543	
4.0	40.0	3.0	157.9000	189.7566	441.3270	253.9658	189.7549	257.4385	-27.6015	227.5887	228.2933	345.4800	
4.0	50.0	3.0	182.7200	216.0255	449.9676	259.2588	189.7549	257.4385	-3.3216	288.3748	312.0300	345.4800	
1.0	10.0	4.0	105.3100	134.3249	91.5518	66.0369	151.8373	102.3683	-114.7195	45.2304	76.4380	87.5543	
1.0	20.0	4.0	172.0700	156.0730	129.1226	66.8346	151.8373	112.1513	-90.4396	106.0165	76.4380	87.5543	
1.0	30.0	4.0	234.2300	186.1652	186.1851	146.6108	151.8373	126.7538	-66.1597	166.8026	113.0300	87.5543	
1.0	40.0	4.0	308.7800	215.6511	329.9765	257.3266	189.7549	279.6407	-41.8797	227.5887	228.2933	299.9300	
1.0	50.0	4.0	374.3800	235.4451	636.1491	259.2917	189.7549	279.6407	-17.5998	288.3748	312.0300	299.9300	
2.0	10.0	4.0	72.5000	113.5491	50.3429	66.0362	151.8373	96.2825	-98.1815	45.2304	76.4380	87.5543	
2.0	20.0	4.0	109.4900	135.8753	63.2209	66.6878	151.8373	106.0655	-73.9016	106.0165	76.4380	87.5543	
2.0	30.0	4.0	147.8300	170.4096	110.1723	137.2549	151.8373	120.6680	-49.6217	166.8026	113.0300	87.5543	
2.0	40.0	4.0	182.4400	207.0892	351.1782	256.8852	189.7549	257.4385	-25.3418	227.5887	228.2933	162.7600	
2.0	50.0	4.0	226.1300	234.5277	549.5152	259.2875	189.7549	257.4385	-1.0618	288.3748	312.0300	162.7600	
4.0	10.0	4.0	54.7500	101.3169	39.7443	66.0346	151.8373	92.8235	-65.1055	45.2304	76.4380	87.5543	
4.0	20.0	4.0	75.8700	120.3656	75.2211	66.3423	151.8373	102.6065	-40.8256	106.0165	76.4380	87.5543	
4.0	30.0	4.0	99.5400	154.4618	302.9310	107.7199	151.8373	120.6680	-16.5457	166.8026	113.0300	87.5543	
4.0	40.0	4.0	135.6200	194.0184	434.8615	254.2355	189.7549	257.4385	7.7342	227.5887	228.2933	345.4800	
4.0	50.0	4.0	147.7500	226.5904	449.5306	259.2615	189.7549	257.4385	32.0141	288.3748	312.0300	345.4800	
1.0	10.0	5.0	168.1100	122.9102	91.1082	66.0374	151.8373	102.3683	-79.3837	45.2304	76.4380	87.5543	
1.0	20.0	5.0	264.1000	145.1329	128.2840	66.9333	151.8373	112.1513	-55.1038	106.0165	76.4380	87.5543	
1.0	30.0	5.0	199.1300	177.7330	181.8234	152.1360	151.8373	126.7538	-30.8239	166.8026	113.0300	87.5543	
1.0	40.0	5.0	256.9800	211.1457	282.8575	257.5429	189.7549	279.6407	-6.5440	227.5887	228.2933	299.9300	
1.0	50.0	5.0	306.4200	235.0724	576.3055	259.2938	189.7549	279.6407	17.7359	288.3748	312.0300	299.9300	
2.0	10.0	5.0	72.5300	100.1234	50.1714	66.0366	151.8373	96.2825	-62.8457	45.2304	76.4380	87.5543	
2.0	20.0	5.0	101.6800	123.6808	62.0500	66.7684	151.8373	106.0655	-38.5658	106.0165	76.4380	87.5543	
2.0	30.0	5.0	128.9900	162.0207	93.7832	142.5742	151.8373	120.6680	-14.2859	166.8026	113.0300	87.5543	
2.0	40.0	5.0	158.8800	204.1103	266.1798	257.1492	189.7549	257.4385	9.9940	227.5887	228.2933	162.7600	
2.0	50.0	5.0	191.0900	236.8762	530.6576	259.2900	189.7549	257.4385	34.2739	288.3748	312.0300	162.7600	
4.0	10.0	5.0	51.2800	90.8365	38.4881	66.0348	151.8373	92.8235	-29.7698	45.2304	76.4380	87.5543	
4.0	20.0	5.0	71.6400	112.9955	54.8921	66.3804	151.8373	102.6065	-5.4899	106.0165	76.4380	87.5543	
4.0	30.0	5.0	101.8800	152.7944	219.1894	111.6579	151.8373	120.6680	18.7901	166.8026	113.0300	87.5543	
4.0	40.0	5.0	100.7400	199.1160	420.6014	254.7810	189.7549	257.4385	43.0700	227.5887	228.2933	345.4800	
4.0	50.0	5.0	124.5700	237.3765	448.6159	259.2669	189.7549	257.4385	67.3499	288.3748	312.0300	345.4800	
1.0	10.0	6.0	90.7600	112.8780	90.6735	66.0382	137.5481	102.3683	-44.0480	45.2304	76.4380	87.5543	
1.0	20.0	6.0	134.4400	134.8463	127.5601	67.1098	137.5481	112.1513	-19.7681	106.0165	76.4380	87.5543	
1.0	30.0	6.0	174.1600	168.9684	179.4690	160.7899	137.5481	126.7538	4.5118	166.8026	113.0300	87.5543	
1.0	40.0	6.0	247.1600	205.3744	257.7223	257.8319	175.4657	279.6407	28.7917	227.5887	228.2933	299.9300	
1.0	50.0	6.0	296.7600	232.8409	494.3378	259.2966	175.4657	279.6407	53.0717	288.3748	312.0300	299.9300	
2.0	10.0	6.0	67.8700	89.2478	50.0307	66.0373	137.5481	96.2825	-27.5100	45.2304	76.4380	87.5543	
2.0	20.0	6.0	88.4400	113.3272	61.4266	66.9127	137.5481	106.0655	-3.2301	106.0165	76.4380	87.5543	
2.0	30.0	6.0	113.0500	154.3120	86.1301	151.0293	137.5481	120.6680	21.0498	166.8026	113.0300	87.5543	
2.0	40.0	6.0	205.1200	200.5513	196.0420	257.5018	175.4657	257.4385	45.3297	227.5887	228.2933	162.7600	
2.0	50.0	6.0	169.2200	237.6769	493.5602	259.2934	175.4657	257.4385	69.6096	288.3748	312.0300	162.7600	
4.0	10.0	6.0	93.8700	84.1291	37.9441	66.0351	137.5481	92.8235	5.5660	45.2304	76.4380	87.5543	
