# Created: Thu Jul 31 11:24:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.15
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.15.csv
#	metrics-output:	results/terasort/metrics-0.15.csv
#
# Points picked
# 	(1.0, 20.0, 7.0)
# 	(4.0, 20.0, 10.0)
# 	(4.0, 30.0, 10.0)
# 	(1.0, 20.0, 6.0)
# 	(4.0, 10.0, 8.0)
# 	(2.0, 50.0, 5.0)
# 	(2.0, 40.0, 9.0)
# 	(4.0, 10.0, 6.0)
# 	(2.0, 40.0, 4.0)
# 	(4.0, 20.0, 7.0)
# 	(1.0, 40.0, 4.0)
# 	(4.0, 30.0, 2.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 20.0, 9.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 50.0, 3.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 50.0, 6.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	156.1433	102.3782	191.7586	137.0223	183.0084	176.8913	109.3601	92.7163	164.2513	
1.0	20.0	2.0	378.2800	174.6511	110.9074	191.7615	137.0223	183.0084	190.9444	137.9843	92.7163	164.2513	
1.0	30.0	2.0	539.7700	196.2259	483.3548	191.7630	234.1171	203.7235	204.9975	166.6085	227.7967	164.2513	
1.0	40.0	2.0	646.0500	213.6265	274.2714	191.7639	202.7879	224.9921	219.0506	195.2326	227.7967	164.2513	
1.0	50.0	2.0	644.2200	221.4769	192.6154	191.7643	202.7879	224.9921	233.1036	223.8568	227.7967	164.2513	
2.0	10.0	2.0	122.2600	139.1453	102.8482	191.7460	137.0223	183.0084	166.3344	109.3601	92.7163	164.2513	
2.0	20.0	2.0	193.7800	160.7527	107.4931	191.7543	137.0223	183.0084	180.3875	137.9843	92.7163	164.2513	
2.0	30.0	2.0	256.8900	187.5285	434.7892	191.7586	234.1171	203.7235	194.4406	166.6085	227.7967	164.2513	
2.0	40.0	2.0	323.5800	210.5250	421.0145	191.7609	202.7879	224.9921	208.4937	195.2326	227.7967	164.2513	
2.0	50.0	2.0	407.8700	222.7317	207.5375	191.7622	202.7879	224.9921	222.5468	223.8568	227.7967	164.2513	
4.0	10.0	2.0	72.2300	125.9980	102.9911	191.5432	122.9451	171.7391	145.2208	109.3601	92.7163	75.8517	
4.0	20.0	2.0	116.1100	149.4672	103.9067	191.6377	119.5775	171.7391	159.2738	137.9843	92.7163	75.8517	
4.0	30.0	2.0	168.4500	180.0128	198.3511	191.6864	234.1171	203.7235	173.3269	166.6085	227.7967	225.3950	
4.0	40.0	2.0	237.2300	207.5863	735.7978	191.7127	202.7879	224.9921	187.3800	195.2326	227.7967	225.3950	
4.0	50.0	2.0	362.6600	223.8616	383.9200	191.7275	202.7879	224.9921	201.4331	223.8568	227.7967	225.3950	
1.0	10.0	3.0	121.6500	149.7416	102.0558	191.7162	137.0223	183.0084	163.4669	109.3601	92.7163	164.2513	
1.0	20.0	3.0	219.5600	168.0402	113.3072	191.7372	137.0223	183.0084	177.5200	137.9843	92.7163	164.2513	
1.0	30.0	3.0	290.4400	189.7512	472.4024	191.7480	234.1171	203.7235	191.5731	166.6085	227.7967	164.2513	
1.0	40.0	3.0	379.0900	207.4399	247.8260	191.7538	202.7879	224.9921	205.6262	195.2326	227.7967	164.2513	
1.0	50.0	3.0	485.7900	215.6698	190.6515	191.7571	202.7879	224.9921	219.6792	223.8568	227.7967	164.2513	
2.0	10.0	3.0	112.3200	130.7667	102.7687	191.6263	137.0223	183.0084	152.9100	109.3601	92.7163	164.2513	
2.0	20.0	3.0	651.8600	152.3877	109.1702	191.6855	137.0223	183.0084	166.9631	137.9843	92.7163	164.2513	
2.0	30.0	3.0	520.8800	179.4954	475.1696	191.7160	234.1171	203.7235	181.0162	166.6085	227.7967	164.2513	
2.0	40.0	3.0	234.0400	202.8014	364.3270	191.7325	202.7879	224.9921	195.0693	195.2326	227.7967	164.2513	
2.0	50.0	3.0	282.4400	215.2543	200.7404	191.7418	202.7879	224.9921	209.1224	223.8568	227.7967	164.2513	
4.0	10.0	3.0	66.5100	117.3368	102.9875	190.2223	122.9451	171.7391	131.7964	109.3601	92.7163	75.8517	
4.0	20.0	3.0	86.0800	141.7466	104.2847	190.8657	119.5775	171.7391	145.8494	137.9843	92.7163	75.8517	
4.0	30.0	3.0	116.7500	173.3288	231.9322	191.2043	234.1171	203.7235	159.9025	166.6085	227.7967	225.3950	
4.0	40.0	3.0	157.9000	201.3783	715.4386	191.3896	202.7879	224.9921	173.9556	195.2326	227.7967	225.3950	
4.0	50.0	3.0	182.7200	217.5095	332.3231	191.4946	202.7879	224.9921	188.0087	223.8568	227.7967	225.3950	
1.0	10.0	4.0	105.3100	143.3958	101.5670	191.4820	137.0223	179.1132	150.0425	109.3601	92.7163	164.2513	
1.0	20.0	4.0	172.0700	160.9445	116.1919	191.6024	137.0223	179.1132	164.0956	137.9843	92.7163	164.2513	
1.0	30.0	4.0	234.2300	182.1576	444.8716	191.6645	234.1171	199.8282	178.1487	166.6085	227.7967	164.2513	
1.0	40.0	4.0	308.7800	199.6033	228.7621	191.6981	202.7879	199.8282	192.2018	195.2326	227.7967	164.2513	
1.0	50.0	4.0	374.3800	207.9549	189.3347	191.7170	202.7879	199.8282	206.2548	223.8568	227.7967	164.2513	
2.0	10.0	4.0	72.5000	123.1703	102.6471	190.9724	137.0223	179.1132	139.4856	109.3601	92.7163	164.2513	
2.0	20.0	4.0	109.4900	144.3419	111.4177	191.3067	137.0223	179.1132	153.5387	137.9843	92.7163	164.2513	
2.0	30.0	4.0	147.8300	171.1099	500.9559	191.4806	234.1171	199.8282	167.5918	166.6085	227.7967	164.2513	
2.0	40.0	4.0	182.4400	194.0437	316.9808	191.5751	202.7879	199.8282	181.6449	195.2326	227.7967	164.2513	
2.0	50.0	4.0	226.1300	206.2693	196.1265	191.6284	202.7879	199.8282	195.6980	223.8568	227.7967	164.2513	
4.0	10.0	4.0	54.7500	110.5301	102.9818	184.1994	122.9451	167.8438	118.3720	109.3601	92.7163	75.8517	
4.0	20.0	4.0	75.8700	135.7109	104.8175	187.0529	119.5775	167.8438	132.4250	137.9843	92.7163	75.8517	
4.0	30.0	4.0	99.5400	167.7931	273.6754	188.7168	234.1171	199.8282	146.4781	166.6085	227.7967	225.3950	
4.0	40.0	4.0	135.6200	195.5542	680.5453	189.6811	202.7879	199.8282	160.5312	195.2326	227.7967	225.3950	
4.0	50.0	4.0	147.7500	210.7932	291.3048	190.2455	202.7879	199.8282	174.5843	223.8568	227.7967	225.3950	
1.0	10.0	5.0	168.1100	137.7039	100.8274	190.4739	137.0223	158.0460	136.6181	109.3601	92.7163	164.2513	
1.0	20.0	5.0	264.1000	154.0566	119.4947	191.0144	137.0223	158.0460	150.6712	137.9843	92.7163	164.2513	
1.0	30.0	5.0	199.1300	174.1970	406.2910	191.2977	234.1171	178.7610	164.7243	166.6085	227.7967	164.2513	
1.0	40.0	5.0	256.9800	190.8846	215.3499	191.4524	202.7879	178.7610	178.7774	195.2326	227.7967	164.2513	
1.0	50.0	5.0	306.4200	199.0665	188.4533	191.5400	202.7879	178.7610	192.8304	223.8568	227.7967	164.2513	
2.0	10.0	5.0	72.5300	117.1568	102.4615	188.3067	137.0223	158.0460	126.0612	109.3601	92.7163	164.2513	
2.0	20.0	5.0	101.6800	137.5249	114.3879	189.7070	137.0223	158.0460	140.1143	137.9843	92.7163	164.2513	
2.0	30.0	5.0	128.9900	163.3523	508.0876	190.4675	234.1171	178.7610	154.1674	166.6085	227.7967	164.2513	
2.0	40.0	5.0	158.8800	185.2601	279.7531	190.8908	202.7879	178.7610	168.2205	195.2326	227.7967	164.2513	
2.0	50.0	5.0	191.0900	196.7570	193.0122	191.1330	202.7879	178.7610	182.2736	223.8568	227.7967	164.2513	
4.0	10.0	5.0	51.2800	106.4796	102.9727	170.7284	122.9451	141.8212	104.9476	109.3601	92.7163	75.8517	
4.0	20.0	5.0	71.6400	132.3335	105.5666	176.3009	119.5775	141.8212	119.0006	137.9843	92.7163	75.8517	
4.0	30.0	5.0	101.8800	164.4221	322.9972	180.5862	234.1171	173.8056	133.0537	166.6085	227.7967	225.3950	
4.0	40.0	5.0	100.7400	191.1555	632.1809	183.5638	202.7879	173.8056	147.1068	195.2326	227.7967	225.3950	
4.0	50.0	5.0	124.5700	204.7480	260.2523	185.5175	202.7879	173.8056	161.1599	223.8568	227.7967	225.3950	
1.0	10.0	6.0	90.7600	133.2478	99.7105	187.2883	137.0223	146.1656	123.1937	109.3601	92.7163	164.2513	
1.0	20.0	6.0	134.4400	148.0921	123.0263	189.0712	137.0223	146.1656	137.2468	137.9843	92.7163	164.2513	
1.0	30.0	6.0	174.1600	166.6936	363.4309	190.0562	234.1171	166.8806	151.2999	166.6085	227.7967	164.2513	
1.0	40.0	6.0	247.1600	182.1682	206.0744	190.6098	202.7879	166.8806	165.3530	195.2326	227.7967	164.2513	
1.0	50.0	6.0	296.7600	189.8792	187.8638	190.9281	202.7879	166.8806	179.4061	223.8568	227.7967	164.2513	
2.0	10.0	6.0	67.8700	113.4185	102.1786	181.2036	137.0223	146.1656	112.6368	109.3601	92.7163	164.2513	
2.0	20.0	6.0	88.4400	132.7581	118.2404	184.9557	137.0223	146.1656	126.6899	137.9843	92.7163	164.2513	
2.0	30.0	6.0	113.0500	157.1585	495.5895	187.2679	234.1171	166.8806	140.7430	166.6085	227.7967	164.2513	
2.0	40.0	6.0	205.1200	177.4679	251.8280	188.6526	202.7879	166.8806	154.7961	195.2326	227.7967	164.2513	
2.0	50.0	6.0	169.2200	187.7539	190.9179	189.4791	202.7879	166.8806	168.8492	223.8568	227.7967	164.2513	
4.0	10.0	6.0	93.8700	105.8337	102.9584	159.0875	122.9451	129.9408	91.5232	109.3601	92.7163	75.8517	
4.0	20.0	6.0	206.5600	132.3094	106.6172	163.3119	119.5775	129.9408	105.5763	137.9843	92.7163	75.8517	
4.0	30.0	6.0	220.8300	163.9704	377.6226	167.7960	234.1171	161.9252	119.6293	166.6085	227.7967	225.3950	
4.0	40.0	6.0	221.3000	189.0182	573.1513	171.8980	202.7879	161.9252	133.6824	195.2326	227.7967	225.3950	
4.0	50.0	6.0	173.5000	200.2808	237.6025	175.2218	202.7879	161.9252	147.7355	223.8568	227.7967	225.3950	
1.0	10.0	7.0	80.2900	130.4992	98.0283	180.6371	127.6869	146.1656	109.7693	109.3601	92.7163	164.2513	
1.0	20.0	7.0	122.0600	143.6736	126.4490	184.5425	127.6869	146.1656	123.8224	137.9843	92.7163	164.2513	
1.0	30.0	7.0	152.8100	160.4107	322.2629	186.9752	224.7817	166.8806	137.8755	166.6085	227.7967	164.2513	
1.0	40.0	7.0	193.4800	174.3137	199.7357	188.4418	193.4525	166.8806	151.9286	195.2326	227.7967	164.2513	
1.0	50.0	7.0	799.6200	181.2717	187.4700	189.3206	193.4525	166.8806	165.9817	223.8568	227.7967	164.2513	
2.0	10.0	7.0	64.4800	112.4204	101.7484	170.7404	127.6869	146.1656	99.2125	109.3601	92.7163	164.2513	
2.0	20.0	7.0	88.3300	130.6304	123.1114	176.3122	127.6869	146.1656	113.2655	137.9843	92.7163	164.2513	
2.0	30.0	7.0	112.3300	153.2543	466.0360	180.5958	224.7817	166.8806	127.3186	166.6085	227.7967	164.2513	
2.0	40.0	7.0	129.3400	171.5177	231.6068	183.5715	193.4525	166.8806	141.3717	195.2326	227.7967	164.2513	
2.0	50.0	7.0	151.7200	180.1793	189.5133	185.5237	193.4525	166.8806	155.4248	223.8568	227.7967	164.2513	
4.0	10.0	7.0	52.9000	108.8596	102.9359	154.0270	113.6097	129.9408	78.0988	109.3601	92.7163	75.8517	
4.0	20.0	7.0	63.4200	135.9074	108.0854	156.0405	110.2421	129.9408	92.1519	137.9843	92.7163	75.8517	
4.0	30.0	7.0	76.1400	166.7673	433.3701	158.6012	224.7817	161.9252	106.2049	166.6085	227.7967	225.3950	
4.0	40.0	7.0	96.0200	189.5986	508.1688	161.4482	193.4525	161.9252	120.2580	195.2326	227.7967	225.3950	
4.0	50.0	7.0	126.5500	197.9951	221.5259	164.2239	193.4525	161.9252	134.3111	223.8568	227.7967	225.3950	
1.0	10.0	8.0	74.5100	129.7413	95.5040	172.2038	127.6869	141.4640	96.3449	109.3601	92.7163	164.2513	
1.0	20.0	8.0	107.5200	141.2274	129.3155	177.6639	127.6869	141.4640	110.3980	137.9843	92.7163	164.2513	
1.0	30.0	8.0	142.7300	155.9259	286.6396	181.7211	224.7817	162.1791	124.4511	166.6085	227.7967	164.2513	
1.0	40.0	8.0	178.7000	168.0189	195.4391	184.4707	193.4525	162.1791	138.5042	195.2326	227.7967	164.2513	
1.0	50.0	8.0	276.4800	173.9900	187.2070	186.2449	193.4525	162.1791	152.5573	223.8568	227.7967	164.2513	
2.0	10.0	8.0	56.4400	114.3144	101.0950	162.2570	127.6869	141.4640	85.7881	109.3601	92.7163	164.2513	
2.0	20.0	8.0	73.5000	131.3901	129.0588	167.3006	127.6869	141.4640	99.8411	137.9843	92.7163	164.2513	
2.0	30.0	8.0	92.7600	152.0269	424.9565	172.1519	224.7817	162.1791	113.8942	166.6085	227.7967	164.2513	
2.0	40.0	8.0	114.5700	167.9486	217.3336	176.1965	193.4525	162.1791	127.9473	195.2326	227.7967	164.2513	
