# Created: Thu Jul 31 11:24:20 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.20
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.20.csv
#	metrics-output:	results/terasort/metrics-0.20.csv
#
# Points picked
# 	(2.0, 30.0, 6.0)
# 	(2.0, 50.0, 7.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 20.0, 9.0)
# 	(2.0, 40.0, 8.0)
# 	(2.0, 30.0, 3.0)
# 	(2.0, 30.0, 5.0)
# 	(2.0, 30.0, 10.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 50.0, 10.0)
# 	(4.0, 20.0, 5.0)
# 	(1.0, 20.0, 3.0)
# 	(4.0, 30.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(1.0, 10.0, 5.0)
# 	(2.0, 50.0, 8.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 30.0, 9.0)
# 	(4.0, 30.0, 10.0)
# 	(4.0, 40.0, 9.0)
# 	(4.0, 10.0, 6.0)
# 	(2.0, 30.0, 2.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	207.7552	137.5680	238.4668	203.3359	230.4853	209.7837	252.7906	272.4011	142.6661	
1.0	20.0	2.0	378.2800	249.2736	195.0547	238.4401	203.3359	230.4853	234.3009	252.7906	272.4011	196.7554	
1.0	30.0	2.0	539.7700	295.6461	328.7134	238.4022	234.5201	230.4853	258.8181	252.7906	272.4011	293.6000	
1.0	40.0	2.0	646.0500	333.6116	243.0042	238.3500	269.9787	230.4853	283.3353	252.7906	272.4011	293.6000	
1.0	50.0	2.0	644.2200	352.4002	120.0134	238.2791	269.9787	230.4853	307.8526	252.7906	272.4011	293.6000	
2.0	10.0	2.0	122.2600	187.2214	177.8685	237.3303	192.2510	230.4853	172.4203	222.1024	192.6867	387.4475	
2.0	20.0	2.0	193.7800	219.1850	294.7461	237.2086	192.2510	230.4853	196.9375	222.1024	192.6867	387.4475	
2.0	30.0	2.0	256.8900	254.9076	223.5955	237.0368	225.8402	230.4853	221.4547	222.1024	192.6867	387.4475	
2.0	40.0	2.0	323.5800	283.7777	116.4818	236.8016	204.2310	230.4853	245.9719	222.1024	192.6867	387.4475	
2.0	50.0	2.0	407.8700	298.1094	109.4305	236.4833	204.2310	230.4853	270.4892	222.1024	192.6867	387.4475	
4.0	10.0	2.0	72.2300	152.2143	174.2595	166.0781	168.6821	230.4853	97.6935	160.7259	170.5311	387.4475	
4.0	20.0	2.0	116.1100	158.2072	106.5510	166.0776	168.6821	230.4853	122.2107	160.7259	170.5311	387.4475	
4.0	30.0	2.0	168.4500	166.3745	107.9593	166.0770	206.1409	230.4853	146.7279	160.7259	170.5311	387.4475	
4.0	40.0	2.0	237.2300	173.4297	109.5652	166.0763	184.5316	230.4853	171.2452	160.7259	170.5311	387.4475	
4.0	50.0	2.0	362.6600	178.4325	109.9009	166.0757	184.5316	230.4853	195.7624	160.7259	170.5311	387.4475	
1.0	10.0	3.0	121.6500	196.9600	132.3887	238.2010	203.3359	249.2029	195.2009	252.7906	272.4011	142.6661	
1.0	20.0	3.0	219.5600	239.4137	170.5704	238.1518	203.3359	249.2029	219.7182	252.7906	272.4011	196.7554	
1.0	30.0	3.0	290.4400	288.9718	296.2418	238.0821	234.5201	249.2029	244.2354	252.7906	272.4011	293.6000	
1.0	40.0	3.0	379.0900	331.6340	314.6046	237.9863	269.9787	249.2029	268.7526	252.7906	272.4011	293.6000	
1.0	50.0	3.0	485.7900	355.1740	138.5505	237.8561	269.9787	249.2029	293.2698	252.7906	272.4011	293.6000	
2.0	10.0	3.0	112.3200	174.6305	158.8565	236.1359	192.2510	249.2029	157.8376	222.1024	192.6867	387.4475	
2.0	20.0	3.0	651.8600	206.2231	264.0295	235.9178	192.2510	249.2029	182.3548	222.1024	192.6867	387.4475	
2.0	30.0	3.0	520.8800	243.4494	289.5872	235.6114	225.8402	249.2029	206.8720	222.1024	192.6867	387.4475	
2.0	40.0	3.0	234.0400	275.3836	132.2648	235.1935	204.2310	249.2029	231.3892	222.1024	192.6867	387.4475	
2.0	50.0	3.0	282.4400	293.4453	109.9075	234.6317	204.2310	249.2029	255.9064	222.1024	192.6867	387.4475	
4.0	10.0	3.0	66.5100	146.7391	227.7971	166.0751	168.6821	249.2029	83.1108	160.7259	170.5311	387.4475	
4.0	20.0	3.0	86.0800	151.9808	115.3265	166.0749	168.6821	249.2029	107.6280	160.7259	170.5311	387.4475	
4.0	30.0	3.0	116.7500	159.3345	107.3840	166.0745	206.1409	249.2029	132.1452	160.7259	170.5311	387.4475	
4.0	40.0	3.0	157.9000	165.6975	109.3420	166.0742	184.5316	249.2029	156.6624	160.7259	170.5311	387.4475	
4.0	50.0	3.0	182.7200	170.4910	109.8580	166.0738	184.5316	249.2029	181.1796	160.7259	170.5311	387.4475	
1.0	10.0	4.0	105.3100	185.1285	129.1942	237.8519	203.3359	215.8997	180.6182	252.7906	272.4011	142.6661	
1.0	20.0	4.0	172.0700	227.1683	153.6184	237.7733	203.3359	215.8997	205.1354	252.7906	272.4011	196.7554	
1.0	30.0	4.0	234.2300	278.6150	255.0148	237.6623	234.5201	215.8997	229.6526	252.7906	272.4011	293.6000	
1.0	40.0	4.0	308.7800	325.1151	357.0149	237.5100	269.9787	215.8997	254.1698	252.7906	272.4011	293.6000	
1.0	50.0	4.0	374.3800	353.2218	178.6986	237.3032	269.9787	215.8997	278.6870	252.7906	272.4011	293.6000	
2.0	10.0	4.0	72.5000	162.2390	145.9933	234.6136	192.2510	189.7131	143.2548	222.1024	192.6867	156.7188	
2.0	20.0	4.0	109.4900	192.3928	227.5697	234.2781	192.2510	189.7131	167.7720	222.1024	192.6867	156.7188	
2.0	30.0	4.0	147.8300	230.0043	327.7033	233.8086	225.8402	189.7131	192.2892	222.1024	192.6867	156.7188	
2.0	40.0	4.0	182.4400	264.1755	168.0010	233.1722	204.2310	189.7131	216.8064	222.1024	192.6867	156.7188	
2.0	50.0	4.0	226.1300	285.6559	111.9056	232.3234	204.2310	189.7131	241.3236	222.1024	192.6867	156.7188	
4.0	10.0	4.0	54.7500	144.7883	259.4849	166.0738	168.6821	189.7131	68.5280	160.7259	170.5311	156.7188	
4.0	20.0	4.0	75.8700	149.2702	140.1619	166.0737	168.6821	189.7131	93.0452	160.7259	170.5311	156.7188	
4.0	30.0	4.0	99.5400	155.4272	107.5325	166.0735	206.1409	189.7131	117.5624	160.7259	170.5311	156.7188	
4.0	40.0	4.0	135.6200	160.4710	109.0384	166.0733	184.5316	189.7131	142.0796	160.7259	170.5311	156.7188	
4.0	50.0	4.0	147.7500	164.3609	109.7907	166.0730	184.5316	189.7131	166.5969	160.7259	170.5311	156.7188	
1.0	10.0	5.0	168.1100	173.1716	127.2440	237.4884	203.3359	215.8997	166.0354	252.7906	272.4011	142.6661	
1.0	20.0	5.0	264.1000	213.4645	142.4983	237.3797	203.3359	215.8997	190.5526	252.7906	272.4011	196.7554	
1.0	30.0	5.0	199.1300	265.3313	216.5103	237.2263	234.5201	215.8997	215.0699	252.7906	272.4011	293.6000	
1.0	40.0	5.0	256.9800	314.4854	357.8383	237.0160	269.9787	215.8997	239.5871	252.7906	272.4011	293.6000	
1.0	50.0	5.0	306.4200	346.5988	246.2226	236.7312	269.9787	215.8997	264.1043	252.7906	272.4011	293.6000	
2.0	10.0	5.0	72.5300	151.1957	137.6831	233.0830	192.2510	189.7131	128.6720	222.1024	192.6867	156.7188	
2.0	20.0	5.0	101.6800	178.9696	195.3632	232.6354	192.2510	189.7131	153.1893	222.1024	192.6867	156.7188	
2.0	30.0	5.0	128.9900	215.7995	325.3938	232.0115	225.8402	189.7131	177.7065	222.1024	192.6867	156.7188	
2.0	40.0	5.0	158.8800	251.1578	229.9656	231.1709	204.2310	189.7131	202.2237	222.1024	192.6867	156.7188	
2.0	50.0	5.0	191.0900	275.4182	118.0319	230.0586	204.2310	189.7131	226.7409	222.1024	192.6867	156.7188	
4.0	10.0	5.0	51.2800	147.0645	256.8953	166.0732	168.6821	189.7131	53.9452	160.7259	170.5311	156.7188	
4.0	20.0	5.0	71.6400	150.9180	188.3463	166.0731	168.6821	189.7131	78.4625	160.7259	170.5311	156.7188	
4.0	30.0	5.0	101.8800	155.5922	110.3813	166.0730	206.1409	189.7131	102.9797	160.7259	170.5311	156.7188	
4.0	40.0	5.0	100.7400	158.7162	108.7014	166.0728	184.5316	189.7131	127.4969	160.7259	170.5311	156.7188	
4.0	50.0	5.0	124.5700	160.9482	109.6888	166.0727	184.5316	189.7131	152.0141	160.7259	170.5311	156.7188	
1.0	10.0	6.0	90.7600	162.0821	126.0608	237.2174	203.3359	215.8997	151.4527	252.7906	272.4011	142.6661	
1.0	20.0	6.0	134.4400	199.4329	135.4462	237.0864	203.3359	215.8997	175.9699	252.7906	272.4011	196.7554	
1.0	30.0	6.0	174.1600	250.2019	185.8993	236.9017	234.5201	215.8997	200.4871	252.7906	272.4011	293.6000	
1.0	40.0	6.0	247.1600	300.5863	328.5528	236.6488	269.9787	215.8997	225.0043	252.7906	272.4011	293.6000	
1.0	50.0	6.0	296.7600	335.7968	323.2299	236.3068	269.9787	215.8997	249.5215	252.7906	272.4011	293.6000	
2.0	10.0	6.0	67.8700	142.5620	132.4637	231.9758	192.2510	189.7131	114.0893	222.1024	192.6867	156.7188	
2.0	20.0	6.0	88.4400	167.2302	170.8756	231.4507	192.2510	189.7131	138.6065	222.1024	192.6867	156.7188	
2.0	30.0	6.0	113.0500	202.1681	295.3489	230.7212	225.8402	189.7131	163.1237	222.1024	192.6867	156.7188	
2.0	40.0	6.0	205.1200	237.5319	301.9287	229.7423	204.2310	189.7131	187.6409	222.1024	192.6867	156.7188	
