# Created: Thu Jul 31 11:24:23 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.25
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.25.csv
#	metrics-output:	results/terasort/metrics-0.25.csv
#
# Points picked
# 	(1.0, 10.0, 8.0)
# 	(2.0, 10.0, 8.0)
# 	(4.0, 10.0, 8.0)
# 	(1.0, 10.0, 5.0)
# 	(4.0, 10.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 40.0, 2.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 20.0, 8.0)
# 	(1.0, 40.0, 9.0)
# 	(1.0, 30.0, 7.0)
# 	(2.0, 20.0, 2.0)
# 	(2.0, 40.0, 9.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 30.0, 10.0)
# 	(4.0, 20.0, 7.0)
# 	(4.0, 30.0, 3.0)
# 	(2.0, 50.0, 6.0)
# 	(1.0, 40.0, 3.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 10.0, 10.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 10.0, 4.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 20.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(2.0, 30.0, 4.0)
# 	(4.0, 30.0, 4.0)
# 	(4.0, 30.0, 6.0)
# 	(4.0, 20.0, 10.0)
# 	(2.0, 50.0, 5.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	185.9057	166.6759	172.8801	193.2495	191.2994	160.5394	250.7708	297.8350	292.4618	
1.0	20.0	2.0	378.2800	235.3446	216.8979	171.3508	193.2495	191.2994	178.0183	250.7708	297.8350	292.4618	
1.0	30.0	2.0	539.7700	291.3127	305.7435	171.4423	209.2009	191.2994	195.4972	250.7708	297.8350	292.4618	
1.0	40.0	2.0	646.0500	338.3871	442.8640	173.0323	226.6643	219.5404	212.9760	250.7708	297.8350	292.4618	
1.0	50.0	2.0	644.2200	361.8236	612.8106	174.3072	226.6643	219.5404	230.4549	250.7708	297.8350	292.4618	
2.0	10.0	2.0	122.2600	152.6214	141.0572	167.4130	156.6221	179.1335	142.2448	250.7708	297.8350	292.4618	
2.0	20.0	2.0	193.7800	194.4617	174.3131	162.3687	161.0628	179.1335	159.7236	250.7708	297.8350	292.4618	
2.0	30.0	2.0	256.8900	244.9817	235.3579	162.6523	161.0628	179.1335	177.2025	250.7708	297.8350	292.4618	
2.0	40.0	2.0	323.5800	290.0282	339.3993	167.9534	182.1517	207.3745	194.6814	250.7708	297.8350	292.4618	
2.0	50.0	2.0	407.8700	315.5586	490.3853	172.7933	182.1517	207.3745	212.1602	250.7708	297.8350	292.4618	
4.0	10.0	2.0	72.2300	116.6281	101.5800	109.6562	154.9223	171.4092	105.6554	250.7708	297.8350	292.4618	
4.0	20.0	2.0	116.1100	133.4224	117.9211	109.6557	159.3630	171.4092	123.1343	250.7708	297.8350	292.4618	
4.0	30.0	2.0	168.4500	157.5982	145.7279	109.6557	159.3630	171.4092	140.6132	250.7708	297.8350	292.4618	
