# Created: Thu Jul 31 11:24:27 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.30
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.30.csv
#	metrics-output:	results/terasort/metrics-0.30.csv
#
# Points picked
# 	(4.0, 10.0, 4.0)
# 	(1.0, 40.0, 10.0)
# 	(1.0, 40.0, 7.0)
# 	(2.0, 50.0, 3.0)
# 	(1.0, 30.0, 10.0)
# 	(1.0, 10.0, 5.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 40.0, 3.0)
# 	(2.0, 10.0, 8.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 20.0, 8.0)
# 	(4.0, 50.0, 6.0)
# 	(4.0, 30.0, 2.0)
# 	(2.0, 30.0, 2.0)
# 	(1.0, 40.0, 5.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 10.0, 10.0)
# 	(1.0, 20.0, 7.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 40.0, 4.0)
# 	(4.0, 30.0, 9.0)
# 	(4.0, 20.0, 2.0)
# 	(4.0, 30.0, 8.0)
# 	(2.0, 10.0, 3.0)
# 	(2.0, 10.0, 7.0)
# 	(4.0, 10.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(4.0, 50.0, 9.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 40.0, 6.0)
# 	(1.0, 20.0, 2.0)
# 	(4.0, 50.0, 10.0)
# 	(1.0, 10.0, 3.0)
# 	(1.0, 10.0, 7.0)
# 	(1.0, 10.0, 9.0)
# 	(2.0, 20.0, 6.0)
# 	(1.0, 50.0, 5.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 20.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	195.4137	262.9689	218.9042	177.8172	208.1174	164.6838	87.2622	85.5660	196.3544	
1.0	20.0	2.0	378.2800	241.5126	378.2078	218.7394	204.0372	208.1174	204.2473	135.0554	164.4669	196.3544	
1.0	30.0	2.0	539.7700	294.9666	489.4503	218.6652	212.8976	226.3271	243.8109	182.8486	164.4669	196.3544	
1.0	40.0	2.0	646.0500	342.1504	596.5349	218.7046	223.3374	255.1836	283.3744	230.6418	206.5578	211.9751	
1.0	50.0	2.0	644.2200	369.5165	697.4918	218.8453	259.8878	293.8110	322.9379	278.4350	301.6750	510.2750	
2.0	10.0	2.0	122.2600	154.9505	123.3767	214.5703	154.3890	168.2424	134.8896	87.2622	85.5660	196.3544	
2.0	20.0	2.0	193.7800	194.4085	197.0673	213.5941	188.2756	168.2424	174.4532	135.0554	164.4669	196.3544	
2.0	30.0	2.0	256.8900	243.5253	260.1175	213.1617	197.1361	186.4521	214.0167	182.8486	164.4669	196.3544	
2.0	40.0	2.0	323.5800	289.5476	317.7512	213.3911	207.5758	223.3908	253.5802	230.6418	206.5578	254.0138	
2.0	50.0	2.0	407.8700	319.5562	379.0725	214.2192	223.3722	262.0182	293.1437	278.4350	301.6750	254.0138	
4.0	10.0	2.0	72.2300	109.7273	51.6067	132.7980	149.3797	168.2424	75.3012	87.2622	85.5660	196.3544	
4.0	20.0	2.0	116.1100	127.5033	116.8334	132.7979	175.4045	168.2424	114.8648	135.0554	164.4669	196.3544	
4.0	30.0	2.0	168.4500	153.7781	167.8617	132.7979	184.2649	186.4521	154.4283	182.8486	164.4669	196.3544	
4.0	40.0	2.0	237.2300	181.0838	200.3255	132.7979	207.5758	223.3908	193.9918	230.6418	206.5578	254.0138	
4.0	50.0	2.0	362.6600	202.2379	219.1720	132.7980	223.3722	239.8174	233.5554	278.4350	301.6750	254.0138	
