# Created: Thu Jul 31 11:24:30 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.35
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.35.csv
#	metrics-output:	results/terasort/metrics-0.35.csv
#
# Points picked
# 	(4.0, 10.0, 7.0)
# 	(4.0, 50.0, 6.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 20.0, 7.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 10.0, 4.0)
# 	(4.0, 20.0, 3.0)
# 	(2.0, 20.0, 4.0)
# 	(1.0, 40.0, 6.0)
# 	(1.0, 40.0, 7.0)
# 	(4.0, 40.0, 8.0)
# 	(4.0, 10.0, 2.0)
# 	(2.0, 40.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 30.0, 4.0)
# 	(2.0, 50.0, 10.0)
# 	(2.0, 40.0, 3.0)
# 	(2.0, 10.0, 10.0)
# 	(4.0, 30.0, 10.0)
# 	(4.0, 30.0, 4.0)
# 	(1.0, 50.0, 9.0)
# 	(4.0, 30.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 40.0, 5.0)
# 	(2.0, 40.0, 7.0)
# 	(2.0, 10.0, 7.0)
# 	(1.0, 20.0, 10.0)
# 	(2.0, 10.0, 9.0)
# 	(1.0, 20.0, 9.0)
# 	(4.0, 20.0, 2.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 30.0, 6.0)
# 	(2.0, 20.0, 5.0)
# 	(2.0, 50.0, 2.0)
# 	(1.0, 40.0, 2.0)
# 	(2.0, 20.0, 9.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 40.0, 6.0)
# 	(1.0, 20.0, 6.0)
# 	(2.0, 30.0, 9.0)
# 	(1.0, 10.0, 7.0)
# 	(4.0, 40.0, 3.0)
# 	(2.0, 10.0, 8.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 40.0, 10.0)
# 	(4.0, 50.0, 3.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	168.3566	94.0935	175.8946	173.6933	123.0936	146.7537	75.4457	68.7489	136.3383	
1.0	20.0	2.0	378.2800	223.4570	135.9625	175.7015	189.6168	133.9109	181.0548	119.5431	102.9822	136.3383	
1.0	30.0	2.0	539.7700	285.5734	215.8453	175.5950	289.6431	184.5415	215.3558	163.6405	205.3783	136.3383	
1.0	40.0	2.0	646.0500	335.6097	268.9934	175.6026	298.2868	230.1180	249.6568	207.7380	222.1515	526.9600	
1.0	50.0	2.0	644.2200	358.0413	284.4765	175.7225	298.2868	240.4661	283.9578	251.8354	228.9870	526.9600	
2.0	10.0	2.0	122.2600	125.5688	56.5176	173.9954	168.0918	115.1479	118.6873	75.4457	68.7489	112.7867	
2.0	20.0	2.0	193.7800	173.0040	155.8516	173.4778	184.2285	125.9652	152.9883	119.5431	102.9822	112.7867	
2.0	30.0	2.0	256.8900	230.6462	230.0006	173.2025	262.5386	175.8091	187.2893	163.6405	205.3783	112.7867	
2.0	40.0	2.0	323.5800	280.6273	259.8778	173.2222	271.1822	230.1180	221.5903	207.7380	222.1515	526.9600	
2.0	50.0	2.0	407.8700	307.7769	272.4196	173.5330	271.1822	240.4661	255.8913	251.8354	228.9870	526.9600	
4.0	10.0	2.0	72.2300	86.4109	36.2177	158.9816	127.2888	115.1479	62.5543	75.4457	68.7489	112.7867	
4.0	20.0	2.0	116.1100	106.8049	59.2704	158.9816	142.7665	125.9652	96.8553	119.5431	102.9822	112.7867	
4.0	30.0	2.0	168.4500	136.0756	66.5315	158.9815	235.0739	174.3352	131.1564	163.6405	205.3783	112.7867	
4.0	40.0	2.0	237.2300	164.6415	71.6434	158.9815	230.3792	219.0763	165.4574	207.7380	222.1515	526.9600	
4.0	50.0	2.0	362.6600	184.5335	78.3660	158.9816	230.3792	229.9793	199.7584	251.8354	228.9870	526.9600	
1.0	10.0	3.0	121.6500	148.8655	95.2072	176.0822	111.9460	123.0936	137.1719	75.4457	68.7489	136.3383	
1.0	20.0	3.0	219.5600	201.5899	125.6007	175.9269	127.8694	133.9109	171.4729	119.5431	102.9822	136.3383	
