# Created: Thu Jul 31 11:24:33 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.40
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.40.csv
#	metrics-output:	results/terasort/metrics-0.40.csv
#
# Points picked
# 	(2.0, 10.0, 8.0)
# 	(4.0, 30.0, 7.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 30.0, 3.0)
# 	(1.0, 40.0, 5.0)
# 	(4.0, 40.0, 8.0)
# 	(2.0, 20.0, 10.0)
# 	(4.0, 10.0, 6.0)
# 	(4.0, 40.0, 4.0)
# 	(4.0, 40.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 20.0, 9.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 20.0, 6.0)
# 	(2.0, 10.0, 7.0)
# 	(2.0, 30.0, 8.0)
# 	(1.0, 10.0, 5.0)
# 	(2.0, 10.0, 4.0)
# 	(2.0, 40.0, 9.0)
# 	(1.0, 30.0, 4.0)
# 	(4.0, 40.0, 9.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 40.0, 4.0)
# 	(2.0, 10.0, 2.0)
# 	(4.0, 10.0, 7.0)
# 	(1.0, 10.0, 9.0)
# 	(2.0, 30.0, 6.0)
# 	(2.0, 30.0, 2.0)
# 	(2.0, 40.0, 4.0)
# 	(1.0, 30.0, 3.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 2.0)
# 	(2.0, 30.0, 5.0)
# 	(2.0, 30.0, 4.0)
# 	(4.0, 10.0, 4.0)
# 	(4.0, 10.0, 10.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 20.0, 8.0)
# 	(1.0, 20.0, 2.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 40.0, 10.0)
# 	(2.0, 40.0, 5.0)
# 	(1.0, 20.0, 7.0)
# 	(1.0, 30.0, 2.0)
# 	(2.0, 30.0, 9.0)
# 	(4.0, 40.0, 2.0)
# 	(1.0, 20.0, 5.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 40.0, 10.0)
# 	(1.0, 30.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	247.0702	243.1264	198.0341	219.0877	256.9221	214.5177	264.0597	333.3322	252.1561	
1.0	20.0	2.0	378.2800	295.5418	421.5089	198.0495	279.2091	285.4320	246.7961	264.0597	333.3322	252.1561	
1.0	30.0	2.0	539.7700	335.2100	505.2339	198.0182	307.2421	285.4320	279.0745	264.0597	333.3322	416.5674	
1.0	40.0	2.0	646.0500	354.7643	527.7207	197.9255	307.2421	285.4320	311.3529	264.0597	333.3322	416.5674	
1.0	50.0	2.0	644.2200	350.3774	528.2907	197.7230	307.2421	309.1547	343.6313	264.0597	333.3322	416.5674	
2.0	10.0	2.0	122.2600	193.0023	125.7068	197.1389	191.4601	249.2795	178.6528	264.0597	333.3322	252.1561	
2.0	20.0	2.0	193.7800	236.0095	292.0641	197.1954	236.1153	275.7243	210.9312	264.0597	333.3322	252.1561	
2.0	30.0	2.0	256.8900	275.6311	363.8930	197.0810	244.2986	275.7243	243.2096	264.0597	333.3322	416.5674	
2.0	40.0	2.0	323.5800	300.5925	382.5683	196.7445	244.2986	269.4466	275.4880	264.0597	333.3322	416.5674	
2.0	50.0	2.0	407.8700	305.6984	383.2657	196.0232	249.8428	300.5865	307.7664	264.0597	333.3322	416.5674	
4.0	10.0	2.0	72.2300	126.2518	48.2746	154.3995	191.4601	249.2795	106.9229	264.0597	333.3322	202.7113	
4.0	20.0	2.0	116.1100	149.6914	190.3842	154.3997	236.1153	275.7243	139.2013	264.0597	333.3322	202.7113	
4.0	30.0	2.0	168.4500	178.8358	245.8711	154.3993	244.2986	275.7243	171.4797	264.0597	333.3322	202.7113	
4.0	40.0	2.0	237.2300	205.6083	262.1232	154.3986	244.2986	269.4466	203.7581	264.0597	333.3322	202.7113	
4.0	50.0	2.0	362.6600	223.5395	265.9883	154.3978	249.8428	300.5865	236.0365	264.0597	333.3322	202.7113	
1.0	10.0	3.0	121.6500	222.9906	182.7918	197.9686	219.0877	254.6375	196.3694	244.7724	333.3322	252.1561	
1.0	20.0	3.0	219.5600	268.5958	349.9892	197.9871	279.2091	283.1474	228.6478	244.7724	333.3322	252.1561	
1.0	30.0	3.0	290.4400	308.4813	422.3870	197.9496	307.2421	283.1474	260.9262	244.7724	333.3322	416.5674	
1.0	40.0	3.0	379.0900	331.4026	440.4846	197.8386	307.2421	288.0551	293.2047	244.7724	333.3322	416.5674	
