# Created: Thu Jul 31 11:24:37 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.45
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.45.csv
#	metrics-output:	results/terasort/metrics-0.45.csv
#
# Points picked
# 	(2.0, 40.0, 7.0)
# 	(4.0, 20.0, 3.0)
# 	(4.0, 40.0, 10.0)
# 	(2.0, 40.0, 6.0)
# 	(1.0, 40.0, 2.0)
# 	(4.0, 20.0, 7.0)
# 	(4.0, 20.0, 4.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 10.0, 9.0)
# 	(2.0, 10.0, 2.0)
# 	(2.0, 30.0, 5.0)
# 	(1.0, 40.0, 6.0)
# 	(2.0, 30.0, 7.0)
# 	(2.0, 10.0, 4.0)
# 	(1.0, 30.0, 4.0)
# 	(1.0, 10.0, 5.0)
# 	(1.0, 30.0, 6.0)
# 	(1.0, 40.0, 10.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 30.0, 3.0)
# 	(1.0, 10.0, 10.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 20.0, 6.0)
# 	(4.0, 30.0, 7.0)
# 	(1.0, 40.0, 8.0)
# 	(2.0, 10.0, 3.0)
# 	(2.0, 50.0, 5.0)
# 	(1.0, 20.0, 3.0)
# 	(4.0, 40.0, 2.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 40.0, 3.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 10.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 20.0, 7.0)
# 	(1.0, 20.0, 6.0)
# 	(1.0, 30.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 30.0, 2.0)
# 	(4.0, 40.0, 6.0)
# 	(2.0, 10.0, 6.0)
# 	(2.0, 50.0, 2.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 50.0, 3.0)
# 	(2.0, 20.0, 2.0)
# 	(2.0, 30.0, 9.0)
# 	(2.0, 20.0, 5.0)
# 	(1.0, 10.0, 3.0)
# 	(4.0, 10.0, 4.0)
# 	(1.0, 10.0, 7.0)
# 	(4.0, 20.0, 10.0)
# 	(2.0, 30.0, 10.0)
# 	(1.0, 30.0, 9.0)
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 8.0)
# 	(1.0, 10.0, 6.0)
# 	(1.0, 20.0, 10.0)
# 	(1.0, 40.0, 9.0)
x2	x3	x1	objective	GaussianCurves	MLPerceptron	RBF	RandomSubSpaces	BagClassify	LeastSquares	LinearRegression	IsoRegression	Discretization	
1.0	10.0	2.0	197.7700	200.3402	157.6477	207.4402	211.0409	261.0328	154.9008	87.3459	92.4217	272.5213	
1.0	20.0	2.0	378.2800	277.3693	290.4494	207.1791	228.5878	279.5218	189.6968	138.1223	122.6375	272.5213	
1.0	30.0	2.0	539.7700	359.7756	455.3988	206.9138	326.9769	391.7873	224.4928	188.8988	201.1854	272.5213	
1.0	40.0	2.0	646.0500	422.2996	550.6258	206.7209	363.1765	422.8516	259.2887	239.6752	239.1627	439.9600	
1.0	50.0	2.0	644.2200	446.3618	580.3361	206.6663	401.4445	472.9692	294.0847	290.4517	288.0200	470.7275	
2.0	10.0	2.0	122.2600	157.2806	98.3847	205.3783	155.5063	175.3051	126.9614	87.3459	92.4217	143.0192	
2.0	20.0	2.0	193.7800	222.7931	141.7219	204.0241	175.9937	198.5981	161.7574	138.1223	122.6375	143.0192	
2.0	30.0	2.0	256.8900	295.2665	178.5212	202.6976	244.6374	323.8004	196.5533	188.8988	201.1854	143.0192	
2.0	40.0	2.0	323.5800	351.7990	265.9787	201.7626	253.0627	354.8647	231.3493	239.6752	239.1627	212.0862	
2.0	50.0	2.0	407.8700	375.8890	421.7018	201.5024	253.0627	359.5570	266.1452	290.4517	288.0200	228.3566	
4.0	10.0	2.0	72.2300	109.6093	53.7793	144.0620	155.5063	175.3051	71.0825	87.3459	92.4217	143.0192	
4.0	20.0	2.0	116.1100	134.6490	118.4041	144.0611	175.9937	179.5170	105.8785	138.1223	122.6375	143.0192	
4.0	30.0	2.0	168.4500	166.9563	140.7843	144.0608	237.1508	278.8455	140.6744	188.8988	201.1854	143.0192	
4.0	40.0	2.0	237.2300	195.2818	147.4847	144.0606	254.2222	328.9909	175.4704	239.6752	239.1627	212.0862	
4.0	50.0	2.0	362.6600	211.5977	149.9743	144.0605	249.1062	333.6832	210.2664	290.4517	288.0200	146.6072	
1.0	10.0	3.0	121.6500	174.8454	132.3572	207.4619	176.8370	215.9468	143.7978	87.3459	92.4217	272.5213	
1.0	20.0	3.0	219.5600	248.1121	235.0989	207.2129	194.3839	243.4880	178.5937	138.1223	122.6375	272.5213	
1.0	30.0	3.0	290.4400	330.7063	393.4486	206.9599	292.7730	340.3265	213.3897	188.8988	201.1854	272.5213	
1.0	40.0	3.0	379.0900	397.6223	523.3294	206.7759	328.9726	371.7341	248.1856	239.6752	239.1627	439.9600	
1.0	50.0	3.0	485.7900	428.8888	572.9144	206.7238	367.2406	481.2012	282.9816	290.4517	288.0200	470.7275	
2.0	10.0	3.0	112.3200	130.9420	90.4482	205.4933	146.5757	165.6336	115.8583	87.3459	92.4217	119.6464	
