# Created: Thu Jul 31 11:24:42 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	sampling-rate:	0.50
#	input:	performance/terasort.csv
#	output:	results/terasort/results-0.50.csv
#	metrics-output:	results/terasort/metrics-0.50.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(2.0, 50.0, 10.0)
# 	(4.0, 30.0, 5.0)
# 	(2.0, 50.0, 8.0)
# 	(1.0, 30.0, 10.0)
# 	(2.0, 50.0, 9.0)
# 	(4.0, 50.0, 8.0)
# 	(4.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(1.0, 30.0, 5.0)
# 	(1.0, 50.0, 8.0)
# 	(1.0, 50.0, 9.0)
# 	(2.0, 50.0, 6.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 4.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 20.0, 10.0)
# 	(4.0, 40.0, 10.0)
# 	(4.0, 20.0, 7.0)
# 	(4.0, 40.0, 8.0)
# 	(2.0, 20.0, 10.0)
# 	(2.0, 40.0, 10.0)
# 	(1.0, 30.0, 3.0)
# 	(1.0, 50.0, 6.0)
# 	(1.0, 50.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 30.0, 6.0)
# 	(2.0, 20.0, 7.0)
# 	(2.0, 40.0, 8.0)
# 	(1.0, 50.0, 5.0)
# 	(2.0, 30.0, 10.0)
# 	(4.0, 40.0, 9.0)
# 	(4.0, 30.0, 4.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 40.0, 9.0)
# 	(2.0, 30.0, 8.0)
# 	(2.0, 30.0, 6.0)
# 	(4.0, 30.0, 8.0)
# 	(2.0, 40.0, 6.0)
# 	(4.0, 30.0, 7.0)
# 	(4.0, 20.0, 3.0)
# 	(4.0, 40.0, 6.0)
# 	(4.0, 40.0, 4.0)
# 	(4.0, 40.0, 7.0)
# 	(4.0, 40.0, 5.0)
# 	(2.0, 30.0, 4.0)
# 	(2.0, 40.0, 4.0)
# 	(1.0, 20.0, 10.0)
# 	(1.0, 40.0, 10.0)
# 	(1.0, 30.0, 8.0)
# 	(2.0, 40.0, 7.0)
# 	(2.0, 40.0, 5.0)
# 	(1.0, 30.0, 4.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	117.4175	62.3525	109.1669	170.3950	217.5412	90.8260	262.7549	199.3101	184.6955	
1.0	20.0	2.0	378.2800	117.4175	110.4973	158.9910	199.3334	217.5412	90.8260	295.8256	199.3101	225.9645	
1.0	30.0	2.0	539.7700	261.1144	158.6421	201.3752	228.2718	217.5412	168.1306	295.8256	228.0807	285.9405	
1.0	40.0	2.0	646.0500	261.1144	206.7868	234.1685	257.2102	217.5412	168.1306	375.8985	228.0807	349.9146	
1.0	50.0	2.0	644.2200	490.1167	254.9316	257.7449	286.1486	217.5412	271.5531	417.7590	360.6388	397.6927	
2.0	10.0	2.0	122.2600	134.5991	62.3525	72.7560	138.7752	217.5412	90.8260	121.8176	116.2375	133.2269	
2.0	20.0	2.0	193.7800	134.5991	110.4973	128.5191	167.7135	217.5412	90.8260	147.0266	116.2375	160.3566	
2.0	30.0	2.0	256.8900	134.5991	158.6421	175.2420	196.6519	217.5412	168.1306	189.9553	160.1296	207.9879	
2.0	40.0	2.0	323.5800	176.9505	206.7868	211.5155	225.5903	217.5412	168.1306	250.6734	164.6156	264.5000	
2.0	50.0	2.0	407.8700	176.9505	254.9316	238.2318	254.5287	217.5412	271.5531	250.6734	199.1976	312.4008	
4.0	10.0	2.0	72.2300	134.5991	62.3525	-28.7335	75.5355	217.5412	90.8260	120.1841	114.4149	100.7968	
4.0	20.0	2.0	116.1100	134.5991	110.4973	14.9988	104.4739	217.5412	90.8260	145.3931	114.4149	111.8057	
4.0	30.0	2.0	168.4500	134.5991	158.6421	51.3378	133.4123	217.5412	168.1306	189.9553	172.4485	137.6545	
4.0	40.0	2.0	237.2300	215.5543	206.7868	80.8319	162.3507	217.5412	168.1306	246.0437	168.8293	171.3818	
4.0	50.0	2.0	362.6600	215.5543	254.9316	105.2234	191.2891	217.5412	271.5531	246.0437	203.4357	203.1952	
1.0	10.0	3.0	121.6500	117.4175	62.3525	100.0112	161.0543	217.5393	90.8260	215.8563	199.3101	169.0670	
1.0	20.0	3.0	219.5600	117.4175	110.4973	149.2682	189.9927	217.5398	90.8260	248.9270	199.3101	208.7024	
1.0	30.0	3.0	290.4400	261.1144	158.6421	193.0937	218.9311	217.5401	168.1306	248.9270	228.0807	269.0184	
1.0	40.0	3.0	379.0900	261.1144	206.7868	228.1928	247.8695	217.5403	168.1306	328.9999	228.0807	335.3044	
1.0	50.0	3.0	485.7900	490.1167	254.9316	253.9950	276.8079	217.5404	271.5531	383.2545	360.6388	386.7121	
2.0	10.0	3.0	112.3200	134.5991	62.3525	78.2199	129.4345	217.5393	90.8260	121.8176	116.2375	115.4150	
2.0	20.0	3.0	651.8600	134.5991	110.4973	133.1410	158.3729	217.5398	90.8260	147.0266	116.2375	140.2069	
2.0	30.0	3.0	520.8800	134.5991	158.6421	180.2238	187.3113	217.5401	168.1306	189.9553	160.1296	187.1921	
