# Created: Fri Aug 01 15:29:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.05
#	output:	results/terasort/values-0.05.csv
#	metrics-output:	results/terasort/metrics-0.05.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	119.0200	119.0200	197.7700	264.1783	304.5879	119.0200	268.4952	228.7917	238.6014	
1.0	20.0	2.0	378.2800	432.6533	197.4283	284.0590	342.5867	304.5879	119.0200	268.4952	228.7917	287.8021	
1.0	30.0	2.0	439.7700	432.6533	275.8367	404.2310	420.9950	304.5879	432.6533	293.9592	322.8817	349.9223	
1.0	40.0	2.0	646.0500	432.6533	354.2450	535.1190	499.4033	304.5879	432.6533	293.9592	322.8817	407.4377	
1.0	50.0	2.0	644.2200	432.6533	432.6533	644.2200	577.8117	304.5879	432.6533	293.9592	322.8817	443.1954	
2.0	10.0	2.0	122.2600	119.0200	119.0200	146.5056	196.3283	312.4234	119.0200	268.4952	228.7917	212.7025	
2.0	20.0	2.0	193.7800	432.6533	197.4283	209.4585	274.7367	312.4234	119.0200	268.4952	228.7917	260.7630	
2.0	30.0	2.0	256.8900	432.6533	275.8367	308.6203	353.1450	312.4234	432.6533	293.9592	322.8817	323.8029	
2.0	40.0	2.0	323.5800	432.6533	354.2450	436.4819	431.5533	312.4234	432.6533	293.9592	322.8817	383.8614	
2.0	50.0	2.0	407.8700	432.6533	432.6533	563.6977	509.9617	312.4234	432.6533	293.9592	322.8817	423.2183	
4.0	10.0	2.0	72.2300	119.0200	119.0200	72.2300	60.6283	319.1558	119.0200	268.4952	228.7917	179.5084	
4.0	20.0	2.0	116.1100	432.6533	197.4283	101.4647	139.0367	319.1558	119.0200	268.4952	228.7917	208.7878	
4.0	30.0	2.0	168.4500	432.6533	275.8367	154.2821	217.4450	319.1558	432.6533	293.9592	322.8817	252.2942	
4.0	40.0	2.0	237.2300	432.6533	354.2450	241.5091	295.8533	319.1558	432.6533	293.9592	322.8817	297.2639	
4.0	50.0	2.0	362.6600	432.6533	432.6533	362.6600	374.2617	319.1558	432.6533	293.9592	322.8817	330.8152	
1.0	10.0	3.0	121.6500	119.0200	119.0200	174.3459	235.1877	296.0667	119.0200	268.4952	228.7917	229.3357	
1.0	20.0	3.0	219.5600	432.6533	197.4283	247.8549	313.5960	296.0667	119.0200	268.4952	228.7917	278.1603	
1.0	30.0	3.0	290.4400	432.6533	275.8367	357.6678	392.0044	296.0667	432.6533	293.9592	322.8817	340.6476	
1.0	40.0	3.0	379.0900	432.6533	354.2450	488.7396	470.4127	296.0667	432.6533	293.9592	322.8817	399.1066	
1.0	50.0	3.0	485.7900	432.6533	432.6533	608.4937	548.8210	296.0667	432.6533	293.9592	322.8817	436.1711	
2.0	10.0	3.0	112.3200	119.0200	119.0200	129.4120	167.3377	307.2232	119.0200	268.4952	228.7917	204.8734	
2.0	20.0	3.0	170.8600	432.6533	197.4283	181.4915	245.7460	307.2232	119.0200	268.4952	228.7917	252.5349	
2.0	30.0	3.0	220.8800	432.6533	275.8367	267.7338	324.1544	307.2232	432.6533	293.9592	322.8817	315.7877	
2.0	40.0	3.0	234.0400	432.6533	354.2450	388.0385	402.5627	307.2232	432.6533	293.9592	322.8817	376.5573	
2.0	50.0	3.0	282.4400	432.6533	432.6533	519.5402	480.9710	307.2232	432.6533	293.9592	322.8817	416.9695	
4.0	10.0	3.0	66.5100	119.0200	119.0200	63.3534	31.6377	317.4089	119.0200	268.4952	228.7917	177.3808	
4.0	20.0	3.0	86.0800	432.6533	197.4283	86.9214	110.0460	317.4089	119.0200	268.4952	228.7917	206.3485	
4.0	30.0	3.0	116.7500	432.6533	275.8367	130.1132	188.4544	317.4089	432.6533	293.9592	322.8817	249.6698	
