# Created: Fri Aug 01 15:29:51 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.06
#	output:	results/terasort/values-0.06.csv
#	metrics-output:	results/terasort/metrics-0.06.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	225.0788	102.2825	198.3478	197.2525	102.2825	102.2825	226.3672	215.0635	224.9712	
1.0	20.0	2.0	378.2800	225.0788	163.6806	306.5971	247.8694	153.2804	102.2825	226.3672	215.0635	277.9341	
1.0	30.0	2.0	439.7700	225.0788	225.0787	443.4031	298.4862	225.0787	347.8750	272.6120	288.7413	341.2802	
1.0	40.0	2.0	646.0500	225.0788	286.4769	565.7441	349.1031	296.8771	347.8750	272.6120	288.7413	397.4038	
1.0	50.0	2.0	644.2200	225.0788	347.8750	645.7646	399.7200	347.8750	347.8750	272.6120	288.7413	429.2815	
2.0	10.0	2.0	122.2600	225.0788	102.2825	135.1908	185.0717	102.2825	102.2825	226.3672	215.0635	198.1656	
2.0	20.0	2.0	193.7800	225.0788	163.6806	208.2286	235.6885	153.2804	102.2825	226.3672	215.0635	249.6659	
2.0	30.0	2.0	256.8900	225.0788	225.0787	324.5604	286.3054	225.0787	347.8750	272.6120	288.7413	313.6261	
2.0	40.0	2.0	323.5800	225.0788	286.4769	462.3225	336.9223	296.8771	347.8750	272.6120	288.7413	372.0827	
2.0	50.0	2.0	407.8700	225.0788	347.8750	577.5632	387.5392	347.8750	347.8750	272.6120	288.7413	407.5158	
4.0	10.0	2.0	72.2300	225.0788	102.2825	72.2618	160.7100	102.2825	102.2825	200.3837	199.0728	150.7167	
4.0	20.0	2.0	116.1100	225.0788	163.6806	96.2282	211.3269	153.2804	102.2825	200.3837	199.0728	181.5833	
4.0	30.0	2.0	168.4500	225.0788	225.0787	145.4641	261.9437	225.0787	347.8750	246.6286	272.7505	225.0513	
4.0	40.0	2.0	237.2300	225.0788	286.4769	235.0483	312.5606	296.8771	347.8750	246.6286	272.7505	268.5210	
4.0	50.0	2.0	362.6600	225.0788	347.8750	363.9373	363.1775	347.8750	347.8750	246.6286	272.7505	299.3926	
1.0	10.0	3.0	121.6500	225.0788	102.2825	168.6000	183.6078	102.2825	102.2825	226.3672	215.0635	216.1183	
1.0	20.0	3.0	219.5600	225.0788	163.6806	259.3957	234.2247	153.2804	102.2825	226.3672	215.0635	268.6709	
1.0	30.0	3.0	290.4400	225.0788	225.0787	389.0645	284.8416	225.0787	347.8750	272.6120	288.7413	332.3068	
1.0	40.0	3.0	379.0900	225.0788	286.4769	522.3559	335.4584	296.8771	347.8750	272.6120	288.7413	389.2781	
1.0	50.0	3.0	485.7900	225.0788	347.8750	620.0231	386.0753	347.8750	347.8750	272.6120	288.7413	422.3738	
2.0	10.0	3.0	112.3200	225.0788	102.2825	117.5904	171.4270	102.2825	102.2825	226.3672	215.0635	187.9773	
2.0	20.0	3.0	170.8600	225.0788	163.6806	174.9741	222.0439	153.2804	102.2825	226.3672	215.0635	238.6661	
2.0	30.0	3.0	220.8800	225.0788	225.0787	274.6166	272.6607	225.0787	347.8750	272.6120	288.7413	302.5540	
2.0	40.0	3.0	234.0400	225.0788	286.4769	408.8390	323.2776	296.8771	347.8750	272.6120	288.7413	361.6264	
2.0	50.0	3.0	282.4400	225.0788	347.8750	537.6187	373.8945	347.8750	347.8750	272.6120	288.7413	398.2570	
4.0	10.0	3.0	66.5100	225.0788	102.2825	67.2292	147.0653	102.2825	102.2825	200.3837	199.0728	141.1790	
4.0	20.0	3.0	86.0800	225.0788	163.6806	85.0595	197.6822	153.2804	102.2825	200.3837	199.0728	170.6628	
4.0	30.0	3.0	116.7500	225.0788	225.0787	122.4500	248.2991	225.0787	347.8750	246.6286	272.7505	213.3181	
4.0	40.0	3.0	157.9000	225.0788	286.4769	194.6865	298.9159	296.8771	347.8750	246.6286	272.7505	256.7043	
4.0	50.0	3.0	182.7200	225.0788	347.8750	310.3395	349.5328	347.8750	347.8750	246.6286	272.7505	288.3222	
1.0	10.0	4.0	105.3100	225.0788	102.2825	145.3554	169.9631	102.2825	102.2825	226.3672	215.0635	205.6797	
1.0	20.0	4.0	172.0700	225.0788	163.6806	218.7968	220.5800	153.2804	102.2825	226.3672	215.0635	256.3292	
1.0	30.0	4.0	234.2300	225.0788	225.0787	335.3749	271.1969	225.0787	347.8750	272.6120	288.7413	318.6094	
1.0	40.0	4.0	308.7800	225.0788	286.4769	472.9079	321.8137	296.8771	347.8750	272.6120	288.7413	375.0764	
1.0	50.0	4.0	374.3800	225.0788	347.8750	587.4639	372.4306	347.8750	347.8750	272.6120	288.7413	408.7544	
2.0	10.0	4.0	72.5000	225.0788	102.2825	104.4220	157.7823	102.2825	102.2825	226.3672	215.0635	176.6822	
2.0	20.0	4.0	109.4900	225.0788	163.6806	148.5975	208.3992	153.2804	102.2825	226.3672	215.0635	225.0337	
2.0	30.0	4.0	147.8300	225.0788	225.0787	230.5813	259.0160	225.0787	347.8750	272.6120	288.7413	287.1222	
2.0	40.0	4.0	182.4400	225.0788	286.4769	354.4100	309.6329	296.8771	347.8750	272.6120	288.7413	345.3545	
2.0	50.0	4.0	226.1300	225.0788	347.8750	490.9724	360.2498	347.8750	347.8750	272.6120	288.7413	382.4480	
4.0	10.0	4.0	54.7500	225.0788	102.2825	63.5865	133.4206	102.2825	102.2825	200.3837	199.0728	131.9227	
4.0	20.0	4.0	75.8700	225.0788	163.6806	76.8702	184.0375	153.2804	102.2825	200.3837	199.0728	158.9485	
4.0	30.0	4.0	99.5400	225.0788	225.0787	104.9342	234.6544	225.0787	347.8750	246.6286	272.7505	199.4804	
4.0	40.0	4.0	135.6200	225.0788	286.4769	161.5147	285.2712	296.8771	347.8750	246.6286	272.7505	241.6032	
4.0	50.0	4.0	147.7500	225.0788	347.8750	260.4601	335.8881	347.8750	347.8750	246.6286	272.7505	273.2740	
1.0	10.0	5.0	100.1100	225.0788	102.2825	127.6347	156.3184	102.2825	102.2825	226.3672	215.0635	194.2541	
1.0	20.0	5.0	150.1000	225.0788	163.6806	185.3838	206.9353	153.2804	102.2825	226.3672	215.0635	241.6951	
1.0	30.0	5.0	199.1300	225.0788	225.0787	285.3330	257.5522	225.0787	347.8750	272.6120	288.7413	301.1456	
1.0	40.0	5.0	256.9800	225.0788	286.4769	419.5053	308.1691	296.8771	347.8750	272.6120	288.7413	355.8683	
1.0	50.0	5.0	306.4200	225.0788	347.8750	547.7124	358.7859	347.8750	347.8750	272.6120	288.7413	389.5066	
