# Created: Fri Aug 01 15:29:54 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.07
#	output:	results/terasort/values-0.07.csv
#	metrics-output:	results/terasort/metrics-0.07.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	216.9278	102.2825	186.6361	354.9850	288.7660	102.2825	224.9065	229.5512	219.6323	
1.0	20.0	2.0	378.2800	216.9278	153.8729	296.0547	427.3684	289.5396	102.2825	224.9065	229.5512	268.0015	
1.0	30.0	2.0	439.7700	216.9278	205.4633	423.0444	499.7519	290.1753	308.6440	305.5014	229.5512	325.6062	
1.0	40.0	2.0	646.0500	216.9278	257.0536	538.7859	572.1353	290.6974	308.6440	305.5014	229.5512	376.4561	
1.0	50.0	2.0	644.2200	216.9278	308.6440	635.8488	644.5187	291.1253	308.6440	305.5014	229.5512	405.1052	
2.0	10.0	2.0	122.2600	216.9278	102.2825	125.3277	260.8329	219.8222	102.2825	224.9065	229.5512	191.5050	
2.0	20.0	2.0	193.7800	216.9278	153.8729	202.8282	333.2164	224.5519	102.2825	224.9065	229.5512	237.3241	
2.0	30.0	2.0	256.8900	216.9278	205.4633	312.0467	405.5998	228.8213	308.6440	305.5014	229.5512	294.3588	
2.0	40.0	2.0	323.5800	216.9278	257.0536	425.3586	477.9832	232.6230	308.6440	305.5014	229.5512	346.5808	
2.0	50.0	2.0	407.8700	216.9278	308.6440	518.2332	550.3667	235.9609	308.6440	305.5014	229.5512	378.3497	
4.0	10.0	2.0	72.2300	216.9278	102.2825	69.4438	72.5288	137.1160	102.2825	224.9065	216.6267	147.1725	
4.0	20.0	2.0	116.1100	216.9278	153.8729	99.4760	144.9122	137.1160	102.2825	224.9065	216.6267	175.5169	
4.0	30.0	2.0	168.4500	216.9278	205.4633	157.9496	217.2956	137.1160	308.6440	305.5014	216.6267	215.5626	
4.0	40.0	2.0	237.2300	216.9278	257.0536	250.4355	289.6791	137.1160	308.6440	305.5014	216.6267	255.6931	
4.0	50.0	2.0	362.6600	216.9278	308.6440	357.8999	362.0625	137.1160	308.6440	305.5014	216.6267	284.2853	
1.0	10.0	3.0	121.6500	216.9278	102.2825	125.8532	321.4570	289.2074	102.2825	224.9065	229.5512	209.3088	
