# Created: Fri Aug 01 15:29:56 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.08
#	output:	results/terasort/values-0.08.csv
#	metrics-output:	results/terasort/metrics-0.08.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
x2	x3	x1	objective	MLPerceptron	IsoRegression	BagClassify	GaussianCurves	Discretization	RandomSubSpaces	LeastSquares	RBF	LinearRegression	
1.0	10.0	2.0	197.7700	194.1850	97.8700	146.9284	215.8939	203.2570	216.3522	120.2491	312.8648	88.2102	
1.0	20.0	2.0	378.2800	309.7194	97.8700	146.9284	265.1763	203.2570	216.3522	134.4270	312.8648	140.5042	
1.0	30.0	2.0	439.7700	438.5140	97.8700	286.0894	323.1729	203.2570	233.1812	148.6049	312.8648	192.7982	
1.0	40.0	2.0	646.0500	548.4137	308.6440	286.0894	373.8813	203.2570	233.1812	162.7827	312.8648	245.0922	
1.0	50.0	2.0	644.2200	628.6379	308.6440	286.0894	401.7950	203.2570	233.1812	176.9606	312.8648	297.3862	
2.0	10.0	2.0	122.2600	120.4111	97.8700	146.9284	188.6258	203.2570	216.3522	105.1759	312.8648	88.2102	
2.0	20.0	2.0	193.7800	203.3724	97.8700	146.9284	235.3019	203.2570	216.3522	119.3538	312.8648	140.5042	
2.0	30.0	2.0	256.8900	320.6829	97.8700	286.0894	292.7162	203.2570	233.1812	133.5316	312.8648	192.7982	
2.0	40.0	2.0	323.5800	446.3775	308.6440	286.0894	344.8577	203.2570	233.1812	147.7095	312.8648	245.0922	
2.0	50.0	2.0	407.8700	549.5778	308.6440	286.0894	375.9819	203.2570	233.1812	161.8874	312.8648	297.3862	
4.0	10.0	2.0	72.2300	51.3936	97.8700	141.6697	142.2856	203.2570	216.3522	75.0295	312.8648	88.2102	
4.0	20.0	2.0	116.1100	79.5309	97.8700	141.6697	170.9967	203.2570	216.3522	89.2074	312.8648	140.5042	
4.0	30.0	2.0	168.4500	133.8306	97.8700	286.0894	211.1839	203.2570	233.1812	103.3852	312.8648	192.7982	
4.0	40.0	2.0	237.2300	224.5426	308.6440	286.0894	251.3266	203.2570	233.1812	117.5631	312.8648	245.0922	
4.0	50.0	2.0	362.6600	344.5513	308.6440	286.0894	279.6612	203.2570	233.1812	131.7410	312.8648	297.3862	
1.0	10.0	3.0	121.6500	123.7213	97.8700	146.9284	206.0689	203.2570	216.3522	116.7225	312.8647	88.2102	
1.0	20.0	3.0	219.5600	207.1693	97.8700	146.9284	253.6634	203.2570	216.3522	130.9004	312.8647	140.5042	
1.0	30.0	3.0	290.4400	328.5755	97.8700	286.0894	310.5542	203.2570	233.1812	145.0783	312.8647	192.7982	
1.0	40.0	3.0	379.0900	465.2150	308.6440	286.0894	360.9844	203.2570	233.1812	159.2562	312.8647	245.0922	
1.0	50.0	3.0	485.7900	584.8409	308.6440	286.0894	389.6032	203.2570	233.1812	173.4341	312.8647	297.3862	
2.0	10.0	3.0	112.3200	77.6218	97.8700	146.9284	177.0190	203.2570	216.3522	101.6493	312.8647	88.2102	
2.0	20.0	3.0	170.8600	127.7529	97.8700	146.9284	221.3559	203.2570	216.3522	115.8272	312.8647	140.5042	
2.0	30.0	3.0	220.8800	214.2836	97.8700	286.0894	277.0768	203.2570	233.1812	130.0051	312.8647	192.7982	
2.0	40.0	3.0	234.0400	336.6813	308.6440	286.0894	328.5729	203.2570	233.1812	144.1830	312.8647	245.0922	
2.0	50.0	3.0	282.4400	469.3424	308.6440	286.0894	360.3754	203.2570	233.1812	158.3609	312.8647	297.3862	
4.0	10.0	3.0	66.5100	39.2976	97.8700	141.6697	131.8162	203.2570	216.3522	71.5029	312.8647	88.2102	
4.0	20.0	3.0	86.0800	53.6159	97.8700	141.6697	158.1287	203.2570	216.3522	85.6808	312.8647	140.5042	
4.0	30.0	3.0	116.7500	82.8989	97.8700	286.0894	196.4963	203.2570	233.1812	99.8587	312.8647	192.7982	
4.0	40.0	3.0	157.9000	138.9125	308.6440	286.0894	235.8509	203.2570	233.1812	114.0366	312.8647	245.0922	
4.0	50.0	3.0	182.7200	232.1712	308.6440	286.0894	264.7324	203.2570	233.1812	128.2145	312.8647	297.3862	
1.0	10.0	4.0	105.3100	86.7957	97.8700	146.9284	194.5686	203.2570	216.3522	113.1960	312.8604	88.2102	
1.0	20.0	4.0	172.0700	139.5111	97.8700	146.9284	239.0857	203.2570	216.3522	127.3739	312.8595	140.5042	
1.0	30.0	4.0	234.2300	229.7889	97.8700	286.0894	293.3601	203.2570	233.1812	141.5518	312.8587	192.7982	
1.0	40.0	4.0	308.7800	359.9973	308.6440	286.0894	342.2897	203.2570	233.1812	155.7297	312.8583	245.0922	
1.0	50.0	4.0	374.3800	507.0408	308.6440	286.0894	371.0621	203.2570	233.1812	169.9076	312.8582	297.3862	
2.0	10.0	4.0	72.5000	57.7112	97.8700	146.9284	164.1980	203.2570	216.3522	98.1228	312.8596	88.2102	
2.0	20.0	4.0	109.4900	86.6613	97.8700	146.9284	204.7865	203.2570	216.3522	112.3007	312.8585	140.5042	
2.0	30.0	4.0	147.8300	141.0873	97.8700	286.0894	257.2423	203.2570	233.1812	126.4786	312.8576	192.7982	
2.0	40.0	4.0	182.4400	233.5962	308.6440	286.0894	306.7878	203.2570	233.1812	140.6565	312.8570	245.0922	
2.0	50.0	4.0	226.1300	363.9338	308.6440	286.0894	338.6349	203.2570	233.1812	154.8344	312.8569	297.3862	
4.0	10.0	4.0	54.7500	34.2681	97.8700	141.6697	121.4076	203.2570	216.3522	67.9764	312.8591	88.2102	
4.0	20.0	4.0	75.8700	42.0623	97.8700	141.6697	144.2893	203.2570	216.3522	82.1543	312.8579	140.5042	
4.0	30.0	4.0	99.5400	57.8031	97.8700	286.0894	179.6076	203.2570	233.1812	96.3322	312.8569	192.7982	
4.0	40.0	4.0	135.6200	89.2010	308.6440	286.0894	217.0902	203.2570	233.1812	110.5101	312.8563	245.0922	
4.0	50.0	4.0	147.7500	148.3144	308.6440	286.0894	245.9076	203.2570	233.1812	124.6879	312.8562	297.3862	
1.0	10.0	5.0	100.1100	71.7001	97.8700	146.9284	182.1784	203.2570	197.0250	109.6695	312.5864	88.2102	
1.0	20.0	5.0	150.1000	105.8596	97.8700	146.9284	222.5366	203.2570	197.0250	123.8474	312.5269	140.5042	
1.0	30.0	5.0	199.1300	166.4208	97.8700	286.0894	272.9809	203.2570	213.8541	138.0253	312.4787	192.7982	
1.0	40.0	5.0	256.9800	266.3849	308.6440	286.0894	319.3949	203.2570	213.8541	152.2031	312.4494	245.0922	
1.0	50.0	5.0	306.4200	407.3477	308.6440	286.0894	347.8199	203.2570	213.8541	166.3810	312.4440	297.3862	
2.0	10.0	5.0	72.5300	50.2908	97.8700	146.9284	150.9963	203.2570	197.0250	94.5963	312.5338	88.2102	
2.0	20.0	5.0	101.6800	68.7774	97.8700	146.9284	186.7770	203.2570	197.0250	108.7742	312.4631	140.5042	
2.0	30.0	5.0	128.9900	102.8508	97.8700	286.0894	234.7360	203.2570	213.8541	122.9521	312.4058	192.7982	
2.0	40.0	5.0	158.8800	164.2379	308.6440	286.0894	281.2671	203.2570	213.8541	137.1299	312.3710	245.0922	
2.0	50.0	5.0	191.0900	265.6565	308.6440	286.0894	312.5879	203.2570	213.8541	151.3078	312.3646	297.3862	
4.0	10.0	5.0	51.2800	32.6121	97.8700	141.6697	111.6435	203.2570	197.0250	64.4499	312.5021	88.2102	
4.0	20.0	5.0	71.6400	37.6937	97.8700	141.6697	130.3435	203.2570	197.0250	78.6278	312.4247	140.5042	
4.0	30.0	5.0	97.8800	47.2401	97.8700	286.0894	161.6605	203.2570	213.8541	92.8056	312.3619	192.7982	
4.0	40.0	5.0	100.7400	65.5705	308.6440	286.0894	196.3875	203.2570	213.8541	106.9835	312.3238	245.0922	
4.0	50.0	5.0	124.5700	100.7234	308.6440	286.0894	224.5882	203.2570	213.8541	121.1614	312.3168	297.3862	
1.0	10.0	6.0	90.7600	68.6267	97.8700	146.9284	169.8327	203.2570	177.6978	106.1430	304.6761	88.2102	
1.0	20.0	6.0	125.4400	94.5350	97.8700	146.9284	205.3386	203.2570	177.6978	120.3208	303.0080	140.5042	
1.0	30.0	6.0	174.1600	137.5405	97.8700	286.0894	251.1172	203.2570	194.5269	134.4987	301.6762	192.7982	
1.0	40.0	6.0	247.1600	208.4909	308.6440	286.0894	294.2703	203.2570	194.5269	148.6766	300.8757	245.0922	
1.0	50.0	6.0	296.7600	319.1355	308.6440	286.0894	321.9186	203.2570	194.5269	162.8545	300.7289	297.3862	
2.0	10.0	6.0	67.8700	49.2707	97.8700	146.9284	138.3770	203.2570	177.6978	91.0698	303.2009	88.2102	
2.0	20.0	6.0	88.4400	63.7672	97.8700	146.9284	168.7240	203.2570	177.6978	105.2476	301.2502	140.5042	
2.0	30.0	6.0	113.0500	88.2924	97.8700	286.0894	211.3824	203.2570	194.5269	119.4255	299.6971	192.7982	
2.0	40.0	6.0	145.1200	130.3468	308.6440	286.0894	254.1443	203.2570	194.5269	133.6034	298.7653	245.0922	
2.0	50.0	6.0	169.2200	201.5272	308.6440	286.0894	284.4580	203.2570	194.5269	147.7813	298.5946	297.3862	
4.0	10.0	6.0	50.8700	32.6123	97.8700	141.6697	103.1630	203.2570	177.6978	60.9233	302.3228	88.2102	
4.0	20.0	6.0	75.5600	36.8461	97.8700	141.6697	117.2817	203.2570	177.6978	75.1012	300.2065	140.5042	
4.0	30.0	6.0	95.8300	44.0738	97.8700	286.0894	144.0002	203.2570	194.5269	89.2791	298.5242	192.7982	
4.0	40.0	6.0	101.3000	56.7669	308.6440	286.0894	175.3510	203.2570	194.5269	103.4570	297.5160	245.0922	
4.0	50.0	6.0	143.5000	79.6038	308.6440	286.0894	202.4698	203.2570	194.5269	117.6349	297.3315	297.3862	
1.0	10.0	7.0	80.2900	72.0235	97.8700	146.9284	158.4993	203.2570	177.6978	102.6164	235.4036	88.2102	
1.0	20.0	7.0	122.0600	95.7413	97.8700	146.9284	188.8680	203.2570	177.6978	116.7943	225.8985	140.5042	
1.0	30.0	7.0	152.8100	131.3923	97.8700	286.0894	229.5454	203.2570	194.5269	130.9722	219.1812	192.7982	
1.0	40.0	7.0	193.4800	185.1686	308.6440	286.0894	268.9783	203.2570	194.5269	145.1501	215.4629	245.0922	
1.0	50.0	7.0	250.6200	266.1844	308.6440	286.0894	295.4994	203.2570	194.5269	159.3280	214.8052	297.3862	
2.0	10.0	7.0	64.4800	51.6780	97.8700	146.9284	127.3184	203.2570	177.6978	87.5432	226.9320	88.2102	
2.0	20.0	7.0	88.3300	65.5943	97.8700	146.9284	152.0590	203.2570	177.6978	101.7211	217.1748	140.5042	
2.0	30.0	7.0	112.3300	87.1107	97.8700	286.0894	189.0627	203.2570	194.5269	115.8990	210.3749	192.7982	
2.0	40.0	7.0	129.3400	120.6061	308.6440	286.0894	227.6276	203.2570	194.5269	130.0769	206.6442	245.0922	
2.0	50.0	7.0	151.7200	173.1261	308.6440	286.0894	256.5515	203.2570	194.5269	144.2548	205.9868	297.3862	
4.0	10.0	7.0	52.9000	33.5209	97.8700	141.6697	96.5959	203.2570	177.6978	57.3968	222.3549	88.2102	
4.0	20.0	7.0	63.4200	37.8353	97.8700	141.6697	106.1059	203.2570	177.6978	71.5747	212.5205	140.5042	
4.0	30.0	7.0	76.1400	44.6848	97.8700	286.0894	128.0089	203.2570	194.5269	85.7526	205.7177	192.7982	
4.0	40.0	7.0	92.0200	55.7082	308.6440	286.0894	155.6476	203.2570	194.5269	99.9305	202.0030	245.0922	
4.0	50.0	7.0	126.5500	73.7531	308.6440	286.0894	181.3193	203.2570	194.5269	114.1083	201.3497	297.3862	
1.0	10.0	8.0	84.5100	79.2385	97.8700	146.9284	149.0548	203.2570	177.6978	99.0899	147.5371	88.2102	
1.0	20.0	8.0	107.5200	103.9026	97.8700	146.9284	174.3747	203.2570	177.6978	113.2678	141.8463	140.5042	
1.0	30.0	8.0	142.7300	138.0515	97.8700	286.0894	209.8806	203.2570	194.5269	127.4457	138.3359	192.7982	
1.0	40.0	8.0	178.7000	184.3992	308.6440	286.0894	245.3960	203.2570	194.5269	141.6235	136.5472	245.0922	
1.0	50.0	8.0	236.4800	246.9961	308.6440	286.0894	270.5114	203.2570	194.5269	155.8014	136.2413	297.3862	
2.0	10.0	8.0	56.4400	56.2160	97.8700	146.9284	118.6900	203.2570	177.6978	84.0167	142.4213	88.2102	
2.0	20.0	8.0	73.5000	71.3305	97.8700	146.9284	138.0625	203.2570	177.6978	98.1946	137.3579	140.5042	
2.0	30.0	8.0	92.7600	93.2769	97.8700	286.0894	169.4662	203.2570	194.5269	112.3725	134.2575	192.7982	
2.0	40.0	8.0	114.5700	124.6379	308.6440	286.0894	203.7041	203.2570	194.5269	126.5503	132.6844	245.0922	
2.0	50.0	8.0	136.9900	168.9278	308.6440	286.0894	230.9465	203.2570	194.5269	140.7282	132.4158	297.3862	
4.0	10.0	8.0	51.7300	35.0424	97.8700	141.6697	92.4869	203.2570	177.6978	53.8703	139.9472	88.2102	
4.0	20.0	8.0	60.3200	39.9505	97.8700	141.6697	97.7047	203.2570	177.6978	68.0482	135.2019	140.5042	
4.0	30.0	8.0	90.0200	47.4364	97.8700	286.0894	114.9284	203.2570	194.5269	82.2260	132.3065	192.7982	
4.0	40.0	8.0	96.5300	58.8286	308.6440	286.0894	138.7870	203.2570	194.5269	96.4039	130.8404	245.0922	
4.0	50.0	8.0	105.4300	76.1335	308.6440	286.0894	162.7436	203.2570	194.5269	110.5818	130.5903	297.3862	
1.0	10.0	9.0	84.2700	89.1307	97.8700	146.9284	142.1745	203.2570	177.6978	95.5634	122.2891	88.2102	
1.0	20.0	9.0	121.5000	116.2935	97.8700	146.9284	162.8276	203.2570	177.6978	109.7412	120.0852	140.5042	
