# Created: Fri Aug 01 15:29:59 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.09
#	output:	results/terasort/values-0.09.csv
#	metrics-output:	results/terasort/metrics-0.09.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	202.6467	80.6009	199.4183	208.0423	84.0206	101.0167	255.8359	222.9121	210.3050	
1.0	20.0	2.0	378.2800	202.6467	132.9062	285.1485	224.7230	94.2293	101.0167	255.8359	222.9121	254.3252	
1.0	30.0	2.0	439.7700	202.6467	185.2116	400.7486	241.4036	193.3150	101.0167	285.5765	263.0278	307.5825	
1.0	40.0	2.0	646.0500	202.6467	237.5169	542.5951	258.0843	264.6836	304.2767	285.5765	340.7225	355.5294	
1.0	50.0	2.0	644.2200	202.6467	289.8222	697.9657	274.7650	276.4562	304.2767	285.5765	340.7225	383.3786	
2.0	10.0	2.0	122.2600	202.6467	80.6009	160.6243	237.4832	84.0804	101.0167	255.8359	222.9121	177.2093	
2.0	20.0	2.0	193.7800	202.6467	132.9062	229.4471	254.1639	97.5646	101.0167	255.8359	222.9121	216.4046	
2.0	30.0	2.0	256.8900	202.6467	185.2116	326.4205	270.8446	207.7148	101.0167	285.5765	263.0278	267.7678	
2.0	40.0	2.0	323.5800	202.6467	237.5169	452.4640	287.5253	269.2934	304.2767	285.5765	340.7225	317.1956	
2.0	50.0	2.0	407.8700	202.6467	289.8222	600.3836	304.2060	278.3589	304.2767	285.5765	340.7225	349.5764	
4.0	10.0	2.0	72.2300	202.6467	80.6009	107.9020	296.3652	84.1177	101.0167	208.5937	183.7753	125.8786	
4.0	20.0	2.0	116.1100	202.6467	132.9062	150.3165	313.0459	99.5830	101.0167	212.8932	183.7753	146.9669	
4.0	30.0	2.0	168.4500	202.6467	185.2116	214.0066	329.7266	214.5811	101.0167	231.1830	223.8910	182.4602	
4.0	40.0	2.0	237.2300	202.6467	237.5169	304.3952	346.4072	271.2003	304.2767	231.1830	301.5857	222.5023	
4.0	50.0	2.0	362.6600	202.6467	289.8222	423.0985	363.0879	279.1292	304.2767	231.1830	301.5857	255.0548	
1.0	10.0	3.0	121.6500	202.6467	80.6009	117.6472	176.4322	84.0303	101.0167	185.6591	199.3351	200.4672	
1.0	20.0	3.0	219.5600	202.6467	132.9062	163.3854	193.1129	94.7772	101.0167	185.6591	199.3351	242.8818	
1.0	30.0	3.0	290.4400	202.6467	185.2116	230.2164	209.7936	196.0033	101.0167	215.3998	206.0360	295.1387	
1.0	40.0	3.0	379.0900	202.6467	237.5169	322.6192	226.4743	265.6153	304.2767	215.3998	223.9817	342.9081	
1.0	50.0	3.0	485.7900	202.6467	289.8222	441.6244	243.1549	276.8455	304.2767	215.3998	223.9817	371.5265	
2.0	10.0	3.0	112.3200	202.6467	80.6009	95.1291	205.8732	84.0935	101.0167	185.6591	199.3351	165.5694	
2.0	20.0	3.0	170.8600	202.6467	132.9062	129.5797	222.5539	98.2752	101.0167	185.6591	199.3351	202.5099	
2.0	30.0	3.0	220.8800	202.6467	185.2116	181.7500	239.2345	210.2642	101.0167	215.3998	206.0360	252.2946	
2.0	40.0	3.0	234.0400	202.6467	237.5169	257.3241	255.9152	270.0210	304.2767	215.3998	223.9817	301.1917	
2.0	50.0	3.0	282.4400	202.6467	289.8222	360.3171	272.5959	278.6540	304.2767	215.3998	223.9817	334.3293	
4.0	10.0	3.0	66.5100	202.6467	80.6009	67.0121	264.7551	84.1328	101.0167	138.4169	148.4553	115.2827	
4.0	20.0	3.0	86.0800	202.6467	132.9062	85.7206	281.4358	100.3889	101.0167	142.7164	148.4553	133.9994	
