# Created: Fri Aug 01 15:30:01 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.10
#	output:	results/terasort/values-0.10.csv
#	metrics-output:	results/terasort/metrics-0.10.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	420.9950	81.1860	185.3140	125.8602	98.7535	101.0167	214.0470	235.3136	210.6616	
1.0	20.0	2.0	378.2800	420.9950	132.0285	269.3503	140.5127	128.0620	101.0167	214.0470	235.3136	253.3804	
1.0	30.0	2.0	439.7700	420.9950	182.8711	376.4546	155.1651	217.1443	101.0167	214.0470	235.3136	305.3875	
1.0	40.0	2.0	646.0500	420.9950	233.7137	503.6421	169.8176	286.6403	296.6114	242.1547	254.8731	352.4615	
1.0	50.0	2.0	644.2200	420.9950	284.5563	643.9347	184.4701	295.8048	296.6114	242.1547	254.8731	380.1044	
2.0	10.0	2.0	122.2600	420.9950	81.1860	127.7098	111.3332	90.8816	101.0167	156.6404	227.6066	177.6739	
2.0	20.0	2.0	193.7800	420.9950	132.0285	190.9896	125.9857	114.4377	101.0167	156.6404	227.6066	215.9078	
2.0	30.0	2.0	256.8900	420.9950	182.8711	275.9416	140.6381	199.0540	101.0167	156.6404	227.6066	266.4272	
2.0	40.0	2.0	323.5800	420.9950	233.7137	382.9235	155.2906	283.0635	296.6114	196.6520	247.1661	315.3439	
2.0	50.0	2.0	407.8700	420.9950	284.5563	508.2689	169.9430	295.6640	296.6114	196.6520	247.1661	347.7237	
4.0	10.0	2.0	72.2300	219.8420	81.1860	57.2349	82.2791	76.1631	101.0167	156.6404	173.3353	127.0267	
4.0	20.0	2.0	116.1100	219.8420	132.0285	89.9146	96.9316	85.8380	101.0167	156.6404	183.4495	147.8466	
4.0	30.0	2.0	168.4500	219.8420	182.8711	137.3915	111.5841	138.4910	101.0167	156.6404	183.4495	183.2761	
4.0	40.0	2.0	237.2300	219.8420	233.7137	203.5331	126.2365	260.7208	296.6114	196.6520	203.0090	223.4645	
4.0	50.0	2.0	362.6600	219.8420	284.5563	290.6527	140.8890	294.6712	296.6114	196.6520	203.0090	256.3441	
1.0	10.0	3.0	121.6500	200.3825	81.1860	75.4619	121.3647	100.5567	101.0167	205.9450	235.3136	200.2490	
1.0	20.0	3.0	219.5600	200.3825	132.0285	120.2676	136.0172	131.0381	101.0167	205.9450	235.3136	241.0432	
1.0	30.0	3.0	290.4400	200.3825	182.8711	186.9149	150.6696	220.5312	101.0167	205.9450	235.3136	291.7200	
1.0	40.0	3.0	379.0900	200.3825	233.7137	281.5939	165.3221	287.2268	296.6114	242.1547	254.8731	338.3635	
1.0	50.0	3.0	485.7900	200.3825	284.5563	407.2459	179.9746	295.8274	296.6114	242.1547	254.8731	366.6806	
2.0	10.0	3.0	112.3200	200.3825	81.1860	47.1552	106.8377	92.2790	101.0167	148.5384	227.6066	165.5312	
2.0	20.0	3.0	170.8600	200.3825	132.0285	76.5811	121.4902	116.9344	101.0167	148.5384	227.6066	201.2506	
2.0	30.0	3.0	220.8800	200.3825	182.8711	121.4016	136.1426	202.7304	101.0167	148.5384	227.6066	249.9264	
2.0	40.0	3.0	234.0400	200.3825	233.7137	187.6746	150.7951	283.8579	296.6114	196.6520	247.1661	298.1126	
2.0	50.0	3.0	282.4400	200.3825	284.5563	281.3789	165.4475	295.6956	296.6114	196.6520	247.1661	331.1792	
4.0	10.0	3.0	66.5100	200.3825	81.1860	17.4273	77.7837	76.6969	101.0167	148.5384	173.3353	116.1915	
4.0	20.0	3.0	86.0800	200.3825	132.0285	30.0584	92.4361	86.9549	101.0167	148.5384	183.4495	134.5602	
4.0	30.0	3.0	116.7500	200.3825	182.8711	49.7311	107.0886	141.7576	101.0167	148.5384	183.4495	168.1590	
4.0	40.0	3.0	157.9000	200.3825	233.7137	79.9525	121.7410	262.6595	296.6114	196.6520	203.0090	207.5925	
4.0	50.0	3.0	182.7200	200.3825	284.5563	125.4098	136.3935	294.7660	296.6114	196.6520	203.0090	241.0871	
1.0	10.0	4.0	105.3100	200.3825	81.1860	36.2580	116.8692	101.6960	101.0167	205.9450	235.3136	188.5434	
1.0	20.0	4.0	172.0700	200.3825	132.0285	62.4104	131.5217	132.8920	101.0167	205.9450	235.3136	226.2648	
1.0	30.0	4.0	234.2300	200.3825	182.8711	103.7883	146.1742	222.5548	101.0167	205.9450	235.3136	274.3183	
1.0	40.0	4.0	308.7800	200.3825	233.7137	166.2551	160.8266	287.5664	296.6114	242.1547	254.8731	319.4381	
1.0	50.0	4.0	374.3800	200.3825	284.5563	254.1371	175.4791	295.8405	296.6114	242.1547	254.8731	347.8830	
2.0	10.0	4.0	72.5000	200.3825	81.1860	19.4069	102.3422	93.1652	101.0167	148.5384	227.6066	152.7914	
2.0	20.0	4.0	109.4900	200.3825	132.0285	34.7872	116.9947	118.4999	101.0167	148.5384	227.6066	184.9018	
2.0	30.0	4.0	147.8300	200.3825	182.8711	59.7683	131.6471	204.9454	101.0167	148.5384	227.6066	230.4185	
2.0	40.0	4.0	182.4400	200.3825	233.7137	99.4148	146.2996	284.3187	296.6114	196.6520	247.1661	276.6897	
2.0	50.0	4.0	226.1300	200.3825	284.5563	159.8286	160.9521	295.7139	296.6114	196.6520	247.1661	309.7618	
4.0	10.0	4.0	54.7500	200.3825	81.1860	4.2513	73.2882	77.0379	101.0167	148.5384	173.3353	106.2087	
4.0	20.0	4.0	75.8700	200.3825	132.0285	9.6819	87.9406	87.6650	101.0167	148.5384	183.4495	121.3953	
4.0	30.0	4.0	99.5400	200.3825	182.8711	18.5493	102.5931	143.7824	101.0167	148.5384	183.4495	152.1212	
4.0	40.0	4.0	135.6200	200.3825	233.7137	32.9807	117.2456	263.7952	296.6114	196.6520	203.0090	189.7279	
4.0	50.0	4.0	147.7500	200.3825	284.5563	56.2720	131.8980	294.8207	296.6114	196.6520	203.0090	223.0672	
1.0	10.0	5.0	100.1100	200.3825	81.1860	27.4852	112.3737	102.1092	101.0167	205.9450	217.3446	176.3672	
1.0	20.0	5.0	150.1000	200.3825	132.0285	49.4285	127.0262	133.5594	101.0167	205.9450	217.3446	210.1819	
1.0	30.0	5.0	199.1300	200.3825	182.8711	83.9908	141.6787	223.2678	101.0167	205.9450	217.3446	254.6218	
1.0	40.0	5.0	256.9800	200.3825	233.7137	134.5625	156.3311	287.6842	296.6114	242.1547	236.9041	297.3380	
1.0	50.0	5.0	306.4200	200.3825	284.5563	201.5112	170.9836	295.8450	296.6114	242.1547	236.9041	325.4166	
2.0	10.0	5.0	72.5300	200.3825	81.1860	12.4597	97.8467	93.4873	101.0167	148.5384	209.6376	140.3061	
2.0	20.0	5.0	101.6800	200.3825	132.0285	24.4696	112.4992	119.0654	101.0167	148.5384	209.6376	168.0581	
2.0	30.0	5.0	128.9900	200.3825	182.8711	44.4346	127.1516	205.7291	101.0167	148.5384	209.6376	209.4372	
2.0	40.0	5.0	158.8800	200.3825	233.7137	76.3164	141.8041	284.4786	296.6114	196.6520	229.1971	252.8501	
2.0	50.0	5.0	191.0900	200.3825	284.5563	124.0470	156.4566	295.7202	296.6114	196.6520	229.1971	285.3126	
4.0	10.0	5.0	51.2800	200.3825	81.1860	0.4878	68.7927	77.1623	101.0167	148.5384	173.3353	97.6535	
