# Created: Fri Aug 01 15:30:04 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.11
#	output:	results/terasort/values-0.11.csv
#	metrics-output:	results/terasort/metrics-0.11.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	420.9950	78.0045	144.2583	189.4975	260.7732	102.2825	208.8526	189.1024	208.8073	
1.0	20.0	2.0	378.2800	420.9950	129.1879	220.0623	220.9866	262.3213	115.6300	208.8526	189.1024	251.5123	
1.0	30.0	2.0	439.7700	420.9950	180.3714	330.8312	252.4757	263.8077	115.6300	256.6656	189.1024	303.6954	
1.0	40.0	2.0	646.0500	420.9950	231.5548	477.3197	283.9649	265.1550	296.6114	267.8113	238.3022	351.1613	
1.0	50.0	2.0	644.2200	420.9950	282.7383	650.4008	315.4540	266.3129	296.6114	267.8113	238.3022	379.2214	
2.0	10.0	2.0	122.2600	420.9950	78.0045	108.6466	152.9452	205.2702	102.2825	175.2818	189.1024	176.4671	
2.0	20.0	2.0	193.7800	420.9950	129.1879	162.9926	184.4344	212.3640	115.6300	175.2818	189.1024	214.8182	
2.0	30.0	2.0	256.8900	420.9950	180.3714	245.2344	215.9235	220.3014	115.6300	223.0948	189.1024	265.5564	
2.0	40.0	2.0	323.5800	420.9950	231.5548	358.1640	247.4126	228.6959	296.6114	234.2405	238.3022	314.8034	
2.0	50.0	2.0	407.8700	420.9950	282.7383	496.2119	278.9018	237.0516	296.6114	234.2405	238.3022	347.4560	
4.0	10.0	2.0	72.2300	219.8420	78.0045	67.8850	79.8408	126.9363	102.2825	158.7815	176.1826	126.1060	
4.0	20.0	2.0	116.1100	219.8420	129.1879	96.2731	111.3299	126.9363	115.6300	158.7815	176.1826	147.2139	
4.0	30.0	2.0	168.4500	219.8420	180.3714	142.7174	142.8190	126.9363	115.6300	189.2033	176.1826	182.8099	
4.0	40.0	2.0	237.2300	219.8420	231.5548	213.8903	174.3082	126.9363	296.6114	200.3490	238.3022	223.0334	
4.0	50.0	2.0	362.6600	219.8420	282.7383	312.7981	205.7973	126.9363	296.6114	200.3490	238.3022	255.7681	
1.0	10.0	3.0	121.6500	202.9967	78.0045	76.1420	177.5346	261.5482	102.2825	208.8526	189.1024	198.0795	
1.0	20.0	3.0	219.5600	202.9967	129.1879	113.7979	209.0237	262.9678	115.6300	208.8526	189.1024	238.7488	
1.0	30.0	3.0	290.4400	202.9967	180.3714	179.1324	240.5129	264.3280	115.6300	256.6656	189.1024	289.5998	
1.0	40.0	3.0	379.0900	202.9967	231.5548	285.9714	272.0020	265.5586	296.6114	267.8113	238.3022	336.7569	
1.0	50.0	3.0	485.7900	202.9967	282.7383	442.9627	303.4911	266.6145	296.6114	267.8113	238.3022	365.6875	
2.0	10.0	3.0	112.3200	202.9967	78.0045	58.6119	140.9824	208.6881	102.2825	175.2818	189.1024	164.1435	
2.0	20.0	3.0	170.8600	202.9967	129.1879	81.4258	172.4715	215.6647	115.6300	175.2818	189.1024	199.8983	
2.0	30.0	3.0	220.8800	202.9967	180.3714	120.8015	203.9606	223.3923	115.6300	223.0948	189.1024	248.8008	
2.0	40.0	3.0	234.0400	202.9967	231.5548	186.2167	235.4498	231.4759	296.6114	234.2405	238.3022	297.4249	
2.0	50.0	3.0	282.4400	202.9967	282.7383	288.5194	266.9389	239.4326	296.6114	234.2405	238.3022	330.9279	
4.0	10.0	3.0	66.5100	202.9967	78.0045	42.6595	67.8779	126.9363	102.2825	158.7815	176.1826	115.4199	
4.0	20.0	3.0	86.0800	202.9967	129.1879	52.9836	99.3670	126.9363	115.6300	158.7815	176.1826	134.0766	
4.0	30.0	3.0	116.7500	202.9967	180.3714	71.0070	130.8561	126.9363	115.6300	189.2033	176.1826	167.8585	
4.0	40.0	3.0	157.9000	202.9967	231.5548	101.7046	162.3453	126.9363	296.6114	200.3490	238.3022	207.3618	
4.0	50.0	3.0	182.7200	202.9967	282.7383	151.8725	193.8344	126.9363	296.6114	200.3490	238.3022	240.7480	
1.0	10.0	4.0	105.3100	202.9967	78.0045	51.8661	165.5717	262.1075	102.2825	208.8526	189.1024	185.9227	
1.0	20.0	4.0	172.0700	202.9967	129.1879	72.9606	197.0608	263.4334	115.6300	208.8526	189.1024	223.3773	
1.0	30.0	4.0	234.2300	202.9967	180.3714	113.0421	228.5500	264.7021	115.6300	256.6656	189.1024	271.5865	
1.0	40.0	4.0	308.7800	202.9967	231.5548	184.7731	260.0391	265.8484	296.6114	267.8113	238.3022	317.3442	
1.0	50.0	4.0	374.3800	202.9967	282.7383	298.9814	291.5282	266.8308	296.6114	267.8113	238.3022	346.6195	
2.0	10.0	4.0	72.5000	202.9967	78.0045	40.8368	129.0195	211.3189	102.2825	175.2818	189.1024	151.0936	
2.0	20.0	4.0	109.4900	202.9967	129.1879	50.7034	160.5086	218.1839	115.6300	175.2818	189.1024	183.1288	
2.0	30.0	4.0	147.8300	202.9967	180.3714	69.1859	191.9977	225.7294	115.6300	223.0948	189.1024	228.8640	
2.0	40.0	4.0	182.4400	202.9967	231.5548	103.4490	223.4869	233.5573	296.6114	234.2405	238.3022	275.6827	
2.0	50.0	4.0	226.1300	202.9967	282.7383	165.0702	254.9760	241.1980	296.6114	234.2405	238.3022	309.3739	
4.0	10.0	4.0	54.7500	202.9967	78.0045	33.9601	55.9150	126.9363	102.2825	158.7815	176.1826	105.5178	
4.0	20.0	4.0	75.8700	202.9967	129.1879	37.5812	87.4041	126.9363	115.6300	158.7815	176.1826	120.9787	
4.0	30.0	4.0	99.5400	202.9967	180.3714	44.0916	118.8933	126.9363	115.6300	189.2033	176.1826	151.8972	
4.0	40.0	4.0	135.6200	202.9967	231.5548	55.7238	150.3824	126.9363	296.6114	200.3490	238.3022	189.6093	
4.0	50.0	4.0	147.7500	202.9967	282.7383	76.2610	181.8715	126.9363	296.6114	200.3490	238.3022	222.8860	
1.0	10.0	5.0	100.1100	202.9967	78.0045	45.0740	153.6088	262.4857	102.2825	208.8526	189.1024	173.1835	
1.0	20.0	5.0	150.1000	202.9967	129.1879	61.7008	185.0980	263.7480	115.6300	208.8526	189.1024	206.5638	
1.0	30.0	5.0	199.1300	202.9967	180.3714	94.4030	216.5871	264.9545	115.6300	218.9509	189.1024	251.1226	
1.0	40.0	5.0	256.9800	202.9967	231.5548	152.9649	248.0762	266.0437	296.6114	230.0966	238.3022	294.5947	
1.0	50.0	5.0	306.4200	202.9967	282.7383	242.1356	279.5653	266.9764	296.6114	230.0966	238.3022	323.7290	
2.0	10.0	5.0	72.5300	202.9967	78.0045	35.1519	117.0566	213.1827	102.2825	175.2818	189.1024	138.1860	
2.0	20.0	5.0	101.6800	202.9967	129.1879	40.8153	148.5457	219.9575	115.6300	175.2818	189.1024	165.7271	
2.0	30.0	5.0	128.9900	202.9967	180.3714	52.2328	180.0348	227.3634	115.6300	185.3800	189.1024	207.2987	
