# Created: Fri Aug 01 15:30:06 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.12
#	output:	results/terasort/values-0.12.csv
#	metrics-output:	results/terasort/metrics-0.12.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	333.6625	81.1454	192.3016	203.0540	256.9342	102.2825	201.0662	154.9677	207.3057	
1.0	20.0	2.0	378.2800	333.6625	126.5705	227.1994	220.3850	258.6481	115.6300	201.0662	154.9677	247.7502	
1.0	30.0	2.0	439.7700	333.6625	171.9956	320.4036	237.7160	260.0491	115.6300	257.1733	154.9677	296.8677	
1.0	40.0	2.0	646.0500	333.6625	217.4207	439.4758	255.0469	261.1904	272.2400	272.9912	288.9267	341.2670	
1.0	50.0	2.0	644.2200	333.6625	262.8457	501.8650	272.3779	262.1179	272.2400	272.9912	288.9267	367.2328	
2.0	10.0	2.0	122.2600	333.6625	81.1454	-50.5379	162.4385	218.7338	102.2825	201.0662	154.9677	174.2092	
2.0	20.0	2.0	193.7800	333.6625	126.5705	14.6920	179.7695	225.2994	115.6300	201.0662	154.9677	208.7652	
2.0	30.0	2.0	256.8900	333.6625	171.9956	134.4385	197.1004	231.2769	115.6300	236.1231	154.9677	254.4282	
2.0	40.0	2.0	323.5800	333.6625	217.4207	223.3508	214.4314	236.6185	272.2400	251.9410	288.9267	298.6402	
2.0	50.0	2.0	407.8700	333.6625	262.8457	255.3355	231.7623	241.3139	272.2400	251.9410	288.9267	327.9083	
4.0	10.0	2.0	72.2300	219.8420	81.1454	-113.9488	81.2074	129.8109	102.2825	195.8928	134.3137	124.8477	
4.0	20.0	2.0	116.1100	219.8420	126.5705	6.4683	98.5384	129.8109	115.6300	195.8928	134.3137	141.5741	
4.0	30.0	2.0	168.4500	219.8420	171.9956	83.0885	115.8693	129.8109	115.6300	236.1231	134.3137	170.9900	
4.0	40.0	2.0	237.2300	219.8420	217.4207	107.8581	133.2003	129.8109	272.2400	251.9410	250.0969	204.8199	
4.0	50.0	2.0	362.6600	219.8420	262.8457	114.0101	150.5313	129.8110	272.2400	251.9410	250.0969	233.0070	
1.0	10.0	3.0	121.6500	333.6625	81.1454	148.6439	198.1914	257.6696	102.2825	161.2834	154.9677	196.4172	
1.0	20.0	3.0	219.5600	333.6625	126.5705	195.6289	215.5223	259.2534	115.6300	172.9291	154.9677	234.7251	
1.0	30.0	3.0	290.4400	333.6625	171.9956	303.9668	232.8533	260.5455	115.6300	198.4692	154.9677	282.3909	
1.0	40.0	3.0	379.0900	333.6625	217.4207	412.8707	250.1843	261.5964	272.2400	214.2871	259.2009	326.3735	
1.0	50.0	3.0	485.7900	333.6625	262.8457	460.4397	267.5152	262.4493	272.2400	214.2871	259.2009	353.1492	
2.0	10.0	3.0	112.3200	333.6625	81.1454	-69.1454	157.5758	221.4585	102.2825	161.2834	154.9677	161.5882	
2.0	20.0	3.0	170.8600	333.6625	126.5705	12.8150	174.9068	227.8090	115.6300	172.9291	154.9677	193.3384	
2.0	30.0	3.0	220.8800	333.6625	171.9956	133.9048	192.2378	233.5442	115.6300	177.4190	154.9677	236.9191	
2.0	40.0	3.0	234.0400	333.6625	217.4207	205.5449	209.5687	238.6321	272.2400	193.2369	259.2009	280.2876	
2.0	50.0	3.0	282.4400	333.6625	262.8457	228.5345	226.8997	243.0759	272.2400	193.2369	259.2009	310.2837	
4.0	10.0	3.0	66.5100	141.5350	81.1454	-86.0231	76.3448	129.8109	102.2825	156.1100	134.3137	113.7602	
4.0	20.0	3.0	86.0800	141.5350	126.5705	30.8944	93.6757	129.8109	115.6300	160.8850	134.3137	127.7138	
