# Created: Fri Aug 01 15:30:09 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.13
#	output:	results/terasort/values-0.13.csv
#	metrics-output:	results/terasort/metrics-0.13.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	333.6625	83.1990	211.1626	194.4732	396.6458	102.2825	139.7811	189.9141	206.7671	
1.0	20.0	2.0	378.2800	333.6625	124.8592	283.9513	212.1918	356.8481	115.6300	139.7811	189.9141	247.8815	
1.0	30.0	2.0	439.7700	333.6625	166.5193	380.8516	229.9104	324.9738	115.6300	238.4531	189.9141	297.3083	
1.0	40.0	2.0	646.0500	333.6625	208.1795	501.6131	247.6289	304.7088	257.4730	328.3335	271.9550	341.5755	
1.0	50.0	2.0	644.2200	333.6625	249.8396	643.9190	265.3475	296.3621	257.4730	328.3335	271.9550	366.9972	
2.0	10.0	2.0	122.2600	333.6625	83.1990	175.4371	158.3444	318.1232	102.2825	139.7811	175.5034	174.1285	
2.0	20.0	2.0	193.7800	333.6625	124.8592	233.2650	176.0630	275.6709	115.6300	139.7811	175.5034	208.9143	
2.0	30.0	2.0	256.8900	333.6625	166.5193	312.8089	193.7816	248.2680	115.6300	226.0474	175.5034	254.2100	
2.0	40.0	2.0	323.5800	333.6625	208.1795	414.7772	211.5001	233.1772	257.4730	315.9278	257.5444	297.5503	
2.0	50.0	2.0	407.8700	333.6625	249.8396	536.4648	229.2187	227.4084	257.4730	315.9278	257.5444	325.7087	
