# Created: Fri Aug 01 15:30:12 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.14
#	output:	results/terasort/values-0.14.csv
#	metrics-output:	results/terasort/metrics-0.14.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	333.6625	84.6425	211.9882	201.1460	234.5075	319.2200	201.6609	172.9262	206.0495	
1.0	20.0	2.0	378.2800	333.6625	123.6562	309.5072	221.8468	234.5075	319.2200	201.6609	172.9262	247.4662	
1.0	30.0	2.0	439.7700	333.6625	162.6699	410.5957	242.5476	234.5075	319.2200	236.4126	172.9262	297.0379	
1.0	40.0	2.0	646.0500	333.6625	201.6836	521.4770	263.2484	234.5075	319.2200	272.6729	259.6643	341.2639	
1.0	50.0	2.0	644.2200	333.6625	240.6973	645.3526	283.9491	234.5075	319.2200	272.6729	259.6643	366.4570	
2.0	10.0	2.0	122.2600	333.6625	84.6425	112.6251	163.1853	234.5075	319.2200	183.0094	172.9262	173.7072	
2.0	20.0	2.0	193.7800	333.6625	123.6562	174.4455	183.8860	234.5075	319.2200	183.0094	172.9262	208.8046	
2.0	30.0	2.0	256.8900	333.6625	162.6699	237.7441	204.5868	234.5075	319.2200	217.7611	172.9262	254.2179	
2.0	40.0	2.0	323.5800	333.6625	201.6836	287.1717	225.2876	234.5075	319.2200	259.8097	259.6643	297.4609	
2.0	50.0	2.0	407.8700	333.6625	240.6973	332.6156	245.9884	234.5075	319.2200	259.8097	259.6643	325.3221	
4.0	10.0	2.0	72.2300	219.8420	84.6425	56.3648	87.2638	234.5075	319.2200	176.5194	154.3811	122.8674	
4.0	20.0	2.0	116.1100	219.8420	123.6562	76.5115	107.9645	234.5075	319.2200	176.5194	154.3811	138.6404	
4.0	30.0	2.0	168.4500	219.8420	162.6699	118.2641	128.6653	234.5075	319.2200	211.2711	154.3811	165.9895	
4.0	40.0	2.0	237.2300	219.8420	201.6836	176.5571	149.3661	234.5075	319.2200	253.3197	220.9195	197.1814	
4.0	50.0	2.0	362.6600	219.8420	240.6973	225.2486	170.0669	234.5075	319.2200	253.3197	220.9195	222.9807	
1.0	10.0	3.0	121.6500	333.6625	84.6425	182.5136	193.2613	234.5047	199.5950	179.9074	172.9262	195.4391	
1.0	20.0	3.0	219.5600	333.6625	123.6562	269.8707	213.9621	234.5053	199.5950	179.9074	172.9262	234.7170	
1.0	30.0	3.0	290.4400	333.6625	162.6699	358.1709	234.6629	234.5057	199.5950	179.9074	172.9262	282.7977	
1.0	40.0	3.0	379.0900	333.6625	201.6836	452.8002	255.3636	234.5060	199.5950	216.1677	228.3353	326.5412	
1.0	50.0	3.0	485.7900	333.6625	240.6973	564.4848	276.0644	234.5063	199.5950	216.1677	228.3353	352.4716	
2.0	10.0	3.0	112.3200	333.6625	84.6425	101.7534	155.3005	234.5059	199.5950	161.2559	172.9262	161.2918	
2.0	20.0	3.0	170.8600	333.6625	123.6562	159.0473	176.0013	234.5062	199.5950	161.2559	172.9262	193.4902	
2.0	30.0	3.0	220.8800	333.6625	162.6699	221.7333	196.7021	234.5065	199.5950	161.2559	172.9262	236.6705	
2.0	40.0	3.0	234.0400	333.6625	201.6836	269.5600	217.4029	234.5067	199.5950	203.3045	228.3353	278.9023	
2.0	50.0	3.0	282.4400	333.6625	240.6973	307.7715	238.1037	234.5068	199.5950	203.3045	228.3353	307.3588	
4.0	10.0	3.0	66.5100	139.0350	84.6425	54.2168	79.3791	234.5068	199.5950	147.0336	154.3811	111.7144	
