# Created: Fri Aug 01 15:30:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.15
#	output:	results/terasort/values-0.15.csv
#	metrics-output:	results/terasort/metrics-0.15.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	305.1480	266.3910	201.9078	205.4005	255.7340	319.2200	214.5955	169.9204	204.0990	
1.0	20.0	2.0	378.2800	305.1480	266.3910	271.9248	222.4066	256.1677	319.2200	214.5955	169.9204	244.3912	
1.0	30.0	2.0	439.7700	305.1480	266.3910	367.7194	239.4126	256.6154	319.2200	235.4428	169.9204	292.4016	
1.0	40.0	2.0	646.0500	305.1480	266.3910	491.5423	256.4187	257.0714	319.2200	307.8274	255.9329	335.0602	
1.0	50.0	2.0	644.2200	305.1480	266.3910	639.0714	273.4248	257.5302	319.2200	307.8274	255.9329	359.1558	
2.0	10.0	2.0	122.2600	305.1480	221.2166	164.7411	160.3931	229.7610	319.2200	205.6921	169.9204	171.5628	
2.0	20.0	2.0	193.7800	305.1480	221.2166	217.9943	177.3991	231.3165	319.2200	205.6921	169.9204	205.3197	
2.0	30.0	2.0	256.8900	305.1480	221.2166	292.1566	194.4052	232.9625	319.2200	226.5394	169.9204	248.9047	
2.0	40.0	2.0	323.5800	305.1480	221.2166	390.9603	211.4113	234.6826	319.2200	288.5149	237.6868	290.3313	
2.0	50.0	2.0	407.8700	305.1480	221.2166	515.4122	228.4174	236.4592	319.2200	288.5149	237.6868	316.9449	
4.0	10.0	2.0	72.2300	219.8420	130.8678	117.2011	70.3782	130.1791	319.2200	170.6777	169.9204	122.2340	
4.0	20.0	2.0	116.1100	219.8420	130.8678	148.5300	87.3843	130.1791	319.2200	177.2965	169.9204	137.9589	
4.0	30.0	2.0	168.4500	219.8420	130.8678	193.5467	104.3904	130.1792	319.2200	198.1438	169.9204	164.8765	
4.0	40.0	2.0	237.2300	219.8420	130.8678	255.9414	121.3965	130.1792	319.2200	256.4636	233.0451	195.3730	
4.0	50.0	2.0	362.6600	219.8420	130.8678	338.5669	138.4026	130.1792	319.2200	256.4636	233.0451	220.4203	
1.0	10.0	3.0	121.6500	305.1480	266.3910	118.8241	203.0011	255.7785	199.5950	191.8024	158.3741	193.3443	
1.0	20.0	3.0	219.5600	305.1480	266.3910	157.2410	220.0072	256.2097	199.5950	191.8024	158.3741	231.3149	
1.0	30.0	3.0	290.4400	305.1480	266.3910	217.2267	237.0133	256.6549	199.5950	212.6498	158.3741	277.6134	
1.0	40.0	3.0	379.0900	305.1480	266.3910	306.1865	254.0193	257.1083	199.5950	246.7776	244.3867	319.5885	
1.0	50.0	3.0	485.7900	305.1480	266.3910	426.9029	271.0254	257.5645	199.5950	246.7776	244.3867	344.3048	
2.0	10.0	3.0	112.3200	305.1480	221.2166	98.7504	157.9937	229.9188	199.5950	182.8990	158.3741	158.9376	
2.0	20.0	3.0	170.8600	305.1480	221.2166	124.3376	174.9998	231.4693	199.5950	182.8990	158.3741	189.5674	
2.0	30.0	3.0	220.8800	305.1480	221.2166	164.6828	192.0058	233.1098	199.5950	203.7464	158.3741	230.6497	
2.0	40.0	3.0	234.0400	305.1480	221.2166	226.8389	209.0119	234.8238	199.5950	227.4651	226.1405	270.8245	
2.0	50.0	3.0	282.4400	305.1480	221.2166	318.1983	226.0180	236.5938	199.5950	227.4651	226.1405	297.8988	
4.0	10.0	3.0	66.5100	137.2514	130.8678	77.3653	67.9788	130.1791	199.5950	128.0157	151.1808	111.0380	
4.0	20.0	3.0	86.0800	137.2514	130.8678	89.7433	84.9849	130.1791	199.5950	134.6345	151.1808	123.5921	
4.0	30.0	3.0	116.7500	137.2514	130.8678	109.0394	101.9910	130.1792	199.5950	155.4818	151.1808	147.8021	
4.0	40.0	3.0	157.9000	137.2514	130.8678	138.8916	118.9971	130.1792	199.5950	177.8082	214.3055	176.7436	
4.0	50.0	3.0	182.7200	137.2514	130.8678	184.4409	136.0032	130.1792	199.5950	177.8082	214.3055	201.9347	
1.0	10.0	4.0	105.3100	305.1480	266.3910	89.2822	200.6017	255.8312	186.9400	173.9416	158.3741	181.2657	
1.0	20.0	4.0	172.0700	305.1480	266.3910	113.7495	217.6078	256.2595	186.9400	173.9416	158.3741	215.9417	
1.0	30.0	4.0	234.2300	305.1480	266.3910	154.4006	234.6139	256.7017	186.9400	181.4770	158.3741	259.4675	
1.0	40.0	4.0	308.7800	305.1480	266.3910	217.4111	251.6200	257.1520	186.9400	215.6048	218.8749	299.8937	
1.0	50.0	4.0	374.3800	305.1480	266.3910	304.8751	268.6260	257.6051	186.9400	215.6048	218.8749	324.8356	
2.0	10.0	4.0	72.5000	305.1480	221.2166	75.7189	155.5943	230.1062	186.9400	165.0382	158.3741	145.7653	
2.0	20.0	4.0	109.4900	305.1480	221.2166	89.9561	172.6004	231.6507	186.9400	165.0382	158.3741	172.4408	
2.0	30.0	4.0	147.8300	305.1480	221.2166	114.2518	189.6065	233.2846	186.9400	172.5736	158.3741	210.0486	
2.0	40.0	4.0	182.4400	305.1480	221.2166	154.5562	206.6125	234.9914	186.9400	196.2923	200.6287	248.1169	
2.0	50.0	4.0	226.1300	305.1480	221.2166	217.5260	223.6186	236.7536	186.9400	196.2923	200.6287	275.1822	
4.0	10.0	4.0	54.7500	137.2514	130.8678	63.8844	65.5795	130.1791	186.9400	110.1549	151.1808	100.7581	
4.0	20.0	4.0	75.8700	137.2514	130.8678	69.2146	82.5855	130.1791	186.9400	116.7737	151.1808	109.7042	
4.0	30.0	4.0	99.5400	137.2514	130.8678	78.1070	99.5916	130.1792	186.9400	124.3090	151.1808	130.5479	
4.0	40.0	4.0	135.6200	137.2514	130.8678	93.0030	116.5977	130.1792	186.9400	146.6354	188.7937	157.2349	
4.0	50.0	4.0	147.7500	137.2514	130.8678	117.8717	133.6038	130.1792	186.9400	146.6354	188.7937	182.0423	
1.0	10.0	5.0	100.1100	305.1480	266.3910	80.9315	198.2023	255.8919	164.6750	173.9416	158.3741	168.7648	
1.0	20.0	5.0	150.1000	305.1480	266.3910	101.5263	215.2084	256.3169	164.6750	173.9416	158.3741	199.5216	
1.0	30.0	5.0	199.1300	305.1480	266.3910	136.3303	232.2145	256.7556	164.6750	181.4770	158.3741	239.5460	
1.0	40.0	5.0	256.9800	305.1480	266.3910	189.8446	249.2206	257.2024	164.6750	215.6048	218.8749	277.7873	
1.0	50.0	5.0	306.4200	305.1480	266.3910	261.3068	266.2267	257.6518	164.6750	215.6048	218.8749	302.6104	
2.0	10.0	5.0	72.5300	305.1480	221.2166	68.8300	153.1949	230.3228	164.6750	165.0382	158.3741	133.0029	
2.0	20.0	5.0	101.6800	305.1480	221.2166	79.7241	170.2010	231.8604	164.6750	165.0382	158.3741	155.2940	
2.0	30.0	5.0	128.9900	305.1480	221.2166	99.1574	187.2071	233.4865	164.6750	172.5736	158.3741	188.8421	
2.0	40.0	5.0	158.8800	305.1480	221.2166	132.2535	204.2132	235.1850	164.6750	196.2923	200.6287	224.2235	
2.0	50.0	5.0	191.0900	305.1480	221.2166	184.0458	221.2192	236.9382	164.6750	196.2923	200.6287	250.8823	
4.0	10.0	5.0	51.2800	137.2514	130.8678	59.6395	63.1801	130.1791	164.6750	110.1549	151.1808	92.0823	
4.0	20.0	5.0	71.6400	137.2514	130.8678	62.7414	80.1862	130.1791	164.6750	116.7737	151.1808	97.3148	
4.0	30.0	5.0	97.8800	137.2514	130.8678	68.3022	97.1922	130.1792	164.6750	124.3090	151.1808	114.4679	
4.0	40.0	5.0	100.7400	137.2514	130.8678	78.2775	114.1983	130.1792	164.6750	146.6354	188.7937	138.4504	
4.0	50.0	5.0	124.5700	137.2514	130.8678	95.9670	131.2044	130.1792	164.6750	146.6354	188.7937	162.4302	
1.0	10.0	6.0	90.7600	305.1480	266.3910	80.0392	195.8029	255.9604	164.6750	170.3710	158.3741	156.8154	
1.0	20.0	6.0	125.4400	305.1480	266.3910	100.7239	212.8090	256.3816	164.6750	170.3710	158.3741	183.4038	
1.0	30.0	6.0	174.1600	305.1480	266.3910	135.4631	229.8151	256.8164	164.6750	170.3710	158.3741	219.5566	
1.0	40.0	6.0	247.1600	305.1480	266.3910	187.5865	246.8212	257.2592	164.6750	204.4988	218.8749	255.2253	
1.0	50.0	6.0	296.7600	305.1480	266.3910	254.0029	263.8273	257.7046	164.6750	204.4988	218.8749	279.6404	
2.0	10.0	6.0	67.8700	305.1480	221.2166	67.4827	150.7955	230.5682	164.6750	161.4676	158.3741	121.6207	
2.0	20.0	6.0	88.4400	305.1480	221.2166	78.0370	167.8016	232.0979	164.6750	161.4676	158.3741	139.5065	
2.0	30.0	6.0	113.0500	305.1480	221.2166	97.1156	184.8077	233.7153	164.6750	161.4676	158.3741	168.8112	
2.0	40.0	6.0	145.1200	305.1480	221.2166	129.5685	201.8138	235.4042	164.6750	185.1863	200.6287	201.2144	
2.0	50.0	6.0	169.2200	305.1480	221.2166	179.3412	218.8199	237.1471	164.6750	185.1863	200.6287	227.1502	
4.0	10.0	6.0	50.8700	137.2514	130.8678	58.4618	60.7807	130.1791	164.6750	107.8193	151.1808	85.6178	
4.0	20.0	6.0	75.5600	137.2514	130.8678	61.0183	77.7868	130.1792	164.6750	114.4380	151.1808	87.3586	
4.0	30.0	6.0	95.8300	137.2514	130.8678	65.8259	94.7929	130.1792	164.6750	114.4380	151.1808	100.8387	
4.0	40.0	6.0	101.3000	137.2514	130.8678	74.7869	111.7989	130.1792	164.6750	136.7644	188.7937	121.9321	
4.0	50.0	6.0	143.5000	137.2514	130.8678	91.1043	128.8050	130.1792	164.6750	136.7644	188.7937	144.7435	
1.0	10.0	7.0	80.2900	181.8274	266.3910	81.8042	193.4035	256.0365	164.6750	170.3710	158.3741	146.3387	
1.0	20.0	7.0	122.0600	181.8274	266.3910	104.0369	210.4096	256.4535	164.6750	170.3710	158.3741	168.8535	
1.0	30.0	7.0	152.8100	181.8274	266.3910	140.8075	227.4157	256.8840	164.6750	170.3710	158.3741	201.0913	
1.0	40.0	7.0	193.4800	181.8274	266.3910	194.4277	244.4218	257.3223	164.6750	204.4988	218.8749	234.0235	
1.0	50.0	7.0	250.6200	181.8274	266.3910	259.8697	261.4279	257.7632	164.6750	204.4988	218.8749	257.7888	
2.0	10.0	7.0	64.4800	181.8274	221.2166	68.0527	148.3961	230.8419	164.6750	161.4676	158.3741	112.4810	
2.0	20.0	7.0	88.3300	181.8274	221.2166	79.3556	165.4022	232.3627	164.6750	161.4676	158.3741	126.2997	
2.0	30.0	7.0	112.3300	181.8274	221.2166	99.7344	182.4083	233.9703	164.6750	161.4676	158.3741	151.5306	
2.0	40.0	7.0	129.3400	181.8274	221.2166	133.9609	199.4144	235.6485	164.6750	185.1863	200.6287	180.9192	
2.0	50.0	7.0	151.7200	181.8274	221.2166	185.0987	216.4205	237.3798	164.6750	185.1863	200.6287	205.8882	
4.0	10.0	7.0	52.9000	137.2514	130.8678	58.3016	58.3813	130.1791	164.6750	107.8193	151.1808	81.8224	
4.0	20.0	7.0	63.4200	137.2514	130.8678	60.8881	75.3874	130.1792	164.6750	114.4380	151.1808	80.5701	
4.0	30.0	7.0	76.1400	137.2514	130.8678	65.8422	92.3935	130.1792	164.6750	114.4380	151.1808	90.6919	
4.0	40.0	7.0	92.0200	137.2514	130.8678	75.1866	109.3996	130.1792	164.6750	136.7644	188.7937	108.9511	
4.0	50.0	7.0	126.5500	137.2514	130.8678	92.2696	126.4056	130.1792	164.6750	136.7644	188.7937	130.3581	
1.0	10.0	8.0	84.5100	181.8274	266.3910	84.6629	191.0042	256.1200	164.6750	170.3710	158.3741	138.0878	
1.0	20.0	8.0	107.5200	181.8274	266.3910	109.0355	208.0102	256.5324	164.6750	170.3710	158.3741	156.8901	
1.0	30.0	8.0	142.7300	181.8274	266.3910	148.5823	225.0163	256.9581	164.6750	170.3710	158.3741	185.4188	
1.0	40.0	8.0	178.7000	181.8274	266.3910	204.5277	242.0224	257.3916	164.6750	204.4988	218.8749	215.6189	
1.0	50.0	8.0	236.4800	181.8274	266.3910	270.0692	259.0285	257.8275	164.6750	204.4988	218.8749	238.5225	
2.0	10.0	8.0	56.4400	181.8274	221.2166	69.3663	145.9967	231.1435	164.6750	161.4676	158.3741	106.2319	
2.0	20.0	8.0	73.5000	181.8274	221.2166	81.8631	163.0028	232.6544	164.6750	161.4676	158.3741	116.5834	
2.0	30.0	8.0	92.7600	181.8274	221.2166	104.2000	180.0089	234.2511	164.6750	161.4676	158.3741	138.1668	
2.0	40.0	8.0	114.5700	181.8274	221.2166	141.0727	197.0150	235.9174	164.6750	185.1863	200.6287	164.6897	
2.0	50.0	8.0	136.9900	181.8274	221.2166	194.6166	214.0211	237.6360	164.6750	185.1863	200.6287	188.5007	
4.0	10.0	8.0	51.7300	77.0240	130.8678	58.4974	55.9819	130.1791	164.6750	107.8193	145.5261	80.9533	
4.0	20.0	8.0	60.3200	77.0240	130.8678	61.3261	72.9880	130.1792	164.6750	114.4380	145.5261	77.3964	
4.0	30.0	8.0	90.0200	77.0240	130.8678	66.7665	89.9941	130.1792	164.6750	114.4380	145.5261	84.6884	
4.0	40.0	8.0	96.5300	77.0240	130.8678	77.0304	107.0002	130.1792	164.6750	136.7644	183.1389	100.3494	
4.0	50.0	8.0	105.4300	77.0240	130.8678	95.6954	124.0063	130.1792	164.6750	136.7644	183.1389	120.2060	
1.0	10.0	9.0	84.2700	181.8274	266.3910	88.1313	188.6048	256.2105	125.6483	149.1856	158.3741	132.5611	
1.0	20.0	9.0	121.5000	181.8274	266.3910	114.9485	205.6109	256.6180	125.6483	149.1856	158.3741	148.1744	
1.0	30.0	9.0	150.8700	181.8274	266.3910	157.5400	222.6169	257.0385	125.6483	149.1856	158.3741	173.3487	
1.0	40.0	9.0	158.6200	181.8274	266.3910	215.8962	239.6230	257.4667	125.6483	183.3134	218.8749	200.9186	
1.0	50.0	9.0	218.6400	181.8274	266.3910	281.5460	256.6291	257.8972	125.6483	183.3134	218.8749	222.7613	
2.0	10.0	9.0	58.9600	181.8274	221.2166	71.0591	143.5974	231.4723	125.6483	140.2822	158.3741	103.2351	
2.0	20.0	9.0	74.2100	181.8274	221.2166	84.9920	160.6034	232.9724	125.6483	140.2822	158.3741	110.8575	
2.0	30.0	9.0	94.0700	181.8274	221.2166	109.6157	177.6095	234.5572	125.6483	140.2822	158.3741	129.3564	
2.0	40.0	9.0	115.4700	181.8274	221.2166	149.4686	194.6156	236.2104	125.6483	164.0009	200.6287	153.2622	
2.0	50.0	9.0	130.9600	181.8274	221.2166	205.6124	211.6217	237.9150	125.6483	164.0009	200.6287	175.7532	
