# Created: Fri Aug 01 15:30:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	10.0	2.0	197.7700	266.6473	203.1095	189.2990	319.2200	233.5057	305.1480	225.2440	189.6912	134.3540	
1.0	20.0	2.0	378.2800	266.6473	243.8460	189.2990	319.2200	233.5059	305.1480	225.2440	214.8723	210.6856	
1.0	30.0	2.0	439.7700	266.6473	292.0910	189.2990	319.2200	233.5060	305.1480	245.5233	240.0533	319.1868	
1.0	40.0	2.0	646.0500	266.6473	334.7256	215.5491	319.2200	233.5061	305.1480	285.4803	265.2344	460.7516	
1.0	50.0	2.0	644.2200	266.6473	358.5268	215.5491	319.2200	233.5062	305.1480	285.4803	290.4154	622.9601	
2.0	10.0	2.0	122.2600	220.6399	171.0170	189.2990	319.2200	233.5061	305.1480	188.2577	152.2995	103.1941	
2.0	20.0	2.0	193.7800	220.6399	205.2719	189.2990	319.2200	233.5062	305.1480	188.2577	177.4806	163.2145	
2.0	30.0	2.0	256.8900	220.6399	249.1021	189.2990	319.2200	233.5063	305.1480	208.5369	202.6616	250.5803	
2.0	40.0	2.0	323.5800	220.6399	290.4705	215.5491	319.2200	233.5064	305.1480	272.1911	227.8427	371.0500	
2.0	50.0	2.0	407.8700	220.6399	316.7188	215.5491	319.2200	233.5064	305.1480	272.1911	253.0237	522.0412	
4.0	10.0	2.0	72.2300	128.6252	121.3714	179.8630	319.2200	233.5063	222.2092	156.1460	77.5162	61.2418	
4.0	20.0	2.0	116.1100	128.6252	137.4973	179.8630	319.2200	233.5064	222.2092	157.9530	102.6972	99.0688	
4.0	30.0	2.0	168.4500	128.6252	164.5570	179.8630	319.2200	233.5064	222.2092	176.6499	127.8782	154.6753	
4.0	40.0	2.0	237.2300	128.6252	194.9096	199.2403	319.2200	233.5065	222.2092	214.8089	153.0593	234.5872	
4.0	50.0	2.0	362.6600	128.6252	219.5546	199.2403	319.2200	233.5065	222.2092	214.8089	178.2403	344.9535	
1.0	10.0	3.0	121.6500	266.6473	192.5609	189.2990	199.5950	233.4849	305.1480	198.7899	179.1277	59.2595	
1.0	20.0	3.0	219.5600	266.6473	230.9983	189.2990	199.5950	233.4882	305.1480	198.7899	204.3087	106.8040	
1.0	30.0	3.0	290.4400	266.6473	277.5337	189.2990	199.5950	233.4907	305.1480	219.0691	229.4898	181.0447	
1.0	40.0	3.0	379.0900	266.6473	319.4669	215.5491	199.5950	233.4926	305.1480	259.0262	254.6708	286.1913	
1.0	50.0	3.0	485.7900	266.6473	343.8549	215.5491	199.5950	233.4940	305.1480	259.0262	279.8519	415.7973	
