# Created: Fri Aug 01 15:30:20 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.17
#	output:	results/terasort/values-0.17.csv
#	metrics-output:	results/terasort/metrics-0.17.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	305.1480	262.6263	193.5308	191.2579	107.6714	319.2200	234.0737	202.1330	202.5504	
1.0	20.0	2.0	378.2800	305.1480	262.6263	282.3127	217.0400	107.6714	319.2200	237.4904	202.1330	242.7075	
1.0	30.0	2.0	439.7700	305.1480	262.6263	391.3210	242.8222	108.4633	319.2200	237.4904	202.1330	290.1812	
1.0	40.0	2.0	646.0500	305.1480	262.6263	518.6927	268.6043	215.2541	319.2200	257.5312	225.8351	332.0584	
1.0	50.0	2.0	644.2200	305.1480	262.6263	656.3656	294.3865	220.6989	319.2200	257.5312	225.8351	355.3531	
2.0	10.0	2.0	122.2600	305.1480	217.5937	123.5015	152.6117	107.6714	319.2200	234.0737	202.1330	170.1524	
2.0	20.0	2.0	193.7800	305.1480	217.5937	190.3405	178.3938	107.6715	319.2200	237.4904	202.1330	203.6935	
2.0	30.0	2.0	256.8900	305.1480	217.5937	273.9649	204.1760	108.8662	319.2200	237.4904	202.1330	246.6158	
2.0	40.0	2.0	323.5800	305.1480	217.5937	376.8339	229.9581	217.0586	319.2200	257.5312	225.8351	287.1232	
2.0	50.0	2.0	407.8700	305.1480	217.5937	498.5369	255.7403	220.7153	319.2200	257.5312	225.8351	312.8292	
4.0	10.0	2.0	72.2300	164.3794	127.5285	36.8683	75.3194	107.6714	319.2200	234.0737	195.6731	121.3890	
4.0	20.0	2.0	116.1100	164.3794	127.5285	77.0083	101.1015	107.6715	319.2200	237.4904	195.6731	137.5759	
4.0	30.0	2.0	168.4500	164.3794	127.5285	126.3062	126.8837	109.1258	319.2200	237.4904	195.6731	164.5927	
4.0	40.0	2.0	237.2300	164.3794	127.5285	186.4580	152.6658	217.7060	319.2200	257.5312	214.0250	194.8083	
4.0	50.0	2.0	362.6600	164.3794	127.5285	260.1749	178.4480	220.7210	319.2200	257.5312	214.0250	219.2646	
1.0	10.0	3.0	121.6500	305.1480	262.6263	127.3436	179.0744	107.6714	199.5950	191.0119	154.9659	191.7485	
1.0	20.0	3.0	219.5600	305.1480	262.6263	185.4277	204.8566	107.6715	199.5950	194.4286	159.5724	229.3891	
1.0	30.0	3.0	290.4400	305.1480	262.6263	256.0670	230.6387	108.6097	199.5950	194.4286	159.5724	274.9006	
1.0	40.0	3.0	379.0900	305.1480	262.6263	342.7831	256.4209	216.0814	199.5950	214.4694	197.4317	315.8548	
1.0	50.0	3.0	485.7900	305.1480	262.6263	448.1857	282.2030	220.7065	199.5950	214.4694	197.4317	339.6173	
2.0	10.0	3.0	112.3200	305.1480	217.5937	83.4421	140.4282	107.6714	199.5950	184.3125	154.9659	157.4163	
2.0	20.0	3.0	170.8600	305.1480	217.5937	129.9465	166.2104	107.6715	199.5950	187.7292	159.5724	187.5810	
2.0	30.0	3.0	220.8800	305.1480	217.5937	184.9730	191.9925	109.0861	199.5950	187.7292	159.5724	227.6888	
2.0	40.0	3.0	234.0400	305.1480	217.5937	251.0323	217.7747	217.6220	199.5950	207.7700	197.4317	266.6526	
2.0	50.0	3.0	282.4400	305.1480	217.5937	331.8668	243.5569	220.7203	199.5950	207.7700	197.4317	292.6400	
4.0	10.0	3.0	66.5100	164.3794	127.5285	22.1780	63.1359	107.6714	199.5950	168.7884	148.5060	110.2315	
4.0	20.0	3.0	86.0800	164.3794	127.5285	54.9452	88.9181	107.6715	199.5950	172.2051	153.1125	123.1037	
4.0	30.0	3.0	116.7500	164.3794	127.5285	93.0498	114.7002	109.3927	199.5950	172.2051	153.1125	147.2175	
4.0	40.0	3.0	157.9000	164.3794	127.5285	136.3711	140.4824	218.1729	199.5950	192.2459	185.6216	175.6829	
4.0	50.0	3.0	182.7200	164.3794	127.5285	185.6340	166.2645	220.7251	199.5950	192.2459	185.6216	200.1495	
1.0	10.0	4.0	105.3100	305.1480	262.6263	96.0641	166.8910	107.6714	186.9400	183.2182	154.9659	179.6177	
1.0	20.0	4.0	172.0700	305.1480	262.6263	138.3756	192.6731	107.6715	186.9400	186.6349	159.5724	213.7868	
1.0	30.0	4.0	234.2300	305.1480	262.6263	185.8756	218.4553	108.6815	186.9400	186.6349	159.5724	256.2961	
1.0	40.0	4.0	308.7800	305.1480	262.6263	240.7677	244.2374	216.4032	186.9400	192.0637	197.4317	295.4794	
1.0	50.0	4.0	374.3800	305.1480	262.6263	307.0249	270.0196	220.7094	186.9400	192.0637	197.4317	319.3239	
2.0	10.0	4.0	72.5000	305.1480	217.5937	64.2937	128.2448	107.6714	186.9400	176.5187	154.9659	144.1207	
2.0	20.0	4.0	109.4900	305.1480	217.5937	101.4455	154.0270	107.6715	186.9400	179.9354	159.5724	170.0969	
2.0	30.0	4.0	147.8300	305.1480	217.5937	142.2216	179.8091	109.1939	186.9400	179.9354	159.5724	206.4367	
2.0	40.0	4.0	182.4400	305.1480	217.5937	187.0775	205.5913	217.8404	186.9400	185.3642	197.4317	243.0180	
2.0	50.0	4.0	226.1300	305.1480	217.5937	238.1237	231.3734	220.7222	186.9400	185.3642	197.4317	268.8262	
4.0	10.0	4.0	54.7500	164.3794	127.5285	14.1511	50.9525	107.6714	186.9400	157.0939	148.5060	99.9372	
4.0	20.0	4.0	75.8700	164.3794	127.5285	43.6058	76.7346	107.6715	186.9400	160.5106	153.1125	109.0450	
4.0	30.0	4.0	99.5400	164.3794	127.5285	76.8266	102.5168	109.5235	186.9400	160.5106	153.1125	129.5866	
4.0	40.0	4.0	135.6200	164.3794	127.5285	112.7000	128.2989	218.3536	186.9400	165.9394	185.6216	155.5961	
4.0	50.0	4.0	147.7500	164.3794	127.5285	150.4298	154.0811	220.7267	186.9400	165.9394	185.6216	179.5462	
1.0	10.0	5.0	100.1100	305.1480	262.6263	80.6854	154.7075	107.6714	165.3243	183.2182	154.9659	167.0898	
1.0	20.0	5.0	150.1000	305.1480	262.6263	116.1014	180.4897	107.6715	165.3243	186.6349	159.5724	197.2031	
1.0	30.0	5.0	199.1300	305.1480	262.6263	152.8662	206.2718	108.6597	165.3243	186.6349	159.5724	236.0276	
1.0	40.0	5.0	256.9800	305.1480	262.6263	191.2255	232.0540	216.3103	165.3243	192.0637	197.4317	272.8430	
1.0	50.0	5.0	306.4200	305.1480	262.6263	233.0949	257.8361	220.7086	165.3243	192.0637	197.4317	296.4449	
2.0	10.0	5.0	72.5300	305.1480	217.5937	54.0924	116.0614	107.6714	165.3243	176.5187	154.9659	131.2604	
2.0	20.0	5.0	101.6800	305.1480	217.5937	87.2508	141.8435	107.6715	165.3243	179.9354	159.5724	152.6604	
2.0	30.0	5.0	128.9900	305.1480	217.5937	121.9141	167.6257	109.1612	165.3243	179.9354	159.5724	184.6955	
2.0	40.0	5.0	158.8800	305.1480	217.5937	157.1666	193.4078	217.7774	165.3243	185.3642	197.4317	218.3556	
2.0	50.0	5.0	191.0900	305.1480	217.5937	193.2389	219.1900	220.7216	165.3243	185.3642	197.4317	243.6086	
4.0	10.0	5.0	51.2800	164.3794	127.5285	8.8615	38.7690	107.6714	165.3243	157.0939	148.5060	91.2154	
4.0	20.0	5.0	71.6400	164.3794	127.5285	36.6948	64.5512	107.6715	165.3243	160.5106	153.1125	96.4585	
4.0	30.0	5.0	97.8800	164.3794	127.5285	67.7705	90.3333	109.4839	165.3243	160.5106	153.1125	113.1137	
4.0	40.0	5.0	100.7400	164.3794	127.5285	100.5678	116.1155	218.3015	165.3243	165.9394	185.6216	136.2289	
4.0	50.0	5.0	124.5700	164.3794	127.5285	133.5416	141.8976	220.7262	165.3243	165.9394	185.6216	159.2283	
1.0	10.0	6.0	90.7600	183.0083	262.6263	71.9647	142.5241	107.6714	165.3243	183.2182	154.9659	155.1598	
1.0	20.0	6.0	125.4400	183.0083	262.6263	104.5681	168.3063	107.6714	165.3243	186.6349	159.5724	181.0261	
1.0	30.0	6.0	174.1600	183.0083	262.6263	136.9646	194.0884	108.5502	165.3243	186.6349	159.5724	215.8622	
1.0	40.0	6.0	247.1600	183.0083	262.6263	168.2612	219.8706	215.7768	165.3243	192.0637	197.4317	249.9792	
1.0	50.0	6.0	296.7600	183.0083	262.6263	198.7566	245.6527	220.7037	165.3243	192.0637	197.4317	273.0795	
2.0	10.0	6.0	67.8700	183.0083	217.5937	47.5596	103.8779	107.6714	165.3243	176.5187	154.9659	119.8346	
2.0	20.0	6.0	88.4400	183.0083	217.5937	79.0043	129.6601	107.6715	165.3243	179.9354	159.5724	136.7024	
2.0	30.0	6.0	113.0500	183.0083	217.5937	111.2311	155.4422	108.9967	165.3243	179.9354	159.5724	164.3239	
2.0	40.0	6.0	145.1200	183.0083	217.5937	142.6604	181.2244	217.4149	165.3243	185.3642	197.4317	194.8355	
2.0	50.0	6.0	169.2200	183.0083	217.5937	172.4668	207.0065	220.7184	165.3243	185.3642	197.4317	219.2505	
4.0	10.0	6.0	50.8700	164.3794	127.5285	4.7098	26.5856	107.6714	165.3243	157.0939	148.5060	84.6929	
4.0	20.0	6.0	75.5600	164.3794	127.5285	31.5928	52.3678	107.6715	165.3243	160.5106	153.1125	86.3160	
4.0	30.0	6.0	95.8300	164.3794	127.5285	61.6285	78.1499	109.2842	165.3243	160.5106	153.1125	99.1322	
4.0	40.0	6.0	101.3000	164.3794	127.5285	93.1716	103.9321	218.0013	165.3243	165.9394	185.6216	119.1977	
