# Created: Fri Aug 01 15:30:23 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.18
#	output:	results/terasort/values-0.18.csv
#	metrics-output:	results/terasort/metrics-0.18.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	305.1480	264.1245	207.0955	181.0625	239.6658	319.2200	269.4683	228.0335	201.3643	
1.0	20.0	2.0	378.2800	305.1480	264.1245	257.7540	200.1858	240.1916	319.2200	274.9705	228.0335	242.2039	
1.0	30.0	2.0	439.7700	305.1480	264.1245	335.1807	219.3092	240.6502	319.2200	274.9705	228.0335	289.9818	
1.0	40.0	2.0	646.0500	305.1480	264.1245	448.6052	238.4325	241.0501	319.2200	289.8810	238.0547	331.7177	
1.0	50.0	2.0	644.2200	305.1480	264.1245	594.4411	257.5559	241.3987	319.2200	289.8810	238.0547	354.4458	
2.0	10.0	2.0	122.2600	305.1480	264.1245	150.7099	150.2267	222.5418	319.2200	217.3255	228.0335	169.3559	
2.0	20.0	2.0	193.7800	305.1480	264.1245	168.4260	169.3501	224.1388	319.2200	222.8277	228.0335	203.6074	
2.0	30.0	2.0	256.8900	305.1480	264.1245	187.9540	188.4734	225.5622	319.2200	222.8277	228.0335	246.8280	
2.0	40.0	2.0	323.5800	305.1480	264.1245	212.7927	207.5968	226.8277	319.2200	237.7382	238.0547	287.1577	
2.0	50.0	2.0	407.8700	305.1480	264.1245	249.4044	226.7202	227.9494	319.2200	237.7382	238.0547	312.2389	
4.0	10.0	2.0	72.2300	222.9507	264.1245	108.5849	88.5552	123.9516	319.2200	205.8463	194.7591	120.2904	
4.0	20.0	2.0	116.1100	222.9507	264.1245	124.7475	107.6786	123.9517	319.2200	211.3486	194.7591	137.3338	
4.0	30.0	2.0	168.4500	222.9507	264.1245	140.5241	126.8020	123.9518	319.2200	211.3486	194.7591	164.8751	
4.0	40.0	2.0	237.2300	222.9507	264.1245	154.9853	145.9253	123.9519	319.2200	231.5599	204.7803	195.1582	
4.0	50.0	2.0	362.6600	222.9507	264.1245	167.5576	165.0487	123.9520	319.2200	231.5599	204.7803	219.1785	
1.0	10.0	3.0	121.6500	305.1480	244.0920	190.3680	171.5696	239.7310	199.5950	254.9299	196.8320	190.7751	
1.0	20.0	3.0	219.5600	305.1480	244.0920	234.4829	190.6930	240.2520	199.5950	260.4321	196.8320	228.9809	
1.0	30.0	3.0	290.4400	305.1480	244.0920	301.1832	209.8164	240.7064	199.5950	260.4321	196.8320	274.6096	
1.0	40.0	3.0	379.0900	305.1480	244.0920	401.2323	228.9397	241.1026	199.5950	275.3426	206.8532	315.2144	
1.0	50.0	3.0	485.7900	305.1480	244.0920	537.2254	248.0631	241.4480	199.5950	275.3426	206.8532	338.2467	
2.0	10.0	3.0	112.3200	305.1480	244.0920	141.2813	140.7339	222.7379	199.5950	202.7871	196.8320	156.7994	
2.0	20.0	3.0	170.8600	305.1480	244.0920	159.1247	159.8573	224.3247	199.5950	208.2893	196.8320	187.5142	
2.0	30.0	3.0	220.8800	305.1480	244.0920	178.1453	178.9806	225.7387	199.5950	208.2893	196.8320	227.6817	
2.0	40.0	3.0	234.0400	305.1480	244.0920	200.9139	198.1040	226.9955	199.5950	223.1998	206.8532	266.2135	
2.0	50.0	3.0	282.4400	305.1480	244.0920	232.6416	217.2273	228.1093	199.5950	223.1998	206.8532	291.3864	
4.0	10.0	3.0	66.5100	140.7744	244.0920	99.6580	79.0624	123.9516	199.5950	191.3079	163.5576	109.4025	
4.0	20.0	3.0	86.0800	140.7744	244.0920	115.5713	98.1858	123.9517	199.5950	196.8102	163.5576	123.0553	
4.0	30.0	3.0	116.7500	140.7744	244.0920	131.7022	117.3091	123.9518	199.5950	196.8102	163.5576	147.5528	
4.0	40.0	3.0	157.9000	140.7744	244.0920	147.0201	136.4325	123.9519	199.5950	217.0215	173.5788	175.9169	
4.0	50.0	3.0	182.7200	140.7744	244.0920	160.7349	155.5558	123.9520	199.5950	217.0215	173.5788	199.8035	
1.0	10.0	4.0	105.3100	305.1480	224.0594	174.9495	162.0768	239.7457	186.9400	237.2694	179.1266	178.7615	
1.0	20.0	4.0	172.0700	305.1480	224.0594	213.8161	181.2002	240.2656	186.9400	242.7717	179.1266	213.3344	
1.0	30.0	4.0	234.2300	305.1480	224.0594	271.3537	200.3235	240.7191	186.9400	242.7717	179.1266	255.7268	
1.0	40.0	4.0	308.7800	305.1480	224.0594	358.5699	219.4469	241.1145	186.9400	255.8489	189.1478	294.3151	
1.0	50.0	4.0	374.3800	305.1480	224.0594	482.4967	238.5702	241.4591	186.9400	255.8489	189.1478	317.2500	
2.0	10.0	4.0	72.5000	305.1480	224.0594	131.6552	131.2411	222.7822	186.9400	173.3403	179.1266	143.5674	
2.0	20.0	4.0	109.4900	305.1480	224.0594	149.5989	150.3644	224.3667	186.9400	178.8425	179.1266	169.8781	
2.0	30.0	4.0	147.8300	305.1480	224.0594	168.3933	169.4878	225.7786	186.9400	178.8425	179.1266	205.9802	
2.0	40.0	4.0	182.4400	305.1480	224.0594	189.7939	188.6111	227.0335	186.9400	181.8303	189.1478	241.8281	
2.0	50.0	4.0	226.1300	305.1480	224.0594	217.8599	207.7345	228.1455	186.9400	181.8303	189.1478	266.6122	
4.0	10.0	4.0	54.7500	140.7744	224.0594	91.1238	69.5696	123.9516	186.9400	149.3764	163.5576	99.2737	
4.0	20.0	4.0	75.8700	140.7744	224.0594	106.4607	88.6929	123.9517	186.9400	154.8787	163.5576	109.0355	
4.0	30.0	4.0	99.5400	140.7744	224.0594	122.6046	107.8163	123.9518	186.9400	154.8787	163.5576	129.7656	
4.0	40.0	4.0	135.6200	140.7744	224.0594	138.5123	126.9397	123.9519	186.9400	163.1672	173.5788	155.4609	
4.0	50.0	4.0	147.7500	140.7744	224.0594	153.2320	146.0630	123.9520	186.9400	163.1672	173.5788	178.6679	
1.0	10.0	5.0	100.1100	305.1480	204.0269	160.5559	152.5840	239.7103	165.3243	237.2694	179.1266	166.2607	
1.0	20.0	5.0	150.1000	305.1480	204.0269	195.2264	171.7073	240.2328	165.3243	242.7717	179.1266	196.5855	
1.0	30.0	5.0	199.1300	305.1480	204.0269	245.1358	190.8307	240.6885	165.3243	242.7717	179.1266	235.0289	
1.0	40.0	5.0	256.9800	305.1480	204.0269	320.6416	209.9541	241.0859	165.3243	255.8489	189.1478	270.9822	
1.0	50.0	5.0	306.4200	305.1480	204.0269	431.4216	229.0774	241.4323	165.3243	255.8489	189.1478	293.4898	
2.0	10.0	5.0	72.5300	305.1480	204.0269	121.9620	121.7482	222.6755	165.3243	173.3403	179.1266	130.6638	
2.0	20.0	5.0	101.6800	305.1480	204.0269	139.8731	140.8716	224.2655	165.3243	178.8425	179.1266	152.1438	
2.0	30.0	5.0	128.9900	305.1480	204.0269	158.5706	159.9949	225.6826	165.3243	178.8425	179.1266	183.6057	
2.0	40.0	5.0	158.8800	305.1480	204.0269	179.1149	179.1183	226.9421	165.3243	181.8303	189.1478	216.2034	
2.0	50.0	5.0	191.0900	305.1480	204.0269	204.5294	198.2417	228.0584	165.3243	181.8303	189.1478	240.2148	
4.0	10.0	5.0	51.2800	140.7744	204.0269	83.1296	60.0767	123.9516	165.3243	149.3764	163.5576	90.6115	
4.0	20.0	5.0	71.6400	140.7744	204.0269	97.6093	79.2001	123.9517	165.3243	154.8787	163.5576	96.3398	
4.0	30.0	5.0	97.8800	140.7744	204.0269	113.4217	98.3235	123.9518	165.3243	154.8787	163.5576	112.9459	
4.0	40.0	5.0	100.7400	140.7744	204.0269	129.6011	117.4468	123.9519	165.3243	163.1672	173.5788	135.5026	
4.0	50.0	5.0	124.5700	140.7744	204.0269	145.1123	136.5702	123.9520	165.3243	163.1672	173.5788	157.5855	
1.0	10.0	6.0	90.7600	171.9927	183.9944	147.0080	143.0911	239.6239	165.3243	226.6097	179.1266	154.2795	
1.0	20.0	6.0	125.4400	171.9927	183.9944	178.2829	162.2145	240.1527	165.3243	232.1120	179.1266	180.1518	
1.0	30.0	6.0	174.1600	171.9927	183.9944	221.9457	181.3379	240.6140	165.3243	232.1120	179.1266	214.3353	
1.0	40.0	6.0	247.1600	171.9927	183.9944	287.1732	200.4612	241.0163	165.3243	245.1892	189.1478	247.3228	
1.0	50.0	6.0	296.7600	171.9927	183.9944	384.7382	219.5846	241.3670	165.3243	245.1892	189.1478	269.1514	
2.0	10.0	6.0	67.8700	171.9927	183.9944	112.3616	112.2554	222.4161	165.3243	162.6806	179.1266	119.1057	
2.0	20.0	6.0	88.4400	171.9927	183.9944	130.0299	131.3788	224.0195	165.3243	168.1828	179.1266	135.7829	
2.0	30.0	6.0	113.0500	171.9927	183.9944	148.6250	150.5021	225.4490	165.3243	168.1828	179.1266	162.4854	
2.0	40.0	6.0	145.1200	171.9927	183.9944	168.6445	169.6255	226.7200	165.3243	171.1706	189.1478	191.6036	
2.0	50.0	6.0	169.2200	171.9927	183.9944	192.2044	188.7488	227.8467	165.3243	171.1706	189.1478	214.5670	
4.0	10.0	6.0	50.8700	140.7744	183.9944	75.7830	50.5839	123.9516	165.3243	138.7167	163.5576	84.0486	
4.0	20.0	6.0	75.5600	140.7744	183.9944	89.1891	69.7073	123.9517	165.3243	144.2190	163.5576	85.9605	
4.0	30.0	6.0	95.8300	140.7744	183.9944	104.3523	88.8306	123.9518	165.3243	144.2190	163.5576	98.4669	
4.0	40.0	6.0	101.3000	140.7744	183.9944	120.4593	107.9540	123.9519	165.3243	152.5075	173.5788	117.7163	
4.0	50.0	6.0	143.5000	140.7744	183.9944	136.4829	127.0773	123.9520	165.3243	152.5075	173.5788	138.3556	
1.0	10.0	7.0	80.2900	171.9927	163.9619	134.2176	133.5983	239.4847	165.3243	226.6097	179.1266	143.7605	
1.0	20.0	7.0	122.0600	171.9927	163.9619	162.6629	152.7217	240.0238	165.3243	232.1120	179.1266	165.3499	
1.0	30.0	7.0	152.8100	171.9927	163.9619	201.2389	171.8450	240.4940	165.3243	232.1120	179.1266	195.3264	
1.0	40.0	7.0	193.4800	171.9927	163.9619	257.7039	190.9684	240.9042	165.3243	245.1892	189.1478	225.2767	
1.0	50.0	7.0	250.6200	171.9927	163.9619	342.7549	210.0917	241.2618	165.3243	245.1892	189.1478	246.2440	
2.0	10.0	7.0	64.4800	171.9927	163.9619	103.0246	102.7626	222.0003	165.3243	162.6806	179.1266	109.7906	
2.0	20.0	7.0	88.3300	171.9927	163.9619	120.1968	121.8859	223.6250	165.3243	168.1828	179.1266	122.0922	
2.0	30.0	7.0	112.3300	171.9927	163.9619	138.5742	141.0093	225.0743	165.3243	168.1828	179.1266	144.3180	
2.0	40.0	7.0	129.3400	171.9927	163.9619	158.2356	160.1326	226.3634	165.3243	171.1706	189.1478	170.0273	
2.0	50.0	7.0	151.7200	171.9927	163.9619	180.5291	179.2560	227.5068	165.3243	171.1706	189.1478	191.7664	
4.0	10.0	7.0	52.9000	140.7744	163.9619	69.1491	41.0911	123.9516	165.3243	138.7167	163.5576	80.0678	
4.0	20.0	7.0	63.4200	140.7744	163.9619	81.3383	60.2144	123.9517	165.3243	144.2190	163.5576	78.6894	
4.0	30.0	7.0	76.1400	140.7744	163.9619	95.5858	79.3378	123.9518	165.3243	144.2190	163.5576	87.4574	
4.0	40.0	7.0	92.0200	140.7744	163.9619	111.2805	98.4612	123.9518	165.3243	152.5075	173.5788	103.5073	
4.0	50.0	7.0	126.5500	140.7744	163.9619	127.4909	117.5845	123.9519	165.3243	152.5075	173.5788	122.5100	
1.0	10.0	8.0	84.5100	171.9927	143.9293	122.1676	124.1055	239.2898	121.2100	212.5067	160.7337	135.4611	
1.0	20.0	8.0	107.5200	171.9927	143.9293	148.1502	143.2288	239.8431	121.2100	218.0089	160.7337	153.2222	
1.0	30.0	8.0	142.7300	171.9927	143.9293	182.5522	162.3522	240.3259	121.2100	220.9196	160.7337	179.3203	
1.0	40.0	8.0	178.7000	171.9927	143.9293	231.6904	181.4756	240.7471	121.2100	233.9968	170.7549	206.3566	
1.0	50.0	8.0	236.4800	171.9927	143.9293	305.4166	200.5989	241.1144	121.2100	233.9968	170.7549	226.3285	
2.0	10.0	8.0	56.4400	171.9927	143.9293	94.1140	93.2697	221.4221	121.2100	148.5775	160.7337	103.3834	
2.0	20.0	8.0	73.5000	171.9927	143.9293	110.5288	112.3931	223.0761	121.2100	154.0798	160.7337	112.0258	
2.0	30.0	8.0	92.7600	171.9927	143.9293	128.4957	131.5165	224.5526	121.2100	156.9904	160.7337	130.3501	
2.0	40.0	8.0	114.5700	171.9927	143.9293	147.8223	150.6398	225.8668	121.2100	155.9076	170.7549	152.9413	
2.0	50.0	8.0	136.9900	171.9927	143.9293	169.2410	169.7632	227.0331	121.2100	155.9076	170.7549	173.3547	
4.0	10.0	8.0	51.7300	83.2414	143.9293	63.2534	31.5982	123.9515	121.2100	131.5119	150.9422	78.9448	
4.0	20.0	8.0	60.3200	83.2414	143.9293	74.1547	50.7216	123.9516	121.2100	137.0142	150.9422	75.0194	
4.0	30.0	8.0	90.0200	83.2414	143.9293	87.2870	69.8450	123.9517	121.2100	139.9248	150.9422	80.6581	
4.0	40.0	8.0	96.5300	83.2414	143.9293	102.2624	88.9683	123.9518	121.2100	144.1428	160.9634	93.8301	
4.0	50.0	8.0	105.4300	83.2414	143.9293	118.3150	108.0917	123.9519	121.2100	144.1428	160.9634	111.1137	
1.0	10.0	9.0	84.2700	171.9927	123.8968	110.8879	114.6126	239.0350	120.8614	201.0310	160.7337	129.8660	
1.0	20.0	9.0	121.5000	171.9927	123.8968	134.6225	133.7360	239.6067	120.8614	206.5333	160.7337	144.4214	
1.0	30.0	9.0	150.8700	171.9927	123.8968	165.5246	152.8594	240.1058	120.8614	209.4439	160.7337	167.1290	
1.0	40.0	9.0	158.6200	171.9927	123.8968	208.5899	171.9827	240.5414	120.8614	222.5211	170.7549	191.4853	
1.0	50.0	9.0	218.6400	171.9927	123.8968	272.4084	191.1061	240.9213	120.8614	222.5211	170.7549	210.3520	
2.0	10.0	9.0	58.9600	171.9927	123.8968	85.7691	83.7769	220.6734	120.8614	137.1019	160.7337	100.2404	
2.0	20.0	9.0	74.2100	171.9927	123.8968	101.1894	102.9003	222.3647	120.8614	142.6041	160.7337	106.0904	
2.0	30.0	9.0	94.0700	171.9927	123.8968	118.5114	122.0236	223.8758	120.8614	145.5148	160.7337	121.2431	
2.0	40.0	9.0	115.4700	171.9927	123.8968	137.4123	141.1470	225.2221	120.8614	144.4320	170.7549	141.1260	
2.0	50.0	9.0	130.9600	171.9927	123.8968	158.1694	160.2703	226.4177	120.8614	144.4320	170.7549	160.1563	
4.0	10.0	9.0	47.7800	83.2414	123.8968	58.0872	22.1054	123.9515	120.8614	115.1131	143.8985	80.7186	
4.0	20.0	9.0	54.1300	83.2414	123.8968	67.6934	41.2288	123.9516	120.8614	120.6153	143.8985	75.0932	
4.0	30.0	9.0	72.4400	83.2414	123.8968	79.5851	60.3521	123.9517	120.8614	123.5260	143.8985	78.3456	
4.0	40.0	9.0	76.0600	83.2414	123.8968	93.5897	79.4755	123.9518	120.8614	127.7440	153.9197	89.0899	
4.0	50.0	9.0	92.1400	83.2414	123.8968	109.1507	98.5988	123.9518	120.8614	127.7440	153.9197	104.6550	
