# Created: Fri Aug 01 15:30:26 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.19
#	output:	results/terasort/values-0.19.csv
#	metrics-output:	results/terasort/metrics-0.19.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 50.0, 9.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	10.0	2.0	197.7700	264.0267	201.1656	232.9210	319.2200	107.9391	305.1480	170.7998	189.3504	124.0344	
1.0	20.0	2.0	378.2800	264.0267	242.3267	232.9210	319.2200	107.9391	305.1480	170.7998	212.9610	198.1034	
1.0	30.0	2.0	439.7700	264.0267	290.2834	232.9210	319.2200	108.0855	305.1480	205.1697	236.5716	297.7742	
1.0	40.0	2.0	646.0500	264.0267	332.0093	271.9044	319.2200	197.1275	305.1480	255.8139	260.1822	422.1251	
1.0	50.0	2.0	644.2200	264.0267	354.5356	271.9044	319.2200	203.9036	305.1480	255.8139	283.7928	563.4207	
2.0	10.0	2.0	122.2600	264.0267	169.1968	201.6986	319.2200	107.9391	305.1480	170.7998	153.2740	80.7272	
2.0	20.0	2.0	193.7800	264.0267	203.7556	201.6986	319.2200	107.9391	305.1480	170.7998	176.8846	136.5055	
2.0	30.0	2.0	256.8900	264.0267	247.1399	201.6986	319.2200	108.1702	305.1480	205.1697	200.4952	214.9989	
2.0	40.0	2.0	323.5800	264.0267	287.4489	229.9353	319.2200	199.5159	305.1480	248.3047	224.1057	318.9666	
2.0	50.0	2.0	407.8700	264.0267	312.3242	229.9353	319.2200	203.9189	305.1480	248.3047	247.7163	446.2419	
4.0	10.0	2.0	72.2300	264.0267	119.9197	184.4523	319.2200	107.9391	222.9507	138.9854	81.1210	29.3004	
4.0	20.0	2.0	116.1100	264.0267	137.3032	184.4523	319.2200	107.9391	222.9507	138.9854	104.7316	60.1839	
4.0	30.0	2.0	168.4500	264.0267	165.0937	184.4523	319.2200	108.2075	222.9507	156.9851	128.3422	106.0156	
4.0	40.0	2.0	237.2300	264.0267	195.4737	202.4437	319.2200	200.1078	222.9507	210.7966	151.9528	171.4174	
4.0	50.0	2.0	362.6600	264.0267	219.3996	202.4437	319.2200	203.9226	222.9507	210.7966	175.5634	259.8172	
1.0	10.0	3.0	121.6500	244.0814	190.6792	196.3459	199.5950	107.9391	305.1480	170.7998	178.6871	65.8303	
1.0	20.0	3.0	219.5600	244.0814	229.1475	196.3459	199.5950	107.9391	305.1480	170.7998	202.2977	113.9449	
1.0	30.0	3.0	290.4400	244.0814	274.8592	196.3459	199.5950	108.1211	305.1480	205.1697	225.9083	182.0917	
1.0	40.0	3.0	379.0900	244.0814	315.3463	242.2572	199.5950	198.3869	305.1480	237.2475	249.5189	273.5870	
1.0	50.0	3.0	485.7900	244.0814	338.0915	242.2572	199.5950	203.9118	305.1480	237.2475	273.1295	388.3601	
2.0	10.0	3.0	112.3200	244.0814	156.7203	165.1235	199.5950	107.9391	305.1480	170.7998	142.6106	34.7861	
2.0	20.0	3.0	170.8600	244.0814	187.6693	165.1235	199.5950	107.9391	305.1480	170.7998	166.2212	68.5668	
2.0	30.0	3.0	220.8800	244.0814	227.8898	165.1235	199.5950	108.2265	305.1480	205.1697	189.8318	118.5968	
2.0	40.0	3.0	234.0400	244.0814	266.2815	200.2881	199.5950	200.3519	305.1480	219.3749	213.4424	189.8237	
2.0	50.0	3.0	282.4400	244.0814	291.1585	200.2881	199.5950	203.9241	305.1480	219.3749	237.0530	285.8051	
