# Created: Fri Aug 01 15:30:29 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.20
#	output:	results/terasort/values-0.20.csv
#	metrics-output:	results/terasort/metrics-0.20.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 50.0, 9.0)
# 	(2.0, 50.0, 8.0)
# 	(2.0, 50.0, 9.0)
# 	(2.0, 50.0, 10.0)
# 	(1.0, 30.0, 3.0)
x2	x3	x1	objective	Discretization	LinearRegression	MLPerceptron	LeastSquares	RBF	IsoRegression	BagClassify	RandomSubSpaces	GaussianCurves	
1.0	10.0	2.0	197.7700	304.0729	255.6083	177.4623	191.6866	127.3738	319.2200	319.7047	214.2693	205.1683	
1.0	20.0	2.0	378.2800	304.0729	255.6083	248.4678	203.0585	127.3752	319.2200	319.7047	214.2693	246.3625	
1.0	30.0	2.0	439.7700	304.0729	255.6083	344.7386	214.4304	130.0977	319.2200	319.7047	214.2693	293.9031	
1.0	40.0	2.0	646.0500	304.0729	255.6083	467.2625	225.8023	198.6608	319.2200	344.8414	235.6703	334.7750	
1.0	50.0	2.0	644.2200	304.0729	255.6083	608.8745	237.1742	204.0788	319.2200	344.8414	235.6703	356.3663	
2.0	10.0	2.0	122.2600	304.0729	210.8634	123.2248	169.6914	127.3738	319.2200	289.2457	193.5755	172.1837	
2.0	20.0	2.0	193.7800	304.0729	210.8634	179.7552	181.0632	127.3765	319.2200	289.2457	193.5755	206.5695	
2.0	30.0	2.0	256.8900	304.0729	210.8634	260.1675	192.4351	132.6223	319.2200	289.2457	193.5755	249.4578	
2.0	40.0	2.0	323.5800	304.0729	210.8634	368.2340	203.8070	201.3098	319.2200	294.4156	192.3225	288.9864	
2.0	50.0	2.0	407.8700	304.0729	210.8634	501.1844	215.1789	204.1285	319.2200	294.4156	192.3225	313.1283	
4.0	10.0	2.0	72.2300	222.9507	121.3737	59.2014	125.7008	127.3738	319.2200	237.3436	177.3210	121.4998	
4.0	20.0	2.0	116.1100	222.9507	121.3737	92.2548	137.0727	127.3794	319.2200	237.3436	177.3210	138.2455	
4.0	30.0	2.0	168.4500	222.9507	121.3737	142.9911	148.4446	137.4876	319.2200	237.3436	177.3210	165.4491	
4.0	40.0	2.0	237.2300	222.9507	121.3737	217.5609	159.8165	202.7638	319.2200	237.3436	186.1659	195.3997	
4.0	50.0	2.0	362.6600	222.9507	121.3737	319.6582	171.1884	204.1544	319.2200	237.3436	186.1659	219.2417	
1.0	10.0	3.0	121.6500	304.0729	255.6083	127.7702	181.3034	127.3738	229.8767	244.0380	203.7297	194.2110	
1.0	20.0	3.0	219.5600	304.0729	255.6083	169.1971	192.6753	127.3757	229.8767	244.0380	203.7297	232.7261	
1.0	30.0	3.0	290.4400	304.0729	255.6083	224.7487	204.0472	131.0247	229.8767	244.0380	203.7297	278.1119	
1.0	40.0	3.0	379.0900	304.0729	255.6083	299.1871	215.4191	200.0350	229.8767	269.1748	225.1307	317.8886	
1.0	50.0	3.0	485.7900	304.0729	255.6083	396.9223	226.7910	204.1050	229.8767	269.1748	225.1307	339.8511	
2.0	10.0	3.0	112.3200	304.0729	210.8634	83.0444	159.3081	127.3738	229.8767	192.7285	183.3755	159.2547	
2.0	20.0	3.0	170.8600	304.0729	210.8634	114.5602	170.6800	127.3775	229.8767	192.7285	183.3755	190.0642	
2.0	30.0	3.0	220.8800	304.0729	210.8634	158.9131	182.0519	134.3278	229.8767	201.7548	183.3755	229.9026	
2.0	40.0	3.0	234.0400	304.0729	210.8634	221.0863	193.4238	202.0440	229.8767	206.9246	182.1225	267.6785	
2.0	50.0	3.0	282.4400	304.0729	210.8634	306.4285	204.7957	204.1417	229.8767	206.9246	182.1225	291.9862	
4.0	10.0	3.0	66.5100	139.7930	121.3737	33.3156	115.3176	127.3738	229.8767	161.5224	158.5814	110.2610	
4.0	20.0	3.0	86.0800	139.7930	121.3737	49.1787	126.6895	127.3814	229.8767	167.1748	158.5814	123.5499	
4.0	30.0	3.0	116.7500	139.7930	121.3737	73.3966	138.0614	140.4845	229.8767	176.2011	158.5814	147.6761	
4.0	40.0	3.0	157.9000	139.7930	121.3737	110.2800	149.4332	203.1312	229.8767	176.2011	167.4263	175.7156	
4.0	50.0	3.0	182.7200	139.7930	121.3737	165.5266	160.8051	204.1608	229.8767	176.2011	167.4263	199.4717	
1.0	10.0	4.0	105.3100	304.0729	255.6083	109.8662	170.9202	127.3738	186.9400	219.4787	203.7297	181.7845	
1.0	20.0	4.0	172.0700	304.0729	255.6083	139.1467	182.2921	127.3762	186.9400	231.0198	203.7297	216.6411	
1.0	30.0	4.0	234.2300	304.0729	255.6083	175.2527	193.6640	131.9226	186.9400	231.0198	203.7297	258.8387	
1.0	40.0	4.0	308.7800	304.0729	255.6083	220.2606	205.0359	200.8566	186.9400	256.1565	225.1307	296.7111	
1.0	50.0	4.0	374.3800	304.0729	255.6083	277.4241	216.4078	204.1203	186.9400	256.1565	225.1307	318.7157	
2.0	10.0	4.0	72.5000	304.0729	210.8634	68.8218	148.9249	127.3738	186.9400	168.1692	183.3755	145.6469	
2.0	20.0	4.0	109.4900	304.0729	210.8634	90.5083	160.2968	127.3785	186.9400	179.7103	183.3755	172.0458	
2.0	30.0	4.0	147.8300	304.0729	210.8634	118.8607	171.6687	135.9429	186.9400	188.7365	183.3755	207.8852	
2.0	40.0	4.0	182.4400	304.0729	210.8634	156.1375	183.0406	202.4766	186.9400	193.9064	182.1225	243.1020	
2.0	50.0	4.0	226.1300	304.0729	210.8634	205.5600	194.4125	204.1493	186.9400	193.9064	182.1225	267.1633	
4.0	10.0	4.0	54.7500	139.7930	121.3737	24.4072	104.9343	127.3738	186.9400	121.7845	158.5814	99.8240	
4.0	20.0	4.0	75.8700	139.7930	121.3737	33.9430	116.3062	127.3834	186.9400	135.0004	158.5814	109.1819	
4.0	30.0	4.0	99.5400	139.7930	121.3737	47.6029	127.6781	143.2055	186.9400	144.0267	158.5814	129.5445	
4.0	40.0	4.0	135.6200	139.7930	121.3737	67.3717	139.0500	203.3459	186.9400	149.9400	167.4263	154.9635	
4.0	50.0	4.0	147.7500	139.7930	121.3737	96.2052	150.4219	204.1645	186.9400	149.9400	167.4263	178.1172	
1.0	10.0	5.0	100.1100	304.0729	255.6083	103.6051	160.5370	127.3738	165.3243	219.4787	203.7297	168.8678	
1.0	20.0	5.0	150.1000	304.0729	255.6083	128.5602	171.9089	127.3766	165.3243	231.0198	203.7297	199.4851	
1.0	30.0	5.0	199.1300	304.0729	255.6083	157.3819	183.2808	132.6526	165.3243	231.0198	203.7297	237.8470	
1.0	40.0	5.0	256.9800	304.0729	255.6083	190.3348	194.6527	201.3268	165.3243	256.1565	225.1307	273.2777	
1.0	50.0	5.0	306.4200	304.0729	255.6083	228.1811	206.0246	204.1288	165.3243	256.1565	225.1307	295.0637	
2.0	10.0	5.0	72.5300	304.0729	210.8634	63.8956	138.5417	127.3738	165.3243	168.1692	183.3755	132.4063	
2.0	20.0	5.0	101.6800	304.0729	210.8634	82.1267	149.9136	127.3793	165.3243	179.7103	183.3755	154.0160	
2.0	30.0	5.0	128.9900	304.0729	210.8634	104.6283	161.2855	137.2300	165.3243	188.7365	183.3755	185.3568	
2.0	40.0	5.0	158.8800	304.0729	210.8634	132.1351	172.6574	202.7220	165.3243	193.9064	182.1225	217.5329	
2.0	50.0	5.0	191.0900	304.0729	210.8634	165.6544	184.0293	204.1536	165.3243	193.9064	182.1225	241.0293	
4.0	10.0	5.0	51.2800	139.7930	121.3737	21.3857	94.5511	127.3738	165.3243	121.7845	158.5814	90.9262	
4.0	20.0	5.0	71.6400	139.7930	121.3737	28.7490	105.9230	127.3851	165.3243	135.0004	158.5814	96.2482	
4.0	30.0	5.0	97.8800	139.7930	121.3737	38.6916	117.2949	145.2970	165.3243	144.0267	158.5814	112.5380	
4.0	40.0	5.0	100.7400	139.7930	121.3737	52.1580	128.6668	203.4671	165.3243	149.9400	167.4263	134.9123	
4.0	50.0	5.0	124.5700	139.7930	121.3737	70.4800	140.0387	204.1665	165.3243	149.9400	167.4263	157.0473	
1.0	10.0	6.0	90.7600	171.9043	255.6083	101.3095	150.1538	127.3738	165.3243	219.4787	203.7297	156.5141	
1.0	20.0	6.0	125.4400	171.9043	255.6083	124.7818	161.5257	127.3768	165.3243	231.0198	203.7297	182.7330	
1.0	30.0	6.0	174.1600	171.9043	255.6083	151.0866	172.8976	133.0898	165.3243	231.0198	203.7297	217.0167	
1.0	40.0	6.0	247.1600	171.9043	255.6083	179.7650	184.2694	201.5530	165.3243	256.1565	225.1307	249.7510	
1.0	50.0	6.0	296.7600	171.9043	255.6083	210.4008	195.6413	204.1329	165.3243	256.1565	225.1307	271.1243	
2.0	10.0	6.0	67.8700	171.9043	210.8634	62.1117	128.1585	127.3738	165.3243	168.1692	183.3755	120.5920	
2.0	20.0	6.0	88.4400	171.9043	210.8634	79.1548	139.5304	127.3798	165.3243	179.7103	183.3755	137.4981	
2.0	30.0	6.0	113.0500	171.9043	210.8634	99.6381	150.9023	137.9902	165.3243	188.7365	183.3755	164.2990	
2.0	40.0	6.0	145.1200	171.9043	210.8634	123.7145	162.2742	202.8396	165.3243	193.9064	182.1225	193.2848	
2.0	50.0	6.0	169.2200	171.9043	210.8634	151.4314	173.6461	204.1557	165.3243	193.9064	182.1225	215.9952	
4.0	10.0	6.0	50.8700	139.7930	121.3737	20.3323	84.1679	127.3738	165.3243	121.7845	158.5814	84.2269	
4.0	20.0	6.0	75.5600	139.7930	121.3737	26.9570	95.5398	127.3861	165.3243	135.0004	158.5814	85.7757	
4.0	30.0	6.0	95.8300	139.7930	121.3737	35.6326	106.9117	146.5016	165.3243	144.0267	158.5814	98.0688	
4.0	40.0	6.0	101.3000	139.7930	121.3737	46.9276	118.2836	203.5251	165.3243	149.9400	167.4263	117.2751	
4.0	50.0	6.0	143.5000	139.7930	121.3737	61.5429	129.6555	204.1675	165.3243	149.9400	167.4263	138.0954	
1.0	10.0	7.0	80.2900	171.9043	255.6083	100.3320	139.7705	127.3738	165.3243	219.4787	203.7297	145.7092	
1.0	20.0	7.0	122.0600	171.9043	255.6083	123.2862	151.1424	127.3768	165.3243	225.0564	203.7297	167.7479	
1.0	30.0	7.0	152.8100	171.9043	255.6083	148.7329	162.5143	133.1561	165.3243	225.0564	203.7297	198.0685	
1.0	40.0	7.0	193.4800	171.9043	255.6083	175.9626	173.8862	201.5844	165.3243	250.1932	225.1307	228.0955	
1.0	50.0	7.0	250.6200	171.9043	255.6083	204.1289	185.2581	204.1335	165.3243	250.1932	225.1307	248.9121	
2.0	10.0	7.0	64.4800	171.9043	210.8634	61.3696	117.7753	127.3738	165.3243	168.1692	177.5348	111.1370	
2.0	20.0	7.0	88.3300	171.9043	210.8634	77.9891	129.1472	127.3798	165.3243	173.7469	177.5348	123.8248	
2.0	30.0	7.0	112.3300	171.9043	210.8634	97.7713	140.5191	138.1047	165.3243	182.7732	177.5348	146.4376	
2.0	40.0	7.0	129.3400	171.9043	210.8634	120.6714	151.8909	202.8559	165.3243	187.9430	176.2817	172.3670	
2.0	50.0	7.0	151.7200	171.9043	210.8634	146.3963	163.2628	204.1560	165.3243	187.9430	176.2817	194.1512	
