Teragen-10	71.24	5.82	0.48
Terasort-10	201.28	9.61	0.80
Teragen-20	81.24	5.60	0.34
Terasort-20	302.57	9.90	0.80
Teragen-30	83.20	5.85	0.34
Terasort-30	367.29	10.42	0.91
Teragen-40	91.68	6.44	0.39
Terasort-40	700.67	12.06	1.22
Teragen-50	113.13	6.06	0.38
Terasort-50	517.97	10.94	1.04
Fastgen-50-50	17.50	6.68	0.30
PageRank-50-50	104.65	6.89	0.43
Fastgen-60-50	16.07	5.34	0.23
PageRank-60-50	107.53	6.30	0.30
Fastgen-70-50	12.43	4.44	0.21
PageRank-70-50	125.48	6.07	0.51
Fastgen-80-50	15.75	5.04	0.24
PageRank-80-50	143.85	6.09	0.42
Fastgen-90-50	15.81	4.78	0.22
PageRank-90-50	153.26	6.52	0.38
Fastgen-100-50	18.86	5.12	0.20
PageRank-100-50	157.64	7.24	0.45
