nodes	cores	mem	size	class	time
20	8	8192	500000	50	106
20	8	8192	500000	100	114
20	8	8192	500000	150	119
20	8	8192	500000	200	115
20	8	8192	1000000	50	137
20	8	8192	1000000	100	160
20	8	8192	1000000	150	157
20	8	8192	1000000	200	151
20	8	8192	1500000	50	196
20	8	8192	1500000	100	187
20	8	8192	1500000	150	187
20	8	8192	1500000	200	187
20	8	8192	2000000	50	223
20	8	8192	2000000	100	228
20	8	8192	2000000	150	235
20	8	8192	2000000	200	223
20	8	8192	2500000	50	248
20	8	8192	2500000	100	261
20	8	8192	2500000	150	253
20	8	8192	2500000	200	250
20	8	6144	500000	50	125
20	8	6144	500000	100	117
20	8	6144	500000	150	115
20	8	6144	500000	200	116
20	8	6144	1000000	50	157
20	8	6144	1000000	100	154
20	8	6144	1000000	150	150
20	8	6144	1000000	200	151
20	8	6144	1500000	50	185
20	8	6144	1500000	100	195
20	8	6144	1500000	150	175
20	8	6144	1500000	200	181
20	8	6144	2000000	50	222
20	8	6144	2000000	100	218
20	8	6144	2000000	150	217
20	8	6144	2000000	200	211
20	8	6144	2500000	50	238
20	8	6144	2500000	100	242
20	8	6144	2500000	150	229
20	8	6144	2500000	200	240
20	8	4096	500000	50	99
20	8	4096	500000	100	102
20	8	4096	500000	150	101
20	8	4096	500000	200	105
20	8	4096	1000000	50	131
20	8	4096	1000000	100	133
20	8	4096	1000000	150	131
20	8	4096	1000000	200	135
20	8	4096	1500000	50	169
20	8	4096	1500000	100	212
20	8	4096	1500000	150	193
20	8	4096	1500000	200	175
20	8	4096	2000000	50	216
20	8	4096	2000000	100	173
20	8	4096	2000000	150	206
20	8	4096	2000000	200	230
20	8	4096	2500000	50	290
20	8	4096	2500000	100	258
20	8	4096	2500000	150	264
20	8	4096	2500000	200	247
20	8	2048	500000	50	109
20	8	2048	500000	100	135
20	8	2048	500000	150	119
20	8	2048	500000	200	123
20	8	2048	1000000	50	147
20	8	2048	1000000	100	155
20	8	2048	1000000	150	158
20	8	2048	1000000	200	165
20	8	2048	1500000	50	266
20	8	2048	1500000	100	251
20	8	2048	1500000	150	290
20	8	2048	1500000	200	295
20	8	2048	2000000	50	483
