nodes	cores	mem	size	time
20	8	8192	5	57
20	8	8192	10	69
20	8	8192	15	77
20	8	8192	20	106
20	8	8192	25	118
20	8	8192	30	133
20	8	8192	35	174
20	8	8192	40	183
20	8	8192	45	190
20	8	8192	50	219
20	8	6144	5	53
20	8	6144	10	70
20	8	6144	15	83
20	8	6144	20	113
20	8	6144	25	135
20	8	6144	30	134
20	8	6144	35	170
20	8	6144	40	179
20	8	6144	45	210
20	8	6144	50	199
20	8	4096	5	49
20	8	4096	10	75
20	8	4096	15	91
20	8	4096	20	134
20	8	4096	25	143
20	8	4096	30	148
20	8	4096	35	183
20	8	4096	40	202
20	8	4096	45	205
20	8	4096	50	224
20	8	2048	5	45
20	8	2048	10	97
20	8	2048	15	121
20	8	2048	20	152
20	8	2048	25	181
20	8	2048	30	219
20	8	2048	35	261
20	8	2048	40	279
20	8	2048	45	321
20	8	2048	50	345
20	6	8192	5	55
20	6	8192	10	60
20	6	8192	15	82
20	6	8192	20	85
20	6	8192	25	119
20	6	8192	30	139
20	6	8192	35	174
20	6	8192	40	180
20	6	8192	45	206
20	6	8192	50	225
20	6	6144	5	53
20	6	6144	10	65
20	6	6144	15	80
20	6	6144	20	114
20	6	6144	25	118
20	6	6144	30	136
20	6	6144	35	190
20	6	6144	40	184
20	6	6144	45	207
20	6	6144	50	228
20	6	4096	5	61
20	6	4096	10	75
20	6	4096	15	89
20	6	4096	20	99
20	6	4096	25	135
20	6	4096	30	146
20	6	4096	35	187
20	6	4096	40	200
20	6	4096	45	207
20	6	4096	50	222
20	6	2048	5	47
20	6	2048	10	90
20	6	2048	15	117
20	6	2048	20	145
20	6	2048	25	190
20	6	2048	30	222
20	6	2048	35	272
20	6	2048	40	282
20	6	2048	45	318
20	6	2048	50	346
20	4	8192	5	61
20	4	8192	10	66
20	4	8192	15	77
20	4	8192	20	84
20	4	8192	25	118
20	4	8192	30	132
20	4	8192	35	179
20	4	8192	40	183
20	4	8192	45	180
20	4	8192	50	217
20	4	6144	5	54
20	4	6144	10	68
20	4	6144	15	86
20	4	6144	20	113
20	4	6144	25	123
20	4	6144	30	137
20	4	6144	35	177
20	4	6144	40	194
20	4	6144	45	206
20	4	6144	50	215
20	4	4096	5	50
20	4	4096	10	65
20	4	4096	15	84
20	4	4096	20	107
20	4	4096	25	131
20	4	4096	30	146
20	4	4096	35	185
20	4	4096	40	190
20	4	4096	45	220
20	4	4096	50	226
20	4	2048	5	47
20	4	2048	10	91
20	4	2048	15	113
20	4	2048	20	150
20	4	2048	25	181
20	4	2048	30	217
20	4	2048	35	261
20	4	2048	40	288
20	4	2048	45	315
20	4	2048	50	350
20	2	8192	5	58
20	2	8192	10	64
20	2	8192	15	87
20	2	8192	20	87
20	2	8192	25	118
20	2	8192	30	150
20	2	8192	35	176
20	2	8192	40	185
20	2	8192	45	205
20	2	8192	50	194
20	2	6144	5	56
20	2	6144	10	67
20	2	6144	15	78
20	2	6144	20	108
20	2	6144	25	125
20	2	6144	30	147
20	2	6144	35	187
20	2	6144	40	192
20	2	6144	45	192
20	2	6144	50	221
20	2	4096	5	50
20	2	4096	10	77
20	2	4096	15	91
20	2	4096	20	119
20	2	4096	25	123
20	2	4096	30	143
20	2	4096	35	185
20	2	4096	40	192
20	2	4096	45	202
20	2	4096	50	225
20	2	2048	5	53
20	2	2048	10	92
20	2	2048	15	118
20	2	2048	20	152
20	2	2048	25	184
20	2	2048	30	219
20	2	2048	35	258
20	2	2048	40	275
20	2	2048	45	313
20	2	2048	50	346
18	8	8192	5	62
18	8	8192	10	62
18	8	8192	15	79
18	8	8192	20	84
18	8	8192	25	122
18	8	8192	30	126
